selection_order,repo_id,repo_name,html_url,description,category,selected_at,selection_source,selection_reason,stars,participants,openrank,github_snapshot_date,language,license
1,1132750706,composio-community/awesome-codex-skills,https://github.com/composio-community/awesome-codex-skills,A curated list of practical Codex skills for automating workflows across the Codex CLI and API.,Curated collections,2026-07-29,Awesome landscape 2026-07-29,Codex-specific workflow skills are an early but strong example of an awesome list becoming an agent input.,15373,10,4.77,2026-07-29,Python,
2,1078079172,ComposioHQ/awesome-claude-skills,https://github.com/ComposioHQ/awesome-claude-skills,"A curated list of awesome Claude Skills, resources, and tools for customizing Claude AI workflows",Curated collections,2026-07-29,Awesome landscape 2026-07-29,A fast-growing skills-focused list that is narrower and more executable than a general tools directory.,71169,40,15.28,2026-07-29,Python,
3,655459367,e2b-dev/awesome-ai-agents,https://github.com/e2b-dev/awesome-ai-agents,A list of AI autonomous agents,Curated collections,2026-07-29,Awesome landscape 2026-07-29,A useful older-style directory of autonomous-agent projects against which skill-native repositories can be compared.,29139,29,16.88,2026-07-29,,NOASSERTION
4,1000362065,github/awesome-copilot,https://github.com/github/awesome-copilot,"Community-contributed instructions, agents, skills, and configurations to help you make the most of GitHub Copilot.",Curated collections,2026-07-29,Awesome landscape 2026-07-29,"Instructions, agents, skills, and configurations are already packaged in the forms a coding agent can consume.",37145,57,53.96,2026-07-29,Python,MIT
5,969302809,hesreallyhim/awesome-claude-code,https://github.com/hesreallyhim/awesome-claude-code,"A hand-picked collection of the finest of resources for the most awesome of agents, Claude Code, the undisputed champion of coding companions, from the unstoppable team at Anthropic PBC. A delectable showcase of top tier skills, ambidextrous agents, scintillating status lines, top notch developer tooling, and also we have plugins",Curated collections,2026-07-29,Awesome landscape 2026-07-29,Broad Claude Code ecosystem map with sustained collaboration across all three observed months.,51142,43,20.98,2026-07-29,Python,NOASSERTION
6,896335270,punkpeye/awesome-mcp-servers,https://github.com/punkpeye/awesome-mcp-servers,A collection of MCP servers.,Curated collections,2026-07-29,Awesome landscape 2026-07-29,The strongest collaboration signal in the classic-awesome group and a practical map of agent tool access.,91492,373,253.29,2026-07-29,,MIT
7,793375104,Shubhamsaboo/awesome-llm-apps,https://github.com/Shubhamsaboo/awesome-llm-apps,"100+ AI Agents, Agent Skills and RAG Apps - Free and Open Source.",Curated collections,2026-07-29,Awesome landscape 2026-07-29,"Large example collection connecting agents, skills, and RAG apps; valuable for patterns, though less focused on reusable operating practice.",128390,12,12.41,2026-07-29,Python,Apache-2.0
8,21737465,sindresorhus/awesome,https://github.com/sindresorhus/awesome,😎 Awesome lists about all kinds of interesting topics,Curated collections,2026-07-29,Awesome landscape 2026-07-29,The canonical meta-list anchors the earlier human-curated awesome form and helps show what has changed.,489941,35,16.2,2026-07-29,,CC0-1.0
9,1084853233,VoltAgent/awesome-agent-skills,https://github.com/VoltAgent/awesome-agent-skills,"A curated collection of 1000+ agent skills from official dev teams and the community, compatible with Claude Code, Codex, Gemini CLI, Cursor, and more.",Curated collections,2026-07-29,Awesome landscape 2026-07-29,"Cross-harness catalog covering Claude Code, Codex, Gemini CLI, Cursor, and other agents.",29124,21,22.11,2026-07-29,,MIT
10,1158722119,addyosmani/agent-skills,https://github.com/addyosmani/agent-skills,Production-grade engineering skills for AI coding agents.,Skills & plugins,2026-07-29,Awesome landscape 2026-07-29,Production-oriented engineering skills with one of the strongest visible growth signals in the skill-native group.,80747,27,15.09,2026-07-29,JavaScript,MIT
