event_type,may_2022,share_2022,may_2023,share_2023,yoy_2023,may_2024,share_2024,yoy_2024,may_2025,share_2025,yoy_2025,may_2026,share_2026,yoy_2026,change_2022_2026
__ALL_GITHUB_ARCHIVE_ROWS__,79036612,1.00000000,92357487,1.00000000,0.16854056,121043586,1.00000000,0.31059852,127073260,1.00000000,0.04981407,97641384,1.00000000,-0.23161345,0.23539435
PushEvent,52190861,0.66033778,62301566,0.67456974,0.19372558,90728773,0.74955457,0.45628399,96049206,0.75585694,0.05864108,88682757,0.90824969,-0.07669453,0.69920088
PullRequestEvent,8569944,0.10843005,8565748,0.09274557,-0.00048962,9229572,0.07624999,0.07749749,10005633,0.07873909,0.08408418,3493300,0.03577684,-0.65086667,-0.59237773
IssueCommentEvent,5357069,0.06777959,5163112,0.05590356,-0.03620581,5647866,0.04665977,0.09388795,5943381,0.04677130,0.05232330,1447346,0.01482308,-0.75647767,-0.72982502
IssuesEvent,2022727,0.02559228,2338097,0.02531573,0.15591328,2343631,0.01936188,0.00236688,2358153,0.01855743,0.00619637,1206550,0.01235695,-0.48834957,-0.40350329
WatchEvent,4610347,0.05833179,6399831,0.06929412,0.38814519,6009020,0.04964344,-0.06106583,5407592,0.04255492,-0.10008754,986355,0.01010181,-0.81759811,-0.78605623
PullRequestReviewEvent,2156300,0.02728229,2542823,0.02753240,0.17925289,2728746,0.02254350,0.07311677,2962456,0.02331298,0.08564740,662201,0.00678197,-0.77646892,-0.69289941
PullRequestReviewCommentEvent,1516035,0.01918143,1683435,0.01822738,0.11041961,1822486,0.01505644,0.08259957,2147972,0.01690341,0.17859451,639993,0.00655453,-0.70204779,-0.57785078
ForkEvent,1500573,0.01898580,1497920,0.01621872,-0.00176799,1590775,0.01314217,0.06198929,1266446,0.00996627,-0.20388113,248401,0.00254401,-0.80385978,-0.83446257
ReleaseEvent,535885,0.00678021,633487,0.00685908,0.18213236,818387,0.00676109,0.29187655,819797,0.00645137,0.00172290,242247,0.00248099,-0.70450368,-0.54794965
CommitCommentEvent,576871,0.00729878,1231468,0.01333371,1.13473723,124330,0.00102715,-0.89903920,112624,0.00088629,-0.09415266,32234,0.00033013,-0.71379102,-0.94412269
