scope,segment,year,window,repositories,issues_opened,issues_unresolved,issue_unresolved_share,prs_opened,prs_unresolved,pr_unresolved_share,pr_issue_ratio
frozen_top100_observable,all,2022,2022-01-01..2022-08-29,26,23817,8580,0.360247,49196,3805,0.077344,2.065583
frozen_top100_observable,all,2023,2023-01-01..2023-08-29,49,36960,14899,0.403111,71798,4888,0.06808,1.942587
frozen_top100_observable,all,2024,2024-01-01..2024-08-29,62,53723,18089,0.336709,97420,6169,0.063324,1.813376
constant_2024_cohort,all,2024,2024-01-01..2024-08-29,53,52993,17890,0.337592,96341,6141,0.063742,1.817995
frozen_top100_observable,all,2025,2025-01-01..2025-08-29,83,104973,34845,0.331942,157888,11994,0.075965,1.504082
constant_2024_cohort,all,2025,2025-01-01..2025-08-29,53,72072,23671,0.328435,124314,9573,0.077007,1.724858
frozen_top100_observable,all,2026,2026-01-01..2026-08-29,100,346585,93879,0.270869,599870,124226,0.207088,1.730802
constant_2024_cohort,all,2026,2026-01-01..2026-08-29,53,67967,21990,0.323539,243837,46654,0.191333,3.587579
2026_technical_role,Agent applications,2026,2026-01-01..2026-08-29,28,249400,61409,0.246227,261105,55382,0.212106,1.046933
2026_technical_role,Agent frameworks,2026,2026-01-01..2026-08-29,21,33826,11220,0.331698,100424,18840,0.187605,2.968841
2026_technical_role,Agent runtime infrastructure,2026,2026-01-01..2026-08-29,15,15365,4476,0.291311,47494,6473,0.136291,3.091051
2026_technical_role,Model infrastructure,2026,2026-01-01..2026-08-29,36,47994,16774,0.349502,190847,43531,0.228094,3.976476
