repo_name,llm_native_manual,collaboration_niche,candidate_adoption_date,candidate_adoption_month,metric,pre_minus_2,pre_minus_1,post_plus_1,post_plus_2,pre_two_month_mean,post_two_month_mean,post_minus_pre,post_to_pre_ratio
apache/iceberg,traditional,model_infra,2026-03-17T14:19:29+00:00,2026-03,issues_opened_in_month,54.0,63.0,68.0,117.0,58.5,92.5,34.0,1.5812
apache/iceberg,traditional,model_infra,2026-03-17T14:19:29+00:00,2026-03,prs_opened_in_month,191.0,218.0,273.0,339.0,204.5,306.0,101.5,1.4963
docling-project/docling,mixed,model_infra,2026-05-08T13:07:11+00:00,2026-05,issues_opened_in_month,67.0,61.0,70.0,60.0,64.0,65.0,1.0,1.0156
docling-project/docling,mixed,model_infra,2026-05-08T13:07:11+00:00,2026-05,prs_opened_in_month,99.0,99.0,132.0,136.0,99.0,134.0,35.0,1.3535
huggingface/trl,llm_native,model_infra,2026-03-07T00:27:24+00:00,2026-03,issues_opened_in_month,47.0,56.0,34.0,28.0,51.5,31.0,-20.5,0.6019
huggingface/trl,llm_native,model_infra,2026-03-07T00:27:24+00:00,2026-03,prs_opened_in_month,129.0,201.0,231.0,176.0,165.0,203.5,38.5,1.2333
microsoft/onnxruntime,traditional,model_infra,2026-04-07T23:54:22+00:00,2026-04,issues_opened_in_month,52.0,89.0,94.0,72.0,70.5,83.0,12.5,1.1773
microsoft/onnxruntime,traditional,model_infra,2026-04-07T23:54:22+00:00,2026-04,prs_opened_in_month,217.0,326.0,277.0,280.0,271.5,278.5,7.0,1.0258
NVIDIA-NeMo/RL,llm_native,model_infra,2026-03-30T07:01:39+00:00,2026-03,issues_opened_in_month,29.0,84.0,26.0,40.0,56.5,33.0,-23.5,0.5841
NVIDIA-NeMo/RL,llm_native,model_infra,2026-03-30T07:01:39+00:00,2026-03,prs_opened_in_month,122.0,98.0,169.0,232.0,110.0,200.5,90.5,1.8227
NVIDIA/Megatron-LM,llm_native,model_infra,2026-04-02T15:54:45+00:00,2026-04,issues_opened_in_month,43.0,58.0,51.0,43.0,50.5,47.0,-3.5,0.9307
NVIDIA/Megatron-LM,llm_native,model_infra,2026-04-02T15:54:45+00:00,2026-04,prs_opened_in_month,413.0,380.0,459.0,469.0,396.5,464.0,67.5,1.1702
NVIDIA/Model-Optimizer,mixed,model_infra,2026-03-06T19:30:42+00:00,2026-03,issues_opened_in_month,18.0,12.0,12.0,7.0,15.0,9.5,-5.5,0.6333
NVIDIA/Model-Optimizer,mixed,model_infra,2026-03-06T19:30:42+00:00,2026-03,prs_opened_in_month,82.0,102.0,214.0,188.0,92.0,201.0,109.0,2.1848
QwenLM/qwen-code,llm_native,agent_application,2026-03-20T05:16:29+00:00,2026-03,issues_opened_in_month,110.0,168.0,490.0,310.0,139.0,400.0,261.0,2.8777
QwenLM/qwen-code,llm_native,agent_application,2026-03-20T05:16:29+00:00,2026-03,prs_opened_in_month,152.0,159.0,465.0,546.0,155.5,505.5,350.0,3.2508
router-for-me/CLIProxyAPI,llm_native,agent_runtime_infra,2026-04-08T02:12:51+00:00,2026-04,issues_opened_in_month,211.0,294.0,256.0,202.0,252.5,229.0,-23.5,0.9069
router-for-me/CLIProxyAPI,llm_native,agent_runtime_infra,2026-04-08T02:12:51+00:00,2026-04,prs_opened_in_month,134.0,218.0,199.0,178.0,176.0,188.5,12.5,1.071
verl-project/verl,llm_native,model_infra,2026-04-01T14:09:24+00:00,2026-04,issues_opened_in_month,75.0,103.0,74.0,106.0,89.0,90.0,1.0,1.0112
verl-project/verl,llm_native,model_infra,2026-04-01T14:09:24+00:00,2026-04,prs_opened_in_month,203.0,286.0,240.0,248.0,244.5,244.0,-0.5,0.998
vllm-project/vllm,llm_native,model_infra,2026-03-12T17:20:50+00:00,2026-03,issues_opened_in_month,476.0,520.0,774.0,588.0,498.0,681.0,183.0,1.3675
vllm-project/vllm,llm_native,model_infra,2026-03-12T17:20:50+00:00,2026-03,prs_opened_in_month,1418.0,1609.0,1961.0,2096.0,1513.5,2028.5,515.0,1.3403
