sample_rank,repo_name,number,html_url,llm_native_manual,collaboration_niche,outcome,additions,deletions,change_lines,changed_files,commits_total,observed_commit_rows,commit_attribution_complete,opener_login,opener_automation_role,opener_automation_confidence,agent_opened,expanded_agent_opened,direct_agent_commit_count,expanded_agent_commit_count,pr_linked_agent_commit_count,human_or_unknown_commit_count,agent_only_traceable,expanded_agent_only_traceable,agent_touched,expanded_agent_touched,ai_disclosure_class,ai_disclosure_evidence,attribution_class,attribution_evidence
1,openclaw/openclaw,95319,https://github.com/openclaw/openclaw/pull/95319,llm_native,agent_application,closed_unmerged,57,3,60,3,1,1,true,ly-wang19,not_automation,,false,false,0,0,0,1,false,false,false,false,none,,no_public_agent_code_signal,
1,openclaw/openclaw,99814,https://github.com/openclaw/openclaw/pull/99814,llm_native,agent_application,closed_unmerged,195,52,247,9,5,5,true,chenyangjun-xy,not_automation,,false,false,0,0,0,5,false,false,false,false,none,,no_public_agent_code_signal,
1,openclaw/openclaw,21380,https://github.com/openclaw/openclaw/pull/21380,llm_native,agent_application,closed_unmerged,3,4,7,2,3,3,true,adhitShet,not_automation,,false,false,0,0,0,3,false,false,false,false,none,,no_public_agent_code_signal,
1,openclaw/openclaw,93028,https://github.com/openclaw/openclaw/pull/93028,llm_native,agent_application,closed_unmerged,319,15,334,4,3,3,true,llljjjwww333,not_automation,,false,false,0,0,0,3,false,false,false,false,none,,no_public_agent_code_signal,
1,openclaw/openclaw,37540,https://github.com/openclaw/openclaw/pull/37540,llm_native,agent_application,closed_unmerged,5,0,5,1,1,1,true,bmendonca3,not_automation,,false,false,0,0,0,1,false,false,false,false,none,,no_public_agent_code_signal,
1,openclaw/openclaw,57482,https://github.com/openclaw/openclaw/pull/57482,llm_native,agent_application,merged,166,124,290,4,6,6,true,vincentkoc,not_automation,,false,false,0,0,0,6,false,false,false,false,none,,no_public_agent_code_signal,
1,openclaw/openclaw,24708,https://github.com/openclaw/openclaw/pull/24708,llm_native,agent_application,closed_unmerged,4,1,5,1,1,1,true,pich4ya,not_automation,,false,false,0,0,0,1,false,false,false,false,none,,no_public_agent_code_signal,
1,openclaw/openclaw,76964,https://github.com/openclaw/openclaw/pull/76964,llm_native,agent_application,closed_unmerged,404,86,490,49,1,1,true,BunsDev,not_automation,,false,false,0,0,0,1,false,false,false,false,none,,no_public_agent_code_signal,
1,openclaw/openclaw,127291,https://github.com/openclaw/openclaw/pull/127291,llm_native,agent_application,closed_unmerged,648,66,714,10,1,1,true,VACInc,not_automation,,false,false,0,0,0,1,false,false,false,false,none,,no_public_agent_code_signal,
1,openclaw/openclaw,125039,https://github.com/openclaw/openclaw/pull/125039,llm_native,agent_application,merged,41,35,76,5,3,3,true,steipete,not_automation,,false,false,0,0,0,3,false,false,false,false,none,,no_public_agent_code_signal,
1,openclaw/openclaw,97846,https://github.com/openclaw/openclaw/pull/97846,llm_native,agent_application,closed_unmerged,43,4,47,2,1,1,true,whiteyzy,not_automation,,false,false,0,0,0,1,false,false,false,false,none,,no_public_agent_code_signal,
1,openclaw/openclaw,53611,https://github.com/openclaw/openclaw/pull/53611,llm_native,agent_application,merged,145,3,148,4,1,1,true,giulio-leone,not_automation,,false,false,0,0,0,1,false,false,false,false,none,,no_public_agent_code_signal,
1,openclaw/openclaw,106406,https://github.com/openclaw/openclaw/pull/106406,llm_native,agent_application,merged,6650,509,7159,108,23,23,true,steipete,not_automation,,false,false,0,0,0,23,false,false,false,false,none,,no_public_agent_code_signal,
1,openclaw/openclaw,20077,https://github.com/openclaw/openclaw/pull/20077,llm_native,agent_application,closed_unmerged,200,28,228,7,3,3,true,schergr,not_automation,,false,false,0,0,0,3,false,false,false,false,none,,no_public_agent_code_signal,
1,openclaw/openclaw,18425,https://github.com/openclaw/openclaw/pull/18425,llm_native,agent_application,merged,8,7,15,1,2,2,true,misterdas,not_automation,,false,false,0,0,0,2,false,false,false,false,none,,no_public_agent_code_signal,
1,openclaw/openclaw,103645,https://github.com/openclaw/openclaw/pull/103645,llm_native,agent_application,merged,60,5,65,2,3,3,true,qingminglong,not_automation,,false,false,0,0,0,3,false,false,false,false,none,,no_public_agent_code_signal,
1,openclaw/openclaw,108390,https://github.com/openclaw/openclaw/pull/108390,llm_native,agent_application,merged,0,1,1,1,1,1,true,steipete,not_automation,,false,false,0,0,0,1,false,false,false,false,none,,no_public_agent_code_signal,
1,openclaw/openclaw,96549,https://github.com/openclaw/openclaw/pull/96549,llm_native,agent_application,closed_unmerged,322,0,322,2,1,1,true,PollyBot13,not_automation,,false,false,0,0,0,1,false,false,false,false,none,,no_public_agent_code_signal,
