dimension,stratum,scenario,sample_merged_prs,sample_positive_prs,repositories,sample_pr_share,sample_change_line_share
llm_native_manual,llm_native,strict_agent_only,1368,4,67,0.002924,0.000664
llm_native_manual,llm_native,strict_agent_touched,1368,14,67,0.010234,0.011812
llm_native_manual,mixed,strict_agent_only,337,4,14,0.011869,0.000517
llm_native_manual,mixed,strict_agent_touched,337,11,14,0.032641,0.055462
llm_native_manual,traditional,strict_agent_only,420,0,16,0.0,0.0
llm_native_manual,traditional,strict_agent_touched,420,1,16,0.002381,0.003218
collaboration_niche,agent_application,strict_agent_only,421,1,27,0.002375,0.000167
collaboration_niche,agent_application,strict_agent_touched,421,4,27,0.009501,0.02357
collaboration_niche,agent_framework,strict_agent_only,474,3,21,0.006329,0.002158
collaboration_niche,agent_framework,strict_agent_touched,474,11,21,0.023207,0.034225
collaboration_niche,agent_runtime_infra,strict_agent_only,383,0,15,0.0,0.0
collaboration_niche,agent_runtime_infra,strict_agent_touched,383,1,15,0.002611,0.000619
collaboration_niche,model_infra,strict_agent_only,847,4,34,0.004723,0.000213
collaboration_niche,model_infra,strict_agent_touched,847,10,34,0.011806,0.006763
