repo_name,llm_native_manual,collaboration_niche,candidate_adoption_date,candidate_adoption_commit,candidate_adoption_path,instruction_paths_checked,path_history_inconsistency,scan_status,error,collected_at
a2ui-project/a2ui,llm_native,agent_runtime_infra,2026-06-09T04:52:08+00:00,c813aa96021c79a3309e848492411d2471edb577,AGENTS.md,1,false,ok,,2026-08-28T18:44:21.646779+00:00
ai-dynamo/dynamo,llm_native,model_infra,2026-06-09T15:26:17+00:00,e59120ae2dd8dc9bb53d211b065d1855f10029c5,AGENTS.md,2,false,ok,,2026-08-28T18:44:22.258269+00:00
apache/iceberg,traditional,model_infra,2026-03-17T14:19:29+00:00,f88180a2607ecb8ffe04af86b1970f2d733d28c6,AGENTS.md,1,false,ok,,2026-08-28T18:44:23.502389+00:00
apache/spark,traditional,model_infra,2026-02-20T01:24:38+00:00,92859b5b7b068a6d5b703830d5034978b4011f63,AGENTS.md,2,false,ok,,2026-08-28T18:44:24.091061+00:00
charmbracelet/crush,llm_native,agent_application,2025-12-17T15:40:09+00:00,4f07a5485d11fd11e7216954bebd85cfcd1d4f0c,AGENTS.md,1,true,ok,,2026-08-28T18:44:25.189245+00:00
Comfy-Org/ComfyUI,traditional,agent_framework,2026-06-30T21:40:33+00:00,50e5270b86765bac2da70248d61050abba72b19f,AGENTS.md,1,false,ok,,2026-08-28T18:44:13.171739+00:00
coze-dev/coze-loop,llm_native,agent_runtime_infra,2026-06-29T06:57:06+00:00,75e26c065188dd83507a5d9acf8207b56b9911d9,AGENTS.md,1,false,ok,,2026-08-28T18:44:25.856664+00:00
danny-avila/LibreChat,llm_native,agent_application,2026-02-19T21:33:43+00:00,c3da148fa0fb2d5e7c6ff11ab79d1bf1c36de916,AGENTS.md,2,false,ok,,2026-08-28T18:44:26.376760+00:00
docling-project/docling,mixed,model_infra,2026-05-08T13:07:11+00:00,5b1df788ef0098f3a56973cca783dfc6334ac774,AGENTS.md,2,false,ok,,2026-08-28T18:44:27.606715+00:00
huggingface/trl,llm_native,model_infra,2026-03-07T00:27:24+00:00,195b6292e03dbe3fd071a144f5dd451b3368f69b,AGENTS.md,2,false,ok,,2026-08-28T18:44:28.543296+00:00
kvcache-ai/Mooncake,llm_native,model_infra,2026-07-04T15:15:16+00:00,f704fb83fe229781027d4bb36b575414bcb623c5,AGENTS.md,2,false,ok,,2026-08-28T18:44:29.798721+00:00
langchain-ai/deepagents,llm_native,agent_framework,2026-01-31T06:59:18+00:00,aac50a0ff254ec5213e6e51b6c4c20668f4967ac,AGENTS.md,1,false,ok,,2026-08-28T18:44:30.770145+00:00
livekit/agents,llm_native,agent_framework,2026-01-12T07:25:45+00:00,a59cc1e840380944d924554510b4d1811e353dc2,AGENTS.md,2,false,ok,,2026-08-28T18:44:31.273150+00:00
microsoft/onnxruntime,traditional,model_infra,2026-04-07T23:54:22+00:00,c2e040a57ec08331fda44e187f2b97de0baf595f,AGENTS.md,3,false,ok,,2026-08-28T18:44:32.362492+00:00
milvus-io/milvus,traditional,agent_runtime_infra,2026-02-25T11:25:51+00:00,d786c2a6d534a5cc0bafd00a8147d04cf19bf19c,CLAUDE.md,2,false,ok,,2026-08-28T18:44:34.058339+00:00
NVIDIA-NeMo/RL,llm_native,model_infra,2026-03-30T07:01:39+00:00,97a858f2605acb6aa418a25813ec89b7f3340729,CLAUDE.md,2,false,ok,,2026-08-28T18:44:14.367437+00:00
NVIDIA/Megatron-LM,llm_native,model_infra,2026-04-02T15:54:45+00:00,5a7f520d67ed51e783f39c53c20570f432aa9f74,.cursorrules,3,false,ok,,2026-08-28T18:44:15.526108+00:00
NVIDIA/Model-Optimizer,mixed,model_infra,2026-03-06T19:30:42+00:00,a007820afa98a6e644e283eaa6ff7a65b9593ed7,CLAUDE.md,2,false,ok,,2026-08-28T18:44:17.212221+00:00
NVIDIA/TensorRT-LLM,llm_native,model_infra,2026-02-10T04:29:58+00:00,0c8b5221b4a0c41f08b8233a7e1285317402411e,AGENTS.md,2,false,ok,,2026-08-28T18:44:18.364298+00:00
ollama/ollama,llm_native,model_infra,2026-06-07T17:57:59+00:00,96201a623a62b4434ff434a0a4a6b5b247fce481,AGENTS.md,2,false,ok,,2026-08-28T18:44:35.204139+00:00
OpenHands/software-agent-sdk,llm_native,agent_framework,2026-01-12T19:00:41+00:00,d7d9a0e8dfca961b8f9f1386b0a45bdea64c5814,AGENTS.md,1,false,ok,,2026-08-28T18:44:19.618888+00:00
openvinotoolkit/openvino,traditional,model_infra,2026-02-23T09:29:59+00:00,3ab7d1efa421c7d667f726234cd2d4832e9db9d8,.github/copilot-instructions.md,1,false,ok,,2026-08-28T18:44:36.211882+00:00
QwenLM/qwen-code,llm_native,agent_application,2026-03-20T05:16:29+00:00,b67bd193176eefabd0bfc58ac7c2c45b1fdb941d,AGENTS.md,2,false,ok,,2026-08-28T18:44:20.352736+00:00
ray-project/ray,traditional,model_infra,2026-07-14T18:33:21+00:00,62618a9d012b258d73a6d7f1ab5c4c1a665ce471,AGENTS.md,1,false,ok,,2026-08-28T18:44:36.847719+00:00
router-for-me/CLIProxyAPI,llm_native,agent_runtime_infra,2026-04-08T02:12:51+00:00,f5aa68ecdaae6789da4f4b226367b43b3d0928eb,AGENTS.md,2,false,ok,,2026-08-28T18:44:37.301913+00:00
siyuan-note/siyuan,mixed,agent_application,2026-06-15T15:32:22+00:00,1f1d07a113a1a1077f818ce2565886edd2ce661a,AGENTS.md,1,false,ok,,2026-08-28T18:44:38.265005+00:00
triton-lang/triton,traditional,model_infra,2026-02-23T16:37:11+00:00,cad72536c3b13a52b34ffee73bbe09ba147e15ed,AGENTS.md,1,false,ok,,2026-08-28T18:44:39.288771+00:00
vercel/ai,llm_native,agent_framework,2026-01-05T20:04:32+00:00,04ad80e53e31b7bdff2168fcad6c1ff579408df5,AGENTS.md,2,false,ok,,2026-08-28T18:44:39.998524+00:00
verl-project/verl,llm_native,model_infra,2026-04-01T14:09:24+00:00,e5ef61fa5c1659e9c2abdf32f689e29917368b7d,AGENTS.md,2,false,ok,,2026-08-28T18:44:41.537817+00:00
vllm-project/vllm,llm_native,model_infra,2026-03-12T17:20:50+00:00,e39257a552d18ae9abb6ba1bbe65865d385ea764,AGENTS.md,2,false,ok,,2026-08-28T18:44:42.374806+00:00
vllm-project/vllm-ascend,llm_native,model_infra,2026-02-26T00:47:46+00:00,3b59d0ebe9d0ce309b95e69ec35b949c6179b473,AGENTS.md,2,false,ok,,2026-08-28T18:44:43.487771+00:00
weaviate/weaviate,traditional,agent_runtime_infra,2026-02-23T07:23:16+00:00,846e2b9d4e7520993bc469c3e16a39c4d0971000,CLAUDE.md,1,false,ok,,2026-08-28T18:44:44.807005+00:00
