sample_rank,repo_name,snapshot_date,year,llm_native_manual,collaboration_niche,commit_sha,marker_tool,evidence_level,marker_path,blob_sha,size_bytes,tasks,content_read
1,openclaw/openclaw,2025-12-31,2025,llm_native,agent_application,7baaca4a7622385dc306cffeea1fd181aee1bd1c,cross_agent,active_instruction,AGENTS.md,26b42fd9ad8edf36c1e0b1da5dc4151719e5d28f,7025,implementation|tests_validation|documentation|code_review|issue_planning|release_dependency|security_compliance|repository_context,yes
1,openclaw/openclaw,2025-12-31,2025,llm_native,agent_application,7baaca4a7622385dc306cffeea1fd181aee1bd1c,claude_code,active_instruction,CLAUDE.md,47dc3e3d863cfb5727b87d785d09abf9743c0a72,9,,yes
1,openclaw/openclaw,2026-08-29,2026,llm_native,agent_application,6ee9b5ed7ca4e3af952b2c34cce8c2654e9b205f,codex,active_instruction,AGENTS.md,591cc69b3b57528b77c6412c27bf296eef6a2350,64567,implementation|tests_validation|documentation|code_review|issue_planning|release_dependency|security_compliance|repository_context,yes
1,openclaw/openclaw,2026-08-29,2026,llm_native,agent_application,6ee9b5ed7ca4e3af952b2c34cce8c2654e9b205f,claude_code,active_instruction,CLAUDE.md,47dc3e3d863cfb5727b87d785d09abf9743c0a72,9,,yes
1,openclaw/openclaw,2026-08-29,2026,llm_native,agent_application,6ee9b5ed7ca4e3af952b2c34cce8c2654e9b205f,github_copilot,active_instruction,.github/instructions,7213f418292f32a5a50a6fa775a1764884660935,,,no
1,openclaw/openclaw,2026-08-29,2026,llm_native,agent_application,6ee9b5ed7ca4e3af952b2c34cce8c2654e9b205f,cross_agent,active_config,.agents,51553c5dd33865763afeda0a9ee4daf36276c1bb,,,no
1,openclaw/openclaw,2026-08-29,2026,llm_native,agent_application,6ee9b5ed7ca4e3af952b2c34cce8c2654e9b205f,claude_code,active_config,.claude,670d09ed99ed6a12fe0e3cb607af86664d9a5dc4,,,no
1,openclaw/openclaw,2026-08-29,2026,llm_native,agent_application,6ee9b5ed7ca4e3af952b2c34cce8c2654e9b205f,claude_code,residual_gitignore,.gitignore,033eb7367610a1a8ba46f0cdeb0fc78e6f3f1c1c,5555,,yes
2,NousResearch/hermes-agent,2025-12-31,2025,llm_native,agent_application,30ca2825942f8e810af1c80b541d9f969d811d66,cursor,active_instruction,.cursorrules,defa74ef3c3ed1345ac21c748e5ba07a94eca30c,1338,implementation|tests_validation|issue_planning|repository_context,yes
2,NousResearch/hermes-agent,2026-08-29,2026,llm_native,agent_application,baa344dee76993f0444c18fc59a69738ccb339d0,codex,active_instruction,AGENTS.md,e140522e964a4736efbcc12727a7eff8683dffea,95906,implementation|tests_validation|documentation|code_review|issue_planning|release_dependency|security_compliance|repository_context,yes
2,NousResearch/hermes-agent,2026-08-29,2026,llm_native,agent_application,baa344dee76993f0444c18fc59a69738ccb339d0,codex,residual_gitignore,.gitignore,bef8cb592ef4ed392feb037a81527038fef1ad26,6728,,yes
2,NousResearch/hermes-agent,2026-08-29,2026,llm_native,agent_application,baa344dee76993f0444c18fc59a69738ccb339d0,cursor,residual_gitignore,.gitignore,bef8cb592ef4ed392feb037a81527038fef1ad26,6728,,yes
2,NousResearch/hermes-agent,2026-08-29,2026,llm_native,agent_application,baa344dee76993f0444c18fc59a69738ccb339d0,gemini,residual_gitignore,.gitignore,bef8cb592ef4ed392feb037a81527038fef1ad26,6728,,yes
2,NousResearch/hermes-agent,2026-08-29,2026,llm_native,agent_application,baa344dee76993f0444c18fc59a69738ccb339d0,roo_code,residual_gitignore,.gitignore,bef8cb592ef4ed392feb037a81527038fef1ad26,6728,,yes
3,pytorch/pytorch,2022-12-31,2022,traditional,model_infra,39d49dbe4546c9f4d153ec748f62371e4546158a,roo_code,residual_gitignore,.gitignore,597ae390abe9c6b9f80d02504c7ea9ca25bdf406,5485,,yes
3,pytorch/pytorch,2023-12-31,2023,traditional,model_infra,127812efee61768f5660cb10034d96810ac6d960,roo_code,residual_gitignore,.gitignore,20019ecd170f8bbfe2e05c50024d882aa40cb1c8,5980,,yes
3,pytorch/pytorch,2024-12-31,2024,traditional,model_infra,8d9ff9c8a414c66809a2be63870a8f1c7ab7ea09,roo_code,residual_gitignore,.gitignore,b95789fbba0a6bc34dc202179f750d16fb510b4c,6114,,yes
3,pytorch/pytorch,2025-12-31,2025,traditional,model_infra,452abac61caf41209049e2e49901a5ed60f4cb89,cross_agent,active_instruction,AGENTS.md,718217d3e663dcf3ea95cd2ec8d0ed6286b664c4,1070,implementation|tests_validation,yes
3,pytorch/pytorch,2025-12-31,2025,traditional,model_infra,452abac61caf41209049e2e49901a5ed60f4cb89,claude_code,active_instruction,CLAUDE.md,dcdf409e73146554198f858a8865711ad4696552,250,tests_validation,yes
3,pytorch/pytorch,2025-12-31,2025,traditional,model_infra,452abac61caf41209049e2e49901a5ed60f4cb89,github_copilot,active_instruction,.github/copilot-instructions.md,06c3f32abd5e1dac1657d7b7565d2d0347e23e62,4726,implementation|tests_validation|documentation|issue_planning|release_dependency|repository_context,yes
3,pytorch/pytorch,2025-12-31,2025,traditional,model_infra,452abac61caf41209049e2e49901a5ed60f4cb89,claude_code,active_config,.claude,1f12ba566e40b4bb74ed0ea19989ce4fbd08a03b,,,no
3,pytorch/pytorch,2025-12-31,2025,traditional,model_infra,452abac61caf41209049e2e49901a5ed60f4cb89,claude_code,residual_gitignore,.gitignore,3b4323051073a45094dfdeed969acc51a01ba7b5,7018,,yes
3,pytorch/pytorch,2025-12-31,2025,traditional,model_infra,452abac61caf41209049e2e49901a5ed60f4cb89,roo_code,residual_gitignore,.gitignore,3b4323051073a45094dfdeed969acc51a01ba7b5,7018,,yes
3,pytorch/pytorch,2026-08-29,2026,traditional,model_infra,b543bc5be04b4802ab2622cfd328fd675ea420bf,cross_agent,active_instruction,AGENTS.md,681311eb9cf453d0faddf3aacaec7357e97ba8e9,9,,yes
3,pytorch/pytorch,2026-08-29,2026,traditional,model_infra,b543bc5be04b4802ab2622cfd328fd675ea420bf,claude_code,active_instruction,CLAUDE.md,9da553f79207dc33f0f57f675ab9efe60f949922,15226,implementation|tests_validation|documentation|code_review|issue_planning|repository_context,yes
3,pytorch/pytorch,2026-08-29,2026,traditional,model_infra,b543bc5be04b4802ab2622cfd328fd675ea420bf,github_copilot,active_instruction,.github/copilot-instructions.md,cec3ea2f2a00da8214504cd820318732254fc952,4835,implementation|tests_validation|documentation|issue_planning|release_dependency|repository_context,yes
3,pytorch/pytorch,2026-08-29,2026,traditional,model_infra,b543bc5be04b4802ab2622cfd328fd675ea420bf,claude_code,active_config,.claude,d44b68d77aa2cda20f76a847d2287e264959ac1a,,,no
3,pytorch/pytorch,2026-08-29,2026,traditional,model_infra,b543bc5be04b4802ab2622cfd328fd675ea420bf,claude_code,residual_gitignore,.gitignore,337e394432ef32f5ca94ee5323c3e21a15f5c605,7404,,yes
3,pytorch/pytorch,2026-08-29,2026,traditional,model_infra,b543bc5be04b4802ab2622cfd328fd675ea420bf,roo_code,residual_gitignore,.gitignore,337e394432ef32f5ca94ee5323c3e21a15f5c605,7404,,yes
4,supabase/supabase,2025-12-31,2025,traditional,agent_runtime_infra,0500c21b37cc11b6b6140dde9827f89fb7d3097d,cursor,active_instruction,.cursor/rules,4ab89996782a5448bdaa6a31b8a941bb895cf2b1,,,no
4,supabase/supabase,2025-12-31,2025,traditional,agent_runtime_infra,0500c21b37cc11b6b6140dde9827f89fb7d3097d,cursor,active_config,.cursor,b6cf1b699dadf2bf38903248fb649a8127c991c6,,,no
4,supabase/supabase,2025-12-31,2025,traditional,agent_runtime_infra,0500c21b37cc11b6b6140dde9827f89fb7d3097d,claude_code,residual_gitignore,.gitignore,164a3881bb8a5f1f93f60d4857f4ef2b4654a92c,2191,,yes
4,supabase/supabase,2026-08-29,2026,traditional,agent_runtime_infra,86c813ec03e340ffbe4aeb97cd0c5bee7a0ead94,github_copilot,active_instruction,.github/copilot-instructions.md,b002e4a7b997d73f047feb5af5d1655a7f4dbb00,3687,implementation|tests_validation|documentation|code_review|issue_planning|security_compliance,yes
4,supabase/supabase,2026-08-29,2026,traditional,agent_runtime_infra,86c813ec03e340ffbe4aeb97cd0c5bee7a0ead94,cursor,active_instruction,.cursor/rules,b94c6442d23f85cfc9e6738982ccf6164536028d,,,no
4,supabase/supabase,2026-08-29,2026,traditional,agent_runtime_infra,86c813ec03e340ffbe4aeb97cd0c5bee7a0ead94,github_copilot,active_instruction,.github/instructions,e09455443cd802160d41fb0c149aa0da0c3c1876,,,no
4,supabase/supabase,2026-08-29,2026,traditional,agent_runtime_infra,86c813ec03e340ffbe4aeb97cd0c5bee7a0ead94,cross_agent,active_config,.agents,0437a99c83eeb292e22806edafefc7cc6102c543,,,no
4,supabase/supabase,2026-08-29,2026,traditional,agent_runtime_infra,86c813ec03e340ffbe4aeb97cd0c5bee7a0ead94,claude_code,active_config,.claude,edf721538d17778d8b342f92359939c2e6df46f2,,,no
4,supabase/supabase,2026-08-29,2026,traditional,agent_runtime_infra,86c813ec03e340ffbe4aeb97cd0c5bee7a0ead94,cursor,active_config,.cursor,505cf9b694dd2de1f69a13a25fb051a97c65dc41,,,no
