sample_rank,repo_name,llm_native_manual,collaboration_niche,agent_proximity,may_strict_instruction,august_strict_instruction,may_any_active_marker,august_any_active_marker,may_active_tools,august_active_tools,tools_added,tools_removed
1,openclaw/openclaw,llm_native,agent_application,direct_agent_experience,yes,yes,yes,yes,claude_code|codex|cross_agent|github_copilot,claude_code|codex|cross_agent|github_copilot,,
2,NousResearch/hermes-agent,llm_native,agent_application,direct_agent_experience,yes,yes,yes,yes,codex,codex,,
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|cross_agent|github_copilot,claude_code|cross_agent|github_copilot,,
4,supabase/supabase,traditional,agent_runtime_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|cross_agent|cursor|github_copilot,claude_code|cross_agent|cursor|github_copilot,,
5,bytedance/deer-flow,llm_native,agent_framework,agent_building,yes,yes,yes,yes,cross_agent|github_copilot,claude_code|codex|cross_agent|github_copilot,claude_code|codex,
6,sgl-project/sglang,llm_native,model_infra,supporting_infrastructure,no,no,yes,yes,claude_code,claude_code,,
7,vllm-project/vllm,llm_native,model_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|cross_agent|gemini,claude_code|cross_agent|gemini,,
8,larksuite/cli,mixed,agent_runtime_infra,supporting_infrastructure,yes,yes,yes,yes,cross_agent,cross_agent,,
9,volcengine/OpenViking,llm_native,agent_runtime_infra,supporting_infrastructure,no,no,no,yes,,cross_agent,cross_agent,
10,openai/codex,llm_native,agent_application,direct_agent_experience,yes,yes,yes,yes,codex,codex,,
11,ollama/ollama,llm_native,model_infra,supporting_infrastructure,no,yes,no,yes,,claude_code|cross_agent,claude_code|cross_agent,
12,langchain-ai/deepagents,llm_native,agent_framework,agent_building,yes,yes,yes,yes,cross_agent,cross_agent,,
13,anomalyco/opencode,llm_native,agent_application,direct_agent_experience,yes,yes,yes,yes,cross_agent,cross_agent,,
14,flashinfer-ai/flashinfer,llm_native,model_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|cross_agent,claude_code|cross_agent,,
15,NVIDIA/TensorRT-LLM,llm_native,model_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|codex|cross_agent,claude_code|codex|cross_agent,,
16,anthropics/claude-code,llm_native,agent_application,direct_agent_experience,no,no,yes,yes,claude_code,claude_code,,
17,jax-ml/jax,traditional,model_infra,supporting_infrastructure,no,no,no,no,,,,
18,ai-dynamo/dynamo,llm_native,model_infra,supporting_infrastructure,no,yes,yes,yes,claude_code|cross_agent,claude_code|codex|cross_agent,codex,
19,apache/airflow,traditional,model_infra,supporting_infrastructure,yes,yes,yes,yes,claude_code|cross_agent|github_copilot,claude_code|codex|cross_agent|github_copilot,codex,
