metric,segment,paired_repositories,may_count,may_rate,august_count,august_rate,percentage_point_change,retained,added,removed,absent,exact_p
strict_instruction,all_paired,99,75,0.7576,85,0.8586,10.1,75,10,0,14,0.001953
any_active_marker,all_paired,99,85,0.8586,91,0.9192,6.06,85,6,0,8,0.03125
active_tool,cross_agent,99,71,0.7172,79,0.798,8.08,70,9,1,19,0.021484
active_tool,claude_code,99,65,0.6566,70,0.7071,5.05,65,5,0,29,0.0625
active_tool,codex,99,20,0.202,23,0.2323,3.03,17,6,3,73,0.507812
active_tool,github_copilot,99,18,0.1818,19,0.1919,1.01,18,1,0,80,1.0
active_tool,cursor,99,16,0.1616,17,0.1717,1.01,15,2,1,81,1.0
active_tool,gemini,99,14,0.1414,12,0.1212,-2.02,12,0,2,85,0.5
active_tool,cline,99,0,0.0,1,0.0101,1.01,0,1,0,98,1.0
active_tool,windsurf,99,0,0.0,0,0.0,0.0,0,0,0,99,1.0
active_tool,roo_code,99,0,0.0,0,0.0,0.0,0,0,0,99,1.0
active_tool,continue,99,0,0.0,0,0.0,0.0,0,0,0,99,1.0
strict_instruction,llm_native_manual=llm_native,67,52,0.7761,58,0.8657,8.96,52,6,0,9,0.03125
strict_instruction,llm_native_manual=mixed,14,12,0.8571,14,1.0,14.29,12,2,0,0,0.5
strict_instruction,llm_native_manual=traditional,18,11,0.6111,13,0.7222,11.11,11,2,0,5,0.5
strict_instruction,collaboration_niche=agent_application,28,21,0.75,24,0.8571,10.71,21,3,0,4,0.25
strict_instruction,collaboration_niche=agent_framework,20,18,0.9,19,0.95,5.0,18,1,0,1,1.0
strict_instruction,collaboration_niche=agent_runtime_infra,15,12,0.8,14,0.9333,13.33,12,2,0,1,0.5
strict_instruction,collaboration_niche=model_infra,36,24,0.6667,28,0.7778,11.11,24,4,0,8,0.125
