sample_rank,repo_name,snapshot_date,year,created_at,llm_native_manual,collaboration_niche,agent_proximity,history_available,scan_status,error,default_branch,commit_sha,commit_date,tree_sha,tree_entries,tree_truncated,active_instruction_count,active_config_count,residual_mention_count,has_active_instruction,has_any_active_marker,distinct_active_tools,distinct_residual_tools
1,openclaw/openclaw,2026-05-31,2026,2025-11-24,llm_native,agent_application,direct_agent_experience,yes,targeted_paths_ok,,main,2fc5072021a2bdce8c3e46a98e18b42fa3373624,2026-05-31T23:53:35Z,,,not_applicable_targeted_scan,3,1,1,yes,yes,claude_code|codex|cross_agent|github_copilot,claude_code
1,openclaw/openclaw,2026-08-31,2026,2025-11-24,llm_native,agent_application,direct_agent_experience,yes,targeted_paths_ok,,main,1c526e6376b1629115fe1549b59ea100fc7f7031,2026-08-31T23:57:45Z,,,not_applicable_targeted_scan,3,2,1,yes,yes,claude_code|codex|cross_agent|github_copilot,claude_code
2,NousResearch/hermes-agent,2026-05-31,2026,2025-07-22,llm_native,agent_application,direct_agent_experience,yes,targeted_paths_ok,,main,77bb64813cb987ad80236219a20c6cb549b40049,2026-05-31T23:23:10Z,,,not_applicable_targeted_scan,1,0,3,yes,yes,codex,codex|cursor|gemini
2,NousResearch/hermes-agent,2026-08-31,2026,2025-07-22,llm_native,agent_application,direct_agent_experience,yes,targeted_paths_ok,,main,b20cc5f787ea816ea8645603b7b2ac8234dcb8b4,2026-08-31T22:18:40Z,,,not_applicable_targeted_scan,1,0,4,yes,yes,codex,codex|cursor|gemini|roo_code
3,pytorch/pytorch,2026-05-31,2026,2016-08-13,traditional,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,5cd392bfe432d57e7beb9ab67037ddc0fcc01205,2026-05-31T22:10:53Z,,,not_applicable_targeted_scan,3,1,2,yes,yes,claude_code|cross_agent|github_copilot,claude_code|roo_code
3,pytorch/pytorch,2026-08-31,2026,2016-08-13,traditional,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,67458862b5b9c620e8828d03366f45178fc42648,2026-08-31T23:48:05Z,,,not_applicable_targeted_scan,3,1,2,yes,yes,claude_code|cross_agent|github_copilot,claude_code|roo_code
4,supabase/supabase,2026-05-31,2026,2019-10-12,traditional,agent_runtime_infra,supporting_infrastructure,yes,targeted_paths_ok,,master,a4334a2cc75b85e3c569e24c9e33be94b37064d7,2026-05-29T19:12:22Z,,,not_applicable_targeted_scan,3,3,1,yes,yes,claude_code|cross_agent|cursor|github_copilot,claude_code
4,supabase/supabase,2026-08-31,2026,2019-10-12,traditional,agent_runtime_infra,supporting_infrastructure,yes,targeted_paths_ok,,master,eea39cc3163b34627cfec31a6756b80280874f41,2026-08-31T19:28:37Z,,,not_applicable_targeted_scan,3,3,1,yes,yes,claude_code|cross_agent|cursor|github_copilot,claude_code
5,bytedance/deer-flow,2026-05-31,2026,2025-05-07,llm_native,agent_framework,agent_building,yes,targeted_paths_ok,,main,d6a604d5a144c47bb4aa9603340cf1ee4c5619ed,2026-05-31T23:28:13Z,,,not_applicable_targeted_scan,1,1,1,yes,yes,cross_agent|github_copilot,claude_code
5,bytedance/deer-flow,2026-08-31,2026,2025-05-07,llm_native,agent_framework,agent_building,yes,targeted_paths_ok,,main,530b4cf6a009970589bdf44a78effc2b9e5ba053,2026-08-31T15:40:08Z,,,not_applicable_targeted_scan,3,1,1,yes,yes,claude_code|codex|cross_agent|github_copilot,claude_code
6,sgl-project/sglang,2026-05-31,2026,2024-01-08,llm_native,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,373cadc92ea421710e32c395e8c0e931f000c707,2026-05-31T22:15:38Z,,,not_applicable_targeted_scan,0,1,1,no,yes,claude_code,claude_code
6,sgl-project/sglang,2026-08-31,2026,2024-01-08,llm_native,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,455232de6e739db4f11b515af2dd6f5ba0274b56,2026-08-31T23:43:54Z,,,not_applicable_targeted_scan,0,1,1,no,yes,claude_code,claude_code
7,vllm-project/vllm,2026-05-31,2026,2023-02-09,llm_native,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,8b8546da1c3ba65097357523bc24199e36eddf65,2026-05-31T19:28:38Z,,,not_applicable_targeted_scan,2,1,3,yes,yes,claude_code|cross_agent|gemini,claude_code|codex|cursor
7,vllm-project/vllm,2026-08-31,2026,2023-02-09,llm_native,model_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,89df6fcb808febd88de0d08fb7437e9bddcaf81e,2026-08-31T23:51:55Z,,,not_applicable_targeted_scan,2,3,3,yes,yes,claude_code|cross_agent|gemini,claude_code|codex|cursor
8,larksuite/cli,2026-05-31,2026,2026-03-25,mixed,agent_runtime_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,99e314fe0bb177810f3e8bef81e957136bd7bb14,2026-05-30T11:08:41Z,,,not_applicable_targeted_scan,1,0,0,yes,yes,cross_agent,
8,larksuite/cli,2026-08-31,2026,2026-03-25,mixed,agent_runtime_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,20ef0af8a7ec29751145549b09359ba4ddadf5b7,2026-08-31T16:58:18Z,,,not_applicable_targeted_scan,1,0,0,yes,yes,cross_agent,
9,volcengine/OpenViking,2026-05-31,2026,2026-01-05,llm_native,agent_runtime_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,05540114dff249cecdfdbd72bb80b3d41f9d2c4e,2026-05-31T10:48:54Z,,,not_applicable_targeted_scan,0,0,3,no,no,,claude_code|codex|roo_code
9,volcengine/OpenViking,2026-08-31,2026,2026-01-05,llm_native,agent_runtime_infra,supporting_infrastructure,yes,targeted_paths_ok,,main,c73d7e3cc71e05e5361ff59454fd7be159e01602,2026-08-31T13:18:18Z,,,not_applicable_targeted_scan,0,1,3,no,yes,cross_agent,claude_code|codex|roo_code
10,openai/codex,2026-05-31,2026,2025-04-13,llm_native,agent_application,direct_agent_experience,yes,targeted_paths_ok,,main,3b7334d099b339e7b18418a0cf7ac34e7bed2e43,2026-05-31T23:05:33Z,,,not_applicable_targeted_scan,1,1,2,yes,yes,codex,claude_code|codex
10,openai/codex,2026-08-31,2026,2025-04-13,llm_native,agent_application,direct_agent_experience,yes,targeted_paths_ok,,main,115ffaf8bf1eda460526605cf44d9a96d88f4371,2026-08-31T23:54:28Z,,,not_applicable_targeted_scan,1,1,2,yes,yes,codex,claude_code|codex
