automation_role,task,observed_events,threads,repositories,sample_threads
agent_mediated_user,code_commit,172,28,2,28
agent_mediated_user,code_review,12,3,1,3
agent_mediated_user,discussion_comment,25,12,2,12
agent_mediated_user,gate_or_merge_management,57,32,1,32
agent_mediated_user,opened_issue,12,12,1,12
agent_mediated_user,opened_pull_request,31,31,2,31
agent_mediated_user,other_visible_automation,58,32,2,32
agent_mediated_user,review_routing,3,1,1,1
agent_mediated_user,triage_and_routing,13,11,1,11
agent_mediated_user,work_linking,31,19,2,19
coding_agent,code_commit,25,8,5,8
coding_agent,code_review,134,108,31,108
coding_agent,discussion_comment,42,25,8,25
coding_agent,gate_or_merge_management,2,2,2,2
coding_agent,opened_pull_request,6,6,3,6
coding_agent,other_visible_automation,15,6,4,6
coding_agent,review_routing,6,3,2,3
coding_agent,triage_and_routing,109,29,4,29
coding_agent,work_linking,21,17,10,17
review_agent,code_commit,1,1,1,1
review_agent,code_review,259,171,17,171
review_agent,discussion_comment,157,134,16,134
review_agent,other_visible_automation,2,2,1,2
review_agent,review_routing,13,3,1,3
review_agent,triage_and_routing,30,24,2,24
review_agent,work_linking,106,28,4,28
security_review_agent,discussion_comment,15,11,1,11
support_agent,discussion_comment,127,101,10,101
support_agent,gate_or_merge_management,12,12,3,12
support_agent,triage_and_routing,727,297,12,297
support_agent,work_linking,55,35,9,35
