automation_role,task,observed_events,threads,repositories,weighted_thread_presence
agent_mediated_user,code_commit,2,2,1,311.4
agent_mediated_user,code_review,18,6,1,934.2
agent_mediated_user,discussion_comment,15,6,1,934.2
agent_mediated_user,gate_or_merge_management,10,6,1,934.2
agent_mediated_user,opened_issue,1,1,1,155.7
agent_mediated_user,opened_pull_request,3,3,1,467.1
agent_mediated_user,other_visible_automation,25,9,1,1401.3
agent_mediated_user,review_routing,3,2,1,311.4
agent_mediated_user,triage_and_routing,10,2,1,311.4
agent_mediated_user,work_linking,21,10,1,1557.0
coding_agent,code_commit,22,8,6,3649.8
coding_agent,code_review,1150,249,60,77285.1
coding_agent,discussion_comment,226,161,38,124846.6
coding_agent,gate_or_merge_management,17,16,8,26742.1
coding_agent,opened_issue,1,1,1,260.85
coding_agent,opened_pull_request,23,23,12,7095.55
coding_agent,other_visible_automation,19,11,10,2717.4
coding_agent,review_routing,16,14,8,3795.55
coding_agent,triage_and_routing,233,70,19,84938.75
coding_agent,work_linking,123,56,28,58576.35
review_agent,code_review,1363,335,47,138908.6
review_agent,deployment_signal,6,1,1,357.0
review_agent,discussion_comment,428,329,47,130414.85
review_agent,other_visible_automation,1,1,1,306.75
review_agent,review_routing,2,1,1,364.0
review_agent,triage_and_routing,2,1,1,112.7
review_agent,work_linking,95,46,19,12666.45
security_review_agent,code_review,12,3,3,2284.85
security_review_agent,discussion_comment,9,9,3,3150.05
security_review_agent,gate_or_merge_management,1,1,1,242.7
security_review_agent,opened_pull_request,1,1,1,242.7
security_review_agent,triage_and_routing,5,1,1,611.55
support_agent,discussion_comment,62,53,10,22180.6
support_agent,gate_or_merge_management,5,5,3,1695.75
support_agent,other_visible_automation,7,4,3,1372.65
support_agent,review_routing,3,1,1,667.15
support_agent,triage_and_routing,294,135,11,50691.75
support_agent,work_linking,21,16,7,6330.7
