sample_rank,repo_name,default_branch,default_branch_commit,policy_files_scanned,closed_to_external_pr,preapproval_or_issue_first,invites_external_contribution,requires_cla_or_dco,policy_class,manual_review_required,scan_status,error,collected_at
1,openclaw/openclaw,main,92046b6e4d6a5660952a571c86a2d8968926401d,3,false,false,false,false,undetermined,false,ok,,2026-08-29T10:14:53.406248+00:00
2,NousResearch/hermes-agent,main,fae063fc74d20362809fcc621a62ea7a66879744,3,false,false,true,false,inviting_candidate,false,ok,,2026-08-29T10:14:55.265400+00:00
3,pytorch/pytorch,main,3c844ed711e65bdb162f11e7dabf177aeca433fc,2,false,false,false,false,undetermined,false,ok,,2026-08-29T10:14:56.867986+00:00
4,supabase/supabase,master,86c813ec03e340ffbe4aeb97cd0c5bee7a0ead94,3,false,false,false,false,undetermined,false,ok,,2026-08-29T10:14:58.178828+00:00
5,bytedance/deer-flow,main,c6f6a01f56b04b6c99d73df82ed6053beb8c1a10,3,false,false,true,false,inviting_candidate,false,ok,,2026-08-29T10:14:59.445602+00:00
6,sgl-project/sglang,main,a328c19c81894b2093211bc089215048faa4320a,3,false,false,true,false,inviting_candidate,false,ok,,2026-08-29T10:15:01.194176+00:00
7,vllm-project/vllm,main,cacc429f62c3738c9c95093e9bd410e96103221a,3,false,false,false,false,undetermined,false,ok,,2026-08-29T10:15:02.452799+00:00
8,larksuite/cli,main,6646386e0996b1ff5df640bccff834a20bcb203b,2,false,false,true,false,inviting_candidate,false,ok,,2026-08-29T10:15:03.571246+00:00
9,volcengine/OpenViking,main,cd8580c6f8a50ec44593618b3102799ab0b553fd,3,false,true,true,false,gated_candidate,true,ok,,2026-08-29T10:15:04.411651+00:00
10,openai/codex,main,6478a751fde8884b2fdc76486fe23175a8e795d4,2,true,false,false,false,closed_candidate,true,ok,,2026-08-29T10:15:06.188240+00:00
11,ollama/ollama,main,f96e7aa0513b9973a0ccc71be414c2ecb9d65b1a,2,false,false,true,false,inviting_candidate,false,ok,,2026-08-29T10:15:07.009675+00:00
12,langchain-ai/deepagents,main,a1af029e6e73cb17c36bff823d227747b28e91e1,2,false,false,false,false,undetermined,false,ok,,2026-08-29T10:15:07.925674+00:00
13,anomalyco/opencode,dev,dc4449df0d52199704ea4989a5a993ebbc605612,3,false,false,false,false,undetermined,false,ok,,2026-08-29T10:15:08.865994+00:00
14,flashinfer-ai/flashinfer,main,44428003ba219c14b5473fefec8f7bfd4b72178e,3,false,false,false,false,undetermined,false,ok,,2026-08-29T10:15:10.138248+00:00
15,NVIDIA/TensorRT-LLM,main,cb511b53d6746b05d129c5d71ee1a8dd6882050a,3,false,false,false,true,undetermined,false,ok,,2026-08-29T10:15:11.336524+00:00
16,anthropics/claude-code,main,f1af9b1f4b1fd4c776135381606edada82ef638e,1,false,false,false,false,undetermined,false,ok,,2026-08-29T10:15:12.638651+00:00
17,jax-ml/jax,main,eabf536146d88d0fca952dc021a6516263682bd4,4,false,false,true,true,inviting_candidate,false,ok,,2026-08-29T10:15:13.107354+00:00
18,ai-dynamo/dynamo,main,5e1241ac06a803be6970e9e1619e1dbe9b47c7e1,3,false,false,true,true,inviting_candidate,false,ok,,2026-08-29T10:15:14.921384+00:00
19,apache/airflow,main,82215cf97c7c96fd3cdc413be17f9692513b8374,3,false,false,false,true,undetermined,false,ok,,2026-08-29T10:15:16.155741+00:00
20,BerriAI/litellm,litellm_internal_staging,efe51daf5bcd6f3cd92473b34c8123289d341dfe,3,false,false,true,true,inviting_candidate,false,ok,,2026-08-29T10:15:17.422551+00:00
21,ggml-org/llama.cpp,master,cc83d7b4824f73cfdda4dfbb47ee39804f71b328,3,false,false,false,false,undetermined,false,ok,,2026-08-29T10:15:18.858780+00:00
22,n8n-io/n8n,master,d3900d81afab6e0d1e085f3d1b2047199ba08305,3,false,false,true,true,inviting_candidate,false,ok,,2026-08-29T10:15:20.314046+00:00
23,ray-project/ray,master,5cb244bc600c0fb4252d23616b21d5e0bad9ff6f,2,false,false,false,false,undetermined,false,ok,,2026-08-29T10:15:21.794676+00:00
24,apache/spark,master,024120dc960517021a887b51865220f544340362,2,false,false,false,false,undetermined,false,ok,,2026-08-29T10:15:22.548664+00:00
25,coder/coder,main,8bf271c5030fdc0cd06ab1d3c0f5714712a1c8d5,3,false,false,true,false,inviting_candidate,false,ok,,2026-08-29T10:15:23.379976+00:00
26,vercel/ai,main,1c6854096fbe9aa55ae59cfa2bdee03d55e95c8e,3,false,false,true,false,inviting_candidate,false,ok,,2026-08-29T10:15:24.707483+00:00
27,mastra-ai/mastra,main,75dd419e613fe9c39f846ffc500716141b74fda6,4,false,true,true,false,gated_candidate,true,ok,,2026-08-29T10:15:25.909273+00:00
28,vllm-project/vllm-omni,main,a5b8c827887cf75e039f09452f4ac885c26f0234,3,false,false,false,false,undetermined,false,ok,,2026-08-29T10:15:27.472373+00:00
29,QwenLM/qwen-code,main,866b7fe9a63c4c9a164cc27882147449a8c1aea6,3,false,false,true,false,inviting_candidate,false,ok,,2026-08-29T10:15:28.724195+00:00
30,langgenius/dify,main,1264d29a4fec34229ceeb93421038146946c809d,3,false,false,false,false,undetermined,false,ok,,2026-08-29T10:15:30.385387+00:00
31,warpdotdev/warp,master,066ec71b736fc3755e29f58f733deadbdac3d1af,3,false,false,false,false,undetermined,false,ok,,2026-08-29T10:15:31.697723+00:00
32,paperclipai/paperclip,master,35fca95626a04f5a7ec42cf95989c3d779a1687e,3,false,false,true,false,inviting_candidate,false,ok,,2026-08-29T10:15:32.857180+00:00
33,vllm-project/vllm-ascend,main,a1affe4d3218f292c2c79c6d7666877efe526cbb,3,false,false,false,false,undetermined,false,ok,,2026-08-29T10:15:34.370090+00:00
34,open-metadata/OpenMetadata,main,ba06d99e96a56fc7f625ed27aa3467bb51f4fa5e,3,false,false,true,false,inviting_candidate,false,ok,,2026-08-29T10:15:35.631315+00:00
35,microsoft/onnxruntime,main,cd13bdd819dcbdb9e0be2e8c38d2698ae2e56097,3,false,false,true,true,inviting_candidate,false,ok,,2026-08-29T10:15:36.862989+00:00
36,CherryHQ/cherry-studio,main,fca101235da8d759a543b5352e68f8556c9fd62e,3,false,false,true,false,inviting_candidate,false,ok,,2026-08-29T10:15:38.183142+00:00
37,pingdotgg/t3code,main,053affbed2659f90cd1b1efaaa7a75865c4131c7,3,false,false,false,false,undetermined,false,ok,,2026-08-29T10:15:39.334705+00:00
38,milvus-io/milvus,master,bb410984514a20182d6c3837f3f115289574e6fa,2,false,false,false,true,undetermined,false,ok,,2026-08-29T10:15:40.981292+00:00
