sample_rank,repo_name,path,signal,matched_text,context,html_url,blob_sha,collected_at
2,NousResearch/hermes-agent,README.md,invites_external_contribution,We welcome contributions,"the `openclaw-migration` skill for an interactive agent-guided migration with dry-run previews. --- ## Contributing We welcome contributions! See the [Contributing Guide](https://hermes-agent.nousresearch.com/docs/developer-guide/contributing) for development setup, code style, and PR process. Quick start for contribu",https://github.com/NousResearch/hermes-agent/blob/fae063fc74d20362809fcc621a62ea7a66879744/README.md,c05112266746ff99a3326a62c38c33fbc08ecd23,2026-08-29T10:14:55.265400+00:00
5,bytedance/deer-flow,CONTRIBUTING.md,invites_external_contribution,create a Pull Request,"mmit your changes**: ```bash git add . git commit -m ""feat: description of your changes"" ``` 6. **Push and create a Pull Request**: ```bash git push origin feature/your-feature-name ``` ## AI assistance disclosure DeerFlow is an AI project and we welcome AI-assisted contributions. To help reviewe",https://github.com/bytedance/deer-flow/blob/c6f6a01f56b04b6c99d73df82ed6053beb8c1a10/CONTRIBUTING.md,acb2a417e3c79014dd9686e70ebf0d190c63d6c3,2026-08-29T10:14:59.445602+00:00
5,bytedance/deer-flow,README.md,invites_external_contribution,We welcome contributions,"om other network devices. - **Stay updated**: Continue to follow DeerFlow's security feature updates. ## Contributing We welcome contributions! Please see [CONTRIBUTING.md](CONTRIBUTING.md) for development setup, workflow, and guidelines. Backend `make test` is offline by default and excludes live external-API coverage.",https://github.com/bytedance/deer-flow/blob/c6f6a01f56b04b6c99d73df82ed6053beb8c1a10/README.md,c79c717233e55db6387c4ee0f1bb8bd7ed55767d,2026-08-29T10:14:59.445602+00:00
6,sgl-project/sglang,docs/CONTRIBUTING.md,invites_external_contribution,submit a pull request,". Navigate to the page you want to edit 2. Click the ""Edit this file"" button (the pencil icon) 3. Make your changes and submit a pull request ### Option 2: Local development 1. Fork and clone this repository 2. Install the Mintlify CLI: `npm i -g mint` 3. Create a branch for your changes 4. Make changes 5. Run `mint d",https://github.com/sgl-project/sglang/blob/a328c19c81894b2093211bc089215048faa4320a/docs/CONTRIBUTING.md,fc42a9b2d5e0726267551ac2007fd435661c7370,2026-08-29T10:15:01.194176+00:00
8,larksuite/cli,README.md,invites_external_contribution,contributions are welcome,"sks. By using this tool, you are deemed to voluntarily assume all related responsibilities. ## Contributing Community contributions are welcome! If you find a bug or have feature suggestions, please submit an [Issue](https://github.com/larksuite/cli/issues) or [Pull Request](https://github.com/larksuite/cli/pulls). For m",https://github.com/larksuite/cli/blob/6646386e0996b1ff5df640bccff834a20bcb203b/README.md,db720a637974c8ef4cc8a321901859695df57053,2026-08-29T10:15:03.571246+00:00
9,volcengine/OpenViking,CONTRIBUTING.md,invites_external_contribution,contributions are welcome,"the issue was reproduced or only inferred from the code. Mark the **Human Involvement** field accurately. AI-assisted contributions are welcome, but the author remains responsible for the change and must be able to explain how it interacts with the rest of the system. Before submitting: - Review the complete diff and re",https://github.com/volcengine/OpenViking/blob/cd8580c6f8a50ec44593618b3102799ab0b553fd/CONTRIBUTING.md,37a7c5040a35a29520e5afba15db765560b2d56d,2026-08-29T10:15:04.411651+00:00
9,volcengine/OpenViking,CONTRIBUTING.md,preapproval_or_issue_first,discussion before implement,"a feature, describe the problem and expected behavior before designing the implementation. Open an issue or start a discussion before implementing a change that affects: - public REST, SDK, CLI, MCP, or configuration semantics; - persisted data, storage schemas, VFS/AGFS paths, or encrypted file behavior; - asynchronous",https://github.com/volcengine/OpenViking/blob/cd8580c6f8a50ec44593618b3102799ab0b553fd/CONTRIBUTING.md,37a7c5040a35a29520e5afba15db765560b2d56d,2026-08-29T10:15:04.411651+00:00
10,openai/codex,docs/contributing.md,closed_to_external_pr,We do not accept external code contributions or pull requests,"ues). Bug reports, root-cause analyses, and feature requests help us understand what matters most and improve Codex. **We do not accept external code contributions or pull requests.** ### Why we do not accept external code contributions Effective changes to Codex require architectural context, an understanding of system-level constraints, and visibility in",https://github.com/openai/codex/blob/6478a751fde8884b2fdc76486fe23175a8e795d4/docs/contributing.md,67b10a1c9b855bc32082929129b5abbe3c1d7b35,2026-08-29T10:15:06.188240+00:00
11,ollama/ollama,README.md,invites_external_contribution,Open a pull request,"https://github.com/ollama/ollama/blob/main/docs/development.md) ## Community Integrations > Want to add your project? Open a pull request. ### Chat Interfaces #### Web - [Open WebUI](https://github.com/open-webui/open-webui) - Extensible, self-hosted AI interface - [Onyx](https://github.com/onyx-dot-app/onyx) - C",https://github.com/ollama/ollama/blob/f96e7aa0513b9973a0ccc71be414c2ecb9d65b1a/README.md,e511fbe3fd3e73fc6d7cfb5393d827cf70f0a2f6,2026-08-29T10:15:07.009675+00:00
15,NVIDIA/TensorRT-LLM,CONTRIBUTING.md,requires_cla_or_dco,Developer Certificate of Origin,"o submit it under the same license, or a compatible license. Signing off your commit means you accept the terms of the [Developer Certificate of Origin (DCO)](https://developercertificate.org/). * Any contribution which contains commits that are not Signed-Off will not be accepted. * To sign off on a commit you simply use the",https://github.com/NVIDIA/TensorRT-LLM/blob/cb511b53d6746b05d129c5d71ee1a8dd6882050a/CONTRIBUTING.md,866b13438f08fc7028c6de6cd1834c6551a45c0f,2026-08-29T10:15:11.336524+00:00
15,NVIDIA/TensorRT-LLM,CONTRIBUTING.md,requires_cla_or_dco,Signed-off-by,"```bash $ git commit -s -m ""Add cool feature."" ``` This will append the following to your commit message: ``` Signed-off-by: Your Name <your@email.com> ``` * Full text of the DCO: ``` Developer Certificate of Origin Version 1.1 Copyright (C) 2004, 2006 The Linux Foundation and its co",https://github.com/NVIDIA/TensorRT-LLM/blob/cb511b53d6746b05d129c5d71ee1a8dd6882050a/CONTRIBUTING.md,866b13438f08fc7028c6de6cd1834c6551a45c0f,2026-08-29T10:15:11.336524+00:00
17,jax-ml/jax,.github/PULL_REQUEST_TEMPLATE.md,requires_cla_or_dco,Contributor License Agreement,for taking the time to contribute to JAX! A couple things to keep in mind: * Contributing to JAX requires signing the Contributor License Agreement: https://docs.jax.dev/en/latest/contributing.html#google-contributor-license-agreement * Please run lint checks and tests locally: https://docs.jax.dev/en/latest/contributing.htm,https://github.com/jax-ml/jax/blob/eabf536146d88d0fca952dc021a6516263682bd4/.github/PULL_REQUEST_TEMPLATE.md,f3d0c825282129932abf3d4a4df3abe10e257f98,2026-08-29T10:15:13.107354+00:00
17,jax-ml/jax,docs/contributing.md,invites_external_contribution,create a pull request,"Finally, push your commit on your development branch and create a remote branch in your fork that you can use to create a pull request from: ```bash git push --set-upstream origin name-of-change ``` Please ensure your contribution is a single commit (see {ref}`single-change-commits`) 10. Create a p",https://github.com/jax-ml/jax/blob/eabf536146d88d0fca952dc021a6516263682bd4/docs/contributing.md,04319c14027b727ae07ad2509149115b6025ff55,2026-08-29T10:15:13.107354+00:00
17,jax-ml/jax,docs/contributing.md,requires_cla_or_dco,Contributor License Agreement,"generate human-like communication. ### License All submissions to Google Open Source projects need to follow Google's Contributor License Agreement (CLA), which covers any original work of authorship included in the submission. This doesn't prohibit the use of coding assistance tools, including tool-, AI-, or machine-generate",https://github.com/jax-ml/jax/blob/eabf536146d88d0fca952dc021a6516263682bd4/docs/contributing.md,04319c14027b727ae07ad2509149115b6025ff55,2026-08-29T10:15:13.107354+00:00
18,ai-dynamo/dynamo,CONTRIBUTING.md,requires_cla_or_dco,Developer Certificate of Origin,mo Day Recordings](https://nvevents.nvidia.com/dynamoday) Dynamo requires all contributions to be signed off with the [Developer Certificate of Origin (DCO)](https://developercertificate.org/). This certifies that you have the right to submit your contribution under the project's [Apache 2.0 license](https://github.com/ai-dynamo,https://github.com/ai-dynamo/dynamo/blob/5e1241ac06a803be6970e9e1619e1dbe9b47c7e1/CONTRIBUTING.md,aea23bc35ee047ccda1836d51b852907a2b54e2c,2026-08-29T10:15:14.921384+00:00
18,ai-dynamo/dynamo,README.md,invites_external_contribution,We welcome contributions,"gured dev environment. ## Community and Contributing Dynamo is built in the open with an OSS-first development model. We welcome contributions of all kinds. - **[Contribution Guide](https://docs.nvidia.com/dynamo/getting-started/contribution-guide)** — How to contribute code, docs, and recipes - **[Design Proposals](htt",https://github.com/ai-dynamo/dynamo/blob/5e1241ac06a803be6970e9e1619e1dbe9b47c7e1/README.md,04d807e307d2f76867d23c2b6e4a16816177deae,2026-08-29T10:15:14.921384+00:00
19,apache/airflow,GOVERNANCE.md,requires_cla_or_dco,contributor license agreement,"<!-- Licensed to the Apache Software Foundation (ASF) under one or more contributor license agreements. See the NOTICE file distributed with this work for additional information regarding copyright ownership. The ASF licenses this file to you under the Apache License, Version",https://github.com/apache/airflow/blob/82215cf97c7c96fd3cdc413be17f9692513b8374/GOVERNANCE.md,1ceacd485cb56cb1691a4f24516cb0d4de847f6c,2026-08-29T10:15:16.155741+00:00
19,apache/airflow,README.md,requires_cla_or_dco,contributor license agreement,"<!-- Licensed to the Apache Software Foundation (ASF) under one or more contributor license agreements. See the NOTICE file distributed with this work for additional information regarding copyright ownership. The ASF licenses this file to you under the Apache License, Version",https://github.com/apache/airflow/blob/82215cf97c7c96fd3cdc413be17f9692513b8374/README.md,9471b85ebebe0c47b2c191b24d1dc77e4c3be2e9,2026-08-29T10:15:16.155741+00:00
