control_rank,repo_name,control_domain,language_match_role,year,window_start,window_end,issues_opened,issues_closed_from_cohort,issues_unresolved_from_cohort,prs_opened,prs_closed_from_cohort,prs_merged_from_cohort,prs_closed_unmerged_from_cohort,prs_unresolved_from_cohort,pr_merge_share_resolved,graphql_cost,graphql_remaining,quality_flag,collected_at
1,kubernetes/kubernetes,cloud_native,Go,2022,2022-01-01,2022-12-31,2200,1487,713,5180,4451,3155,1296,729,0.708829,1,4793,search_count_above_result_retrieval_cap,2026-09-01T10:15:30.187873+00:00
1,kubernetes/kubernetes,cloud_native,Go,2023,2023-01-01,2023-12-31,2261,1371,890,5410,4536,3402,1134,874,0.75,1,4793,search_count_above_result_retrieval_cap,2026-09-01T10:15:30.187873+00:00
1,kubernetes/kubernetes,cloud_native,Go,2024,2024-01-01,2024-12-31,2002,1311,691,4712,4060,2896,1164,652,0.7133,1,4793,search_count_above_result_retrieval_cap,2026-09-01T10:15:30.187873+00:00
1,kubernetes/kubernetes,cloud_native,Go,2025,2025-01-01,2025-12-31,1859,1215,644,4569,3923,2799,1124,646,0.713485,1,4793,search_count_above_result_retrieval_cap,2026-09-01T10:15:30.187873+00:00
1,kubernetes/kubernetes,cloud_native,Go,2026,2026-01-01,2026-08-31,1320,712,608,4305,3074,2217,857,1231,0.72121,1,4793,search_count_above_result_retrieval_cap,2026-09-01T10:15:30.187873+00:00
2,microsoft/vscode,developer_tools,TypeScript,2022,2022-01-01,2022-12-31,21875,19118,2757,7018,6818,6241,577,200,0.915371,1,4792,search_count_above_result_retrieval_cap,2026-09-01T10:15:32.474110+00:00
2,microsoft/vscode,developer_tools,TypeScript,2023,2023-01-01,2023-12-31,21389,17993,3396,8459,8225,7642,583,234,0.929119,1,4792,search_count_above_result_retrieval_cap,2026-09-01T10:15:32.474110+00:00
2,microsoft/vscode,developer_tools,TypeScript,2024,2024-01-01,2024-12-31,19220,15892,3328,8921,8651,7982,669,270,0.922668,1,4792,search_count_above_result_retrieval_cap,2026-09-01T10:15:32.474110+00:00
2,microsoft/vscode,developer_tools,TypeScript,2025,2025-01-01,2025-12-31,34007,28890,5117,12334,11684,10155,1529,650,0.869137,1,4792,search_count_above_result_retrieval_cap,2026-09-01T10:15:32.474110+00:00
2,microsoft/vscode,developer_tools,TypeScript,2026,2026-01-01,2026-08-31,30132,21492,8640,17311,14958,12518,2440,2353,0.836877,1,4792,search_count_above_result_retrieval_cap,2026-09-01T10:15:32.474110+00:00
3,vuejs/core,application_framework,TypeScript,2022,2022-01-01,2022-12-31,1190,879,311,581,343,176,167,238,0.51312,1,4791,search_count_above_result_retrieval_cap,2026-09-01T10:15:34.802814+00:00
3,vuejs/core,application_framework,TypeScript,2023,2023-01-01,2023-12-31,904,630,274,800,575,340,235,225,0.591304,1,4791,search_count_invariants_ok,2026-09-01T10:15:34.802814+00:00
3,vuejs/core,application_framework,TypeScript,2024,2024-01-01,2024-12-31,896,725,171,945,793,575,218,152,0.725095,1,4791,search_count_invariants_ok,2026-09-01T10:15:34.802814+00:00
3,vuejs/core,application_framework,TypeScript,2025,2025-01-01,2025-12-31,456,347,109,782,665,524,141,117,0.78797,1,4791,search_count_invariants_ok,2026-09-01T10:15:34.802814+00:00
3,vuejs/core,application_framework,TypeScript,2026,2026-01-01,2026-08-31,196,181,15,780,696,570,126,84,0.818966,1,4791,search_count_invariants_ok,2026-09-01T10:15:34.802814+00:00
4,kata-containers/kata-containers,cloud_native,Rust,2022,2022-01-01,2022-12-31,1364,882,482,1213,1098,903,195,115,0.822404,1,4790,search_count_above_result_retrieval_cap,2026-09-01T10:15:37.061809+00:00
4,kata-containers/kata-containers,cloud_native,Rust,2023,2023-01-01,2023-12-31,1413,906,507,1363,1211,1008,203,152,0.83237,1,4790,search_count_above_result_retrieval_cap,2026-09-01T10:15:37.061809+00:00
4,kata-containers/kata-containers,cloud_native,Rust,2024,2024-01-01,2024-12-31,847,492,355,1084,1000,842,158,84,0.842,1,4790,search_count_above_result_retrieval_cap,2026-09-01T10:15:37.061809+00:00
4,kata-containers/kata-containers,cloud_native,Rust,2025,2025-01-01,2025-12-31,419,180,239,1159,1013,838,175,146,0.827246,1,4790,search_count_above_result_retrieval_cap,2026-09-01T10:15:37.061809+00:00
4,kata-containers/kata-containers,cloud_native,Rust,2026,2026-01-01,2026-08-31,269,137,132,1198,983,777,206,215,0.790437,1,4790,search_count_above_result_retrieval_cap,2026-09-01T10:15:37.061809+00:00
5,prometheus/prometheus,cloud_native,Go,2022,2022-01-01,2022-12-31,515,288,227,995,874,648,226,121,0.741419,1,4789,search_count_invariants_ok,2026-09-01T10:15:39.442536+00:00
5,prometheus/prometheus,cloud_native,Go,2023,2023-01-01,2023-12-31,456,204,252,933,826,627,199,107,0.75908,1,4789,search_count_invariants_ok,2026-09-01T10:15:39.442536+00:00
