automation_role,task,observed_events,threads,repositories,weighted_thread_presence
coding_agent,code_review,250,73,7,15525.97
coding_agent,discussion_comment,52,31,6,7371.3
coding_agent,gate_or_merge_management,1,1,1,57.3
coding_agent,triage_and_routing,21,3,1,313.1
coding_agent,work_linking,362,21,4,372.07
review_agent,code_review,190,76,6,15935.07
review_agent,discussion_comment,20,18,5,2837.77
review_agent,work_linking,18,10,8,1251.03
security_review_agent,code_review,6,3,2,544.8
security_review_agent,discussion_comment,1,1,1,255.27
security_review_agent,gate_or_merge_management,1,1,1,255.27
security_review_agent,opened_pull_request,3,3,1,765.8
security_review_agent,other_visible_automation,1,1,1,255.27
security_review_agent,work_linking,2,2,1,510.53
support_agent,discussion_comment,104,75,4,12632.97
support_agent,gate_or_merge_management,20,20,3,2828.97
support_agent,opened_pull_request,3,3,1,765.8
support_agent,review_routing,5,3,1,765.8
support_agent,triage_and_routing,491,173,4,26110.9
support_agent,work_linking,59,39,3,4755.4
