scope_type,scope_value,threads,estimated_population_weight,explicit_ai_assistance_disclosure_share_weighted,known_automation_bot_present_share_weighted,known_automation_bot_present_share_macro_repository,agent_participation_present_share_weighted,agent_participation_present_share_macro_repository,agent_participation_opened_thread_share_weighted,agent_participation_response_present_share_weighted,agent_review_event_present_share_pr_weighted,human_account_review_event_present_share_pr_weighted,maintainer_account_review_event_present_share_pr_weighted,agent_change_request_present_share_change_requested_pr_weighted,agent_change_requested_pr_followup_commit_share_weighted,human_change_requested_pr_followup_commit_share_weighted,human_account_gate_share_resolved_with_visible_gate_weighted,maintainer_account_gate_share_resolved_with_visible_gate_weighted,agent_gate_share_resolved_with_visible_gate_weighted,agent_gate_event_present_share_weighted,conventional_automation_present_share_weighted,human_account_present_any_share_weighted,human_account_response_share_weighted,human_account_response_share_macro_repository,maintainer_account_response_share_weighted,maintainer_account_response_share_macro_repository,automation_only_visible_thread_share_weighted,automation_only_visible_thread_share_macro_repository,response_only_automation_share_weighted,response_only_automation_share_macro_repository,external_pr_author_share_weighted,external_pr_author_share_macro_repository,open_share_fixed_maturity_weighted,open_share_fixed_maturity_macro_repository,github_merge_flag_share_resolved_pr_fixed_maturity_weighted,github_merge_flag_share_resolved_pr_fixed_maturity_macro_repository,external_pr_github_merge_flag_share_resolved_fixed_maturity_weighted,internal_pr_github_merge_flag_share_resolved_fixed_maturity_weighted,pr_review_observed_share_weighted,reviewed_pr_post_review_commit_share_weighted,change_requested_pr_followup_commit_share_weighted,median_first_human_account_response_hours,median_first_maintainer_account_response_hours,median_resolution_days_closed_items,median_reviews_pr,median_changes_requested_pr
overall,all,900,157800.0,0.002,0.9198,0.8067,0.3202,0.3389,0.0097,0.2608,0.3851,0.5981,0.3751,0.0,,0.8748,0.5853,0.3209,0.0265,0.0199,0.8454,0.9923,0.5274,0.5878,0.2879,0.3122,0.0016,0.0011,0.359,0.2959,0.7521,0.7016,0.0726,0.029,0.5703,0.7546,0.5017,0.7665,0.7462,0.611,0.8748,10.4,11.19,1.24,1.0,0.0
item_type,issue,365,82757.73,0.0,0.8668,0.6493,0.0885,0.2566,0.0,0.0713,,,,,,,0.4307,0.1975,0.0527,0.0349,0.7964,1.0,0.3971,0.6173,0.1399,0.2709,0.0,0.0,0.451,0.2138,,,0.0984,0.05,,,,,,,,17.54,10.55,10.57,,
item_type,pull_request,535,75042.27,0.0042,0.9783,0.8799,0.5757,0.4414,0.0204,0.4698,0.3851,0.5981,0.3751,0.0,,0.8748,0.7183,0.4271,0.004,0.0034,0.8995,0.9838,0.6712,0.6025,0.4511,0.3502,0.0034,0.0023,0.2802,0.296,0.7521,0.7016,0.0453,0.0157,0.5703,0.7546,0.5017,0.7665,0.7462,0.611,0.8748,6.63,12.79,0.44,1.0,0.0
project_identity,llm_native,540,108773.0,0.0,0.9146,0.8074,0.3021,0.3796,0.0,0.2269,0.5539,0.4944,0.3531,0.0,,0.8995,0.6001,0.2837,0.0122,0.0088,0.8404,0.9992,0.4376,0.4944,0.2117,0.25,0.0,0.0,0.433,0.3802,0.7735,0.6592,0.0637,0.0256,0.7225,0.7836,0.6304,0.9345,0.7251,0.6276,0.8995,10.55,10.58,1.08,1.0,0.0
project_identity,mixed,180,19100.0,0.0166,0.9159,0.7722,0.7105,0.4611,0.0802,0.6506,0.5663,0.7771,0.3351,0.0,,0.8984,0.8061,0.3144,0.1235,0.1144,0.7277,0.9866,0.7618,0.7833,0.3421,0.4389,0.0134,0.0056,0.2,0.135,0.7811,0.7593,0.0239,0.0072,0.8435,0.8218,0.7921,0.9503,0.8959,0.4719,0.8984,3.54,2.24,1.05,1.0,0.0
project_identity,traditional,180,29927.0,0.0,0.9413,0.8389,0.1368,0.0944,0.0,0.1352,0.0069,0.65,0.4346,0.0,,0.8624,0.3614,0.455,0.0,0.0,0.9386,0.9709,0.7042,0.6722,0.5304,0.3722,0.0,0.0,0.2389,0.2039,0.7005,0.7501,0.1304,0.0608,0.1967,0.6146,0.2153,0.098,0.6862,0.6966,0.8624,20.15,29.13,2.82,1.0,0.0
collaboration_niche,agent_application,180,66891.0,0.0,0.928,0.9167,0.046,0.0389,0.0,0.0386,0.4298,0.4149,0.0656,0.0,,0.0,0.4261,0.1163,0.0,0.0,0.9197,1.0,0.3411,0.5556,0.0893,0.2111,0.0,0.0,0.519,0.3343,0.9432,0.8611,0.0651,0.0385,0.6674,0.6333,0.6256,1.0,0.6607,0.5782,0.0,11.05,10.98,7.3,0.0,0.0
collaboration_niche,agent_framework,270,28808.0,0.011,0.9013,0.7148,0.8267,0.5852,0.0532,0.5562,0.4842,0.6614,0.3367,0.0,,1.0,0.8077,0.3814,0.115,0.1071,0.6088,0.9881,0.689,0.6593,0.3579,0.3593,0.0089,0.0037,0.241,0.2504,0.7784,0.7607,0.0179,0.0096,0.8661,0.865,0.8064,0.9849,0.7496,0.4991,1.0,3.86,5.48,0.55,1.0,0.0
collaboration_niche,agent_runtime_infra,270,18600.0,0.0,0.9024,0.8296,0.3688,0.3148,0.0,0.3142,0.2617,0.4762,0.2396,0.0,,0.62,0.7063,0.2958,0.0035,0.0031,0.8056,1.0,0.5509,0.5111,0.2353,0.2222,0.0,0.0,0.3679,0.3833,0.7129,0.6446,0.0304,0.0158,0.827,0.8414,0.7933,0.8992,0.6629,0.4674,0.62,13.16,16.53,0.82,1.0,0.0
collaboration_niche,model_infra,180,43501.0,0.0,0.9269,0.8,0.3856,0.3056,0.0,0.3839,0.3694,0.6444,0.5122,0.0,,0.8754,0.5561,0.5711,0.0,0.0,0.9049,0.98,0.697,0.6278,0.5694,0.4778,0.0,0.0,0.2429,0.1949,0.7188,0.6189,0.1407,0.0682,0.2115,0.5194,0.1679,0.3795,0.7952,0.7323,0.8754,17.26,20.61,4.97,1.0,0.0
agent_proximity,deep_representative_case,900,157800.0,0.002,0.9198,0.8067,0.3202,0.3389,0.0097,0.2608,0.3851,0.5981,0.3751,0.0,,0.8748,0.5853,0.3209,0.0265,0.0199,0.8454,0.9923,0.5274,0.5878,0.2879,0.3122,0.0016,0.0011,0.359,0.2959,0.7521,0.7016,0.0726,0.029,0.5703,0.7546,0.5017,0.7665,0.7462,0.611,0.8748,10.4,11.19,1.24,1.0,0.0
study_stage,current_2026m5_m8,300,101853.0,0.0,0.9397,0.9633,0.3466,0.5333,0.015,0.2754,0.4209,0.5833,0.3724,0.0,,1.0,0.5575,0.2843,0.0211,0.0135,0.9047,0.9881,0.4715,0.5233,0.2462,0.26,0.0025,0.0033,0.3988,0.4064,0.7792,0.8007,0.16,0.179,0.6018,0.725,0.5447,1.0,0.7709,0.623,1.0,16.33,27.39,1.08,1.0,0.0
