study_stage,stage_start,stage_end,sample_rank,repo_name,llm_native_manual,collaboration_niche,agent_proximity,item_type,number,html_url,outcome,created_at,closed_at,merged_at,author_login,author_association,opener_class,explicit_ai_assistance_disclosure,known_automation_bot_present,agent_participation_present,coding_agent_present,review_agent_present,support_or_security_agent_present,conventional_automation_present,agent_participation_opened_thread,agent_participation_response_present,agent_review_event_present,human_account_review_event_present,maintainer_account_review_event_present,agent_change_request_present,human_account_change_request_present,agent_gate_event_present,agent_visible_events,identity_candidate_present,human_account_present_any,human_account_present_in_conversation,maintainer_account_present,automation_only_visible_thread,response_only_automation,no_human_account_response,no_maintainer_account_response,visible_response_events,comments,reviews,changes_requested_reviews,review_observed,post_review_commit_observed,change_request_observed,change_request_followed_by_commit,conversation_actor_count,conversation_class_switches,first_visible_response_hours,first_human_account_response_hours,first_maintainer_account_response_hours,commits,commits_after_first_review,gate_actor_login,gate_actor_class,gate_actor_role,gate_actor_association,human_account_gate,maintainer_account_gate,agent_gate,external_author,fixed_maturity_eligible,resolution_days,sampling_weight
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,2053,https://github.com/openai/codex/pull/2053,merged,2025-08-09T00:37:42Z,2025-08-09T01:21:19Z,2025-08-09T01:21:19Z,dylan-hurd-oai,CONTRIBUTOR,human_account,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,0,no,yes,yes,no,no,no,no,yes,4,2,2,0,yes,no,no,no,3,2,0.056,0.091,,1,0,dylan-hurd-oai,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,0.03,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,922,https://github.com/openai/codex/pull/922,merged,2025-05-14T01:07:56Z,2025-05-14T02:22:17Z,2025-05-14T02:22:17Z,bolinfest,COLLABORATOR,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,yes,no,unknown,yes,yes,0,0,0,0,no,no,no,no,1,0,,,,1,0,bolinfest,human_account,not_automation,COLLABORATOR,yes,yes,no,no,yes,0.052,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,2011,https://github.com/openai/codex/issues/2011,closed,2025-08-08T12:36:58Z,2025-09-06T02:50:47Z,,aehlke,NONE,human_account,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,no,no,yes,2,2,0,0,no,no,no,no,3,0,70.624,70.624,,0,0,dylan-hurd-oai,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,28.593,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,833,https://github.com/openai/codex/pull/833,merged,2025-05-06T18:50:05Z,2025-05-06T19:02:49Z,2025-05-06T19:02:49Z,bolinfest,COLLABORATOR,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,yes,no,unknown,yes,yes,0,0,0,0,no,no,no,no,1,0,,,,1,0,bolinfest,human_account,not_automation,COLLABORATOR,yes,yes,no,no,yes,0.009,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,1053,https://github.com/openai/codex/pull/1053,closed_unmerged,2025-05-20T18:30:36Z,2025-08-07T01:49:53Z,,oscarsalvador,NONE,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,yes,yes,yes,no,no,no,no,yes,3,6,0,0,no,no,no,no,3,1,883.766,883.766,,7,0,codex-maintainers,candidate_review,not_automation,NONE,no,no,no,yes,yes,78.305,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,2095,https://github.com/openai/codex/pull/2095,merged,2025-08-09T18:20:22Z,2025-08-11T18:26:15Z,2025-08-11T18:26:15Z,gpeal,CONTRIBUTOR,human_account,no,yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,0,no,yes,yes,yes,no,no,no,no,16,13,5,0,yes,yes,no,no,4,0,7.108,7.108,11.914,19,3,gpeal,human_account,not_automation,CONTRIBUTOR,yes,no,no,yes,yes,2.004,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,1688,https://github.com/openai/codex/issues/1688,closed,2025-07-26T10:45:47Z,2025-07-29T19:48:06Z,,jackmhny,NONE,human_account,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,unknown,yes,yes,0,4,0,0,no,no,no,no,1,0,,,,0,0,jackmhny,human_account,not_automation,NONE,yes,no,no,yes,yes,3.377,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,710,https://github.com/openai/codex/pull/710,merged,2025-04-28T19:13:57Z,2025-04-28T20:42:04Z,2025-04-28T20:42:04Z,bolinfest,COLLABORATOR,human_account,no,yes,no,no,no,no,yes,no,no,no,yes,yes,no,no,no,0,no,yes,yes,yes,no,no,no,no,1,0,1,0,yes,yes,no,no,2,0,0.545,0.545,0.545,1,1,bolinfest,human_account,not_automation,COLLABORATOR,yes,yes,no,no,yes,0.061,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,643,https://github.com/openai/codex/pull/643,merged,2025-04-25T07:00:49Z,2025-04-25T16:38:05Z,2025-04-25T16:38:05Z,skpulipaka26,CONTRIBUTOR,human_account,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,0,no,yes,yes,yes,no,no,no,no,2,3,0,0,no,no,no,no,3,2,0.003,9.62,9.62,1,0,tibo-openai,human_account,not_automation,COLLABORATOR,yes,yes,no,yes,yes,0.401,68.233333
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,1124,https://github.com/openai/codex/issues/1124,closed,2025-05-26T16:56:52Z,2025-09-05T08:23:06Z,,doggy8088,NONE,human_account,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0,no,yes,yes,no,no,no,no,yes,1,1,0,0,no,no,no,no,2,0,521.893,521.893,,0,0,doggy8088,human_account,not_automation,NONE,yes,no,no,yes,yes,101.643,68.233333
