sample_rank,repo_name,item_type,number,event_source,event_type,event_id,created_at,actor_login,actor_github_type,author_association,actor_initial_class,performed_via_github_app,ai_disclosure_candidate,ai_disclosure_evidence,review_state,commit_sha,commit_author_login,commit_committer_login,collected_at
3,pytorch/pytorch,issue,7,timeline,commented,244456778,2016-09-02T18:44:01Z,soumith,User,COLLABORATOR,human_account,,no,,,,,,2026-08-29T09:13:03.901715+00:00
3,pytorch/pytorch,issue,7,timeline,mentioned,776954644,2016-09-02T18:44:01Z,apaszke,User,,human_account,,no,,,,,,2026-08-29T09:13:03.901715+00:00
3,pytorch/pytorch,issue,7,timeline,subscribed,776954645,2016-09-02T18:44:01Z,apaszke,User,,human_account,,no,,,,,,2026-08-29T09:13:03.901715+00:00
3,pytorch/pytorch,issue,7,timeline,commented,244530907,2016-09-03T06:48:40Z,soumith,User,COLLABORATOR,human_account,,no,,,,,,2026-08-29T09:13:03.901715+00:00
3,pytorch/pytorch,issue,7,timeline,commented,244530957,2016-09-03T06:50:18Z,szagoruyko,User,CONTRIBUTOR,human_account,,no,,,,,,2026-08-29T09:13:03.901715+00:00
3,pytorch/pytorch,issue,7,timeline,mentioned,777296689,2016-09-03T06:50:18Z,soumith,User,,human_account,,no,,,,,,2026-08-29T09:13:03.901715+00:00
3,pytorch/pytorch,issue,7,timeline,subscribed,777296690,2016-09-03T06:50:18Z,soumith,User,,human_account,,no,,,,,,2026-08-29T09:13:03.901715+00:00
3,pytorch/pytorch,issue,7,timeline,commented,244553465,2016-09-03T15:41:30Z,apaszke,User,CONTRIBUTOR,human_account,,no,,,,,,2026-08-29T09:13:03.901715+00:00
3,pytorch/pytorch,issue,7,timeline,mentioned,777385947,2016-09-03T15:41:30Z,szagoruyko,User,,human_account,,no,,,,,,2026-08-29T09:13:03.901715+00:00
3,pytorch/pytorch,issue,7,timeline,subscribed,777385948,2016-09-03T15:41:30Z,szagoruyko,User,,human_account,,no,,,,,,2026-08-29T09:13:03.901715+00:00
3,pytorch/pytorch,issue,7,timeline,commented,244553614,2016-09-03T15:43:37Z,szagoruyko,User,CONTRIBUTOR,human_account,,no,,,,,,2026-08-29T09:13:03.901715+00:00
3,pytorch/pytorch,issue,7,timeline,mentioned,777386368,2016-09-03T15:43:37Z,apaszke,User,,human_account,,no,,,,,,2026-08-29T09:13:03.901715+00:00
3,pytorch/pytorch,issue,7,timeline,subscribed,777386369,2016-09-03T15:43:37Z,apaszke,User,,human_account,,no,,,,,,2026-08-29T09:13:03.901715+00:00
3,pytorch/pytorch,issue,7,timeline,closed,777386370,2016-09-03T15:43:37Z,szagoruyko,User,,human_account,,no,,,,,,2026-08-29T09:13:03.901715+00:00
3,pytorch/pytorch,issue,7,timeline,commented,244553824,2016-09-03T15:47:12Z,soumith,User,COLLABORATOR,human_account,,no,,,,,,2026-08-29T09:13:03.901715+00:00
3,pytorch/pytorch,issue,7,timeline,cross-referenced,,2017-01-20T09:36:33Z,fmassa,User,,human_account,,no,,,,,,2026-08-29T09:13:03.901715+00:00
3,pytorch/pytorch,issue,7,timeline,cross-referenced,,2017-01-24T12:11:32Z,rockcat,User,,human_account,,no,,,,,,2026-08-29T09:13:03.901715+00:00
