sample_rank,repo_name,item_type,number,event_source,event_type,event_id,created_at,actor_login,actor_github_type,author_association,actor_initial_class,performed_via_github_app,ai_disclosure_candidate,ai_disclosure_evidence,review_state,commit_sha,commit_author_login,commit_committer_login,collected_at
3,pytorch/pytorch,pull_request,152,pull_commit,committed,140c65e52b3eadc589af8013b02e0de42743947b,2016-10-22T03:20:02Z,soumith,User,,human_account,,no,,,140c65e52b3eadc589af8013b02e0de42743947b,soumith,soumith,2026-08-29T09:13:03.969745+00:00
3,pytorch/pytorch,pull_request,223,pull_commit,committed,b79b18ae6b9201641b9cfca452effb82108cea55,2016-11-16T22:44:06Z,soumith,User,,human_account,,no,,,b79b18ae6b9201641b9cfca452effb82108cea55,soumith,soumith,2026-08-29T09:13:04.610244+00:00
3,pytorch/pytorch,pull_request,22,pull_commit,committed,fcd667a0b105c4569022bb53cc90a788497db081,2016-09-11T05:59:45Z,soumith,User,,human_account,,no,,,fcd667a0b105c4569022bb53cc90a788497db081,soumith,soumith,2026-08-29T09:13:05.112784+00:00
3,pytorch/pytorch,pull_request,90,pull_commit,committed,1baa1e6999a898a6713bf2b420ab006ffd8c6c9b,2016-10-01T22:41:23Z,colesbury,User,,human_account,,no,,,1baa1e6999a898a6713bf2b420ab006ffd8c6c9b,colesbury,colesbury,2026-08-29T09:13:05.687741+00:00
3,pytorch/pytorch,pull_request,117,pull_commit,committed,a018ee13754c8ff8ed86d07f990f6a43f93bfb98,2016-10-12T16:15:05Z,apaszke,User,,human_account,,no,,,a018ee13754c8ff8ed86d07f990f6a43f93bfb98,apaszke,apaszke,2026-08-29T09:13:06.192376+00:00
3,pytorch/pytorch,pull_request,62,pull_commit,committed,e509e4711623732845c6c9a4bb4e302fad6a1fa5,2016-09-28T23:32:56Z,apaszke,User,,human_account,,no,,,e509e4711623732845c6c9a4bb4e302fad6a1fa5,apaszke,apaszke,2026-08-29T09:13:06.889406+00:00
3,pytorch/pytorch,pull_request,167,pull_commit,committed,38b67961eaa934e308a2867f9b68874288f0afa2,2016-10-26T22:29:56Z,colesbury,User,,human_account,,no,,,38b67961eaa934e308a2867f9b68874288f0afa2,colesbury,colesbury,2026-08-29T09:13:07.447694+00:00
3,pytorch/pytorch,pull_request,15,pull_commit,committed,cd0929aa5e5ac52a358fc21c133e4bebca61bdd5,2016-09-07T22:51:44Z,colesbury,User,,human_account,,no,,,cd0929aa5e5ac52a358fc21c133e4bebca61bdd5,colesbury,colesbury,2026-08-29T09:13:07.987417+00:00
3,pytorch/pytorch,pull_request,154,pull_commit,committed,4d0eb5af7b815a58e5781cc52454958007b8005f,2016-10-22T05:07:54Z,soumith,User,,human_account,,no,,,4d0eb5af7b815a58e5781cc52454958007b8005f,soumith,soumith,2026-08-29T09:13:08.572770+00:00
3,pytorch/pytorch,pull_request,9,pull_commit,committed,1486d880b0be575bc1ebdf23204b1553b2fb1b2b,2016-09-07T22:32:33Z,colesbury,User,,human_account,,no,,,1486d880b0be575bc1ebdf23204b1553b2fb1b2b,colesbury,colesbury,2026-08-29T09:13:09.103101+00:00
3,pytorch/pytorch,pull_request,282,pull_commit,committed,3838dc2fd8c8c03abb96bd6580a2dbeef83e565c,2016-12-01T18:51:15Z,apaszke,User,,human_account,,no,,,3838dc2fd8c8c03abb96bd6580a2dbeef83e565c,apaszke,apaszke,2026-08-29T09:13:10.127524+00:00
3,pytorch/pytorch,pull_request,282,pull_commit,committed,dd7afeb105c2d7464e6f37c1126d99293fcaa22f,2016-12-01T18:51:15Z,apaszke,User,,human_account,,no,,,dd7afeb105c2d7464e6f37c1126d99293fcaa22f,apaszke,apaszke,2026-08-29T09:13:10.127524+00:00
3,pytorch/pytorch,pull_request,282,pull_commit,committed,ab96096e61ecb3ed63f979ca854e05f3d529db51,2016-12-01T21:14:59Z,apaszke,User,,human_account,,no,,,ab96096e61ecb3ed63f979ca854e05f3d529db51,apaszke,apaszke,2026-08-29T09:13:10.127524+00:00
3,pytorch/pytorch,pull_request,282,pull_commit,committed,f354095f1f81daa6bb5ea6a708b45e4cbe0404d5,2016-12-01T21:15:02Z,apaszke,User,,human_account,,no,,,f354095f1f81daa6bb5ea6a708b45e4cbe0404d5,apaszke,apaszke,2026-08-29T09:13:10.127524+00:00
3,pytorch/pytorch,pull_request,282,pull_commit,committed,44865d7ce42a8d60a99621a4175fa42dcdee41b4,2016-12-01T21:15:02Z,apaszke,User,,human_account,,no,,,44865d7ce42a8d60a99621a4175fa42dcdee41b4,apaszke,apaszke,2026-08-29T09:13:10.127524+00:00
3,pytorch/pytorch,pull_request,282,pull_commit,committed,6a49cfeca7c17f7823b72824e48ebf8ca9f6884a,2016-12-01T21:15:03Z,apaszke,User,,human_account,,no,,,6a49cfeca7c17f7823b72824e48ebf8ca9f6884a,apaszke,apaszke,2026-08-29T09:13:10.127524+00:00
3,pytorch/pytorch,pull_request,282,pull_commit,committed,27fee5c4c977d6cbb0e3d11809fcaec23564b7e8,2016-12-01T21:15:06Z,apaszke,User,,human_account,,no,,,27fee5c4c977d6cbb0e3d11809fcaec23564b7e8,apaszke,apaszke,2026-08-29T09:13:10.127524+00:00
3,pytorch/pytorch,pull_request,282,pull_commit,committed,1d8fb2e0181aad1ba5383d10e8db01b1f7a85ec3,2016-12-01T21:15:06Z,apaszke,User,,human_account,,no,,,1d8fb2e0181aad1ba5383d10e8db01b1f7a85ec3,apaszke,apaszke,2026-08-29T09:13:10.127524+00:00
3,pytorch/pytorch,pull_request,282,pull_commit,committed,2cf9b1e525fd6cc1fe73ace22cd4a0d20a9b30d8,2016-12-01T21:30:27Z,apaszke,User,,human_account,,no,,,2cf9b1e525fd6cc1fe73ace22cd4a0d20a9b30d8,apaszke,apaszke,2026-08-29T09:13:10.127524+00:00
3,pytorch/pytorch,pull_request,127,pull_commit,committed,af3e0d59b8a539c0a53b74bb97c75d807bd6f8f7,2016-10-15T20:29:10Z,colesbury,User,,human_account,,no,,,af3e0d59b8a539c0a53b74bb97c75d807bd6f8f7,colesbury,colesbury,2026-08-29T09:13:10.596224+00:00
3,pytorch/pytorch,pull_request,207,pull_commit,committed,16fe33cda57c76656c7f2d18833a484258b81659,2016-11-08T16:24:59Z,apaszke,User,,human_account,,no,,,16fe33cda57c76656c7f2d18833a484258b81659,apaszke,apaszke,2026-08-29T09:13:11.142712+00:00
3,pytorch/pytorch,pull_request,207,pull_commit,committed,aefa3b88e7eb5fbce7239e44d2b8555e5b571d0e,2016-11-08T16:48:34Z,apaszke,User,,human_account,,no,,,aefa3b88e7eb5fbce7239e44d2b8555e5b571d0e,apaszke,apaszke,2026-08-29T09:13:11.142712+00:00
3,pytorch/pytorch,pull_request,207,pull_commit,committed,4ce2aea1273c6154d4d34002dd92635d9f0a9b99,2016-11-08T16:55:36Z,apaszke,User,,human_account,,no,,,4ce2aea1273c6154d4d34002dd92635d9f0a9b99,apaszke,apaszke,2026-08-29T09:13:11.142712+00:00
3,pytorch/pytorch,pull_request,207,pull_commit,committed,8027003e65ce37ae5b48390581b0994a3143986e,2016-11-08T16:55:38Z,apaszke,User,,human_account,,no,,,8027003e65ce37ae5b48390581b0994a3143986e,gchanan,apaszke,2026-08-29T09:13:11.142712+00:00
3,pytorch/pytorch,pull_request,207,pull_commit,committed,b5862e30b95c3f282a4da3df1d6c2ea06e6e1be7,2016-11-08T16:55:38Z,apaszke,User,,human_account,,no,,,b5862e30b95c3f282a4da3df1d6c2ea06e6e1be7,apaszke,apaszke,2026-08-29T09:13:11.142712+00:00
3,pytorch/pytorch,pull_request,119,pull_commit,committed,3d6ebde756eeaf10236d51033a30f3fb3790c010,2016-10-14T07:10:16Z,soumith,User,,human_account,,no,,,3d6ebde756eeaf10236d51033a30f3fb3790c010,soumith,soumith,2026-08-29T09:13:11.767405+00:00
3,pytorch/pytorch,pull_request,178,pull_commit,committed,2ee451f5f7210681b4c55bbc35416f0b9981c869,2016-10-28T19:51:19Z,colesbury,User,,human_account,,no,,,2ee451f5f7210681b4c55bbc35416f0b9981c869,colesbury,colesbury,2026-08-29T09:13:12.239215+00:00
3,pytorch/pytorch,pull_request,110,pull_commit,committed,f2cf673d3a52098e307493028ae77f7ebe715364,2016-10-07T21:53:37Z,soumith,User,,human_account,,no,,,f2cf673d3a52098e307493028ae77f7ebe715364,soumith,soumith,2026-08-29T09:13:12.808942+00:00
3,pytorch/pytorch,pull_request,193,pull_commit,committed,2031dfc08a69d1af3c9b0dc674b9374aa471bc37,2016-10-27T22:01:09Z,gchanan,User,,human_account,,no,,,2031dfc08a69d1af3c9b0dc674b9374aa471bc37,gchanan,gchanan,2026-08-29T09:13:13.287484+00:00
3,pytorch/pytorch,pull_request,193,pull_commit,committed,32647e285e09ddefb9ce65b8bd1cfbb49f47b23d,2016-11-01T01:22:49Z,soumith,User,,human_account,,no,,,32647e285e09ddefb9ce65b8bd1cfbb49f47b23d,soumith,soumith,2026-08-29T09:13:13.287484+00:00
3,pytorch/pytorch,pull_request,193,pull_commit,committed,5009ae5548e528f2a9a3bd53bf721fb6bf35b9f3,2016-11-01T02:26:08Z,soumith,User,,human_account,,no,,,5009ae5548e528f2a9a3bd53bf721fb6bf35b9f3,soumith,soumith,2026-08-29T09:13:13.287484+00:00
3,pytorch/pytorch,pull_request,193,pull_commit,committed,16cac6442a1b9f6328e39ccd283694cb7163fc10,2016-11-01T04:26:19Z,soumith,User,,human_account,,no,,,16cac6442a1b9f6328e39ccd283694cb7163fc10,soumith,soumith,2026-08-29T09:13:13.287484+00:00
3,pytorch/pytorch,pull_request,193,pull_commit,committed,7355c63845de41a0468970a0403728a4dc0e16b9,2016-11-01T04:26:19Z,soumith,User,,human_account,,no,,,7355c63845de41a0468970a0403728a4dc0e16b9,soumith,soumith,2026-08-29T09:13:13.287484+00:00
3,pytorch/pytorch,pull_request,193,pull_commit,committed,f16f68e103dfc22921f6106ec7136ddc7a0ab087,2016-11-01T15:07:07Z,dbolkensteyn,User,,human_account,,no,,,f16f68e103dfc22921f6106ec7136ddc7a0ab087,dbolkensteyn,dbolkensteyn,2026-08-29T09:13:13.287484+00:00
3,pytorch/pytorch,pull_request,193,pull_commit,committed,0dfec752a3c4f64b0be01b8adb856f63c57f6cfc,2016-11-01T17:38:13Z,soumith,User,,human_account,,no,,,0dfec752a3c4f64b0be01b8adb856f63c57f6cfc,soumith,soumith,2026-08-29T09:13:13.287484+00:00
3,pytorch/pytorch,pull_request,168377,pull_commit,committed,f1b03cc6772be624235d52018d6a3313d74516c9,2025-12-16T23:57:34Z,ethanwee1,User,,human_account,,no,,,f1b03cc6772be624235d52018d6a3313d74516c9,ethanwee1,ethanwee1,2026-08-29T09:13:13.830829+00:00
3,pytorch/pytorch,pull_request,168377,pull_commit,committed,94b4bc8eab3a561f421466be262775c04cb922be,2025-12-16T23:57:34Z,ethanwee1,User,,human_account,,no,,,94b4bc8eab3a561f421466be262775c04cb922be,ethanwee1,ethanwee1,2026-08-29T09:13:13.830829+00:00
3,pytorch/pytorch,pull_request,168377,pull_commit,committed,98e2a3859cc68a123d09a7c604507c040534954b,2025-12-16T23:57:34Z,ethanwee1,User,,human_account,,no,,,98e2a3859cc68a123d09a7c604507c040534954b,ethanwee1,ethanwee1,2026-08-29T09:13:13.830829+00:00
3,pytorch/pytorch,pull_request,168377,pull_commit,committed,366648c379cbe2ec6a34a9f4b2983ce54b2a149e,2025-12-16T23:57:34Z,ethanwee1,User,,human_account,,no,,,366648c379cbe2ec6a34a9f4b2983ce54b2a149e,ethanwee1,ethanwee1,2026-08-29T09:13:13.830829+00:00
3,pytorch/pytorch,pull_request,168377,pull_commit,committed,bdc5b00588093b2361189a6066deb704a76a8595,2025-12-16T23:57:34Z,ethanwee1,User,,human_account,,no,,,bdc5b00588093b2361189a6066deb704a76a8595,ethanwee1,ethanwee1,2026-08-29T09:13:13.830829+00:00
3,pytorch/pytorch,pull_request,168377,pull_commit,committed,74e2eee83bdc337d153e22c2b2624598e8ad54de,2025-12-16T23:57:34Z,ethanwee1,User,,human_account,,no,,,74e2eee83bdc337d153e22c2b2624598e8ad54de,ethanwee1,ethanwee1,2026-08-29T09:13:13.830829+00:00
3,pytorch/pytorch,pull_request,168377,pull_commit,committed,0db2bee6707c92bf8f14dbcf1275f018a16c5034,2025-12-16T23:57:34Z,ethanwee1,User,,human_account,,no,,,0db2bee6707c92bf8f14dbcf1275f018a16c5034,ethanwee1,ethanwee1,2026-08-29T09:13:13.830829+00:00
3,pytorch/pytorch,pull_request,168377,pull_commit,committed,d030919ee981f81ccb0dc85f58e4b9457d74105f,2025-12-16T23:57:34Z,ethanwee1,User,,human_account,,no,,,d030919ee981f81ccb0dc85f58e4b9457d74105f,ethanwee1,ethanwee1,2026-08-29T09:13:13.830829+00:00
3,pytorch/pytorch,pull_request,168377,pull_commit,committed,320e40928a544757f1a5aaf208d1749ff5623c47,2025-12-16T23:57:34Z,ethanwee1,User,,human_account,,no,,,320e40928a544757f1a5aaf208d1749ff5623c47,ethanwee1,ethanwee1,2026-08-29T09:13:13.830829+00:00
3,pytorch/pytorch,pull_request,168377,pull_commit,committed,d2379fc79442005d417e72717ceb8cc9632b3ee4,2025-12-16T23:57:34Z,ethanwee1,User,,human_account,,no,,,d2379fc79442005d417e72717ceb8cc9632b3ee4,ethanwee1,ethanwee1,2026-08-29T09:13:13.830829+00:00
3,pytorch/pytorch,pull_request,168377,pull_commit,committed,407161fdc999bb84794d18ee971fe1948f6834b3,2025-12-16T23:57:34Z,ethanwee1,User,,human_account,,no,,,407161fdc999bb84794d18ee971fe1948f6834b3,ethanwee1,ethanwee1,2026-08-29T09:13:13.830829+00:00
3,pytorch/pytorch,pull_request,168377,pull_commit,committed,e7df96da25ef6cd9e255dbaafd8c200de5fafe27,2025-12-16T23:57:35Z,ethanwee1,User,,human_account,,no,,,e7df96da25ef6cd9e255dbaafd8c200de5fafe27,jeffdaily,ethanwee1,2026-08-29T09:13:13.830829+00:00
3,pytorch/pytorch,pull_request,168377,pull_commit,committed,dc31e90dc1a108ef1969ec99208c3015f77ddfb4,2025-12-16T23:57:35Z,ethanwee1,User,,human_account,,no,,,dc31e90dc1a108ef1969ec99208c3015f77ddfb4,jeffdaily,ethanwee1,2026-08-29T09:13:13.830829+00:00
3,pytorch/pytorch,pull_request,168377,pull_commit,committed,616577f08f896130a1009b79af97313a8e2fed51,2025-12-16T23:57:35Z,ethanwee1,User,,human_account,,no,,,616577f08f896130a1009b79af97313a8e2fed51,jithunnair-amd,ethanwee1,2026-08-29T09:13:13.830829+00:00
3,pytorch/pytorch,pull_request,168377,pull_commit,committed,d88ae5fb5b21dd3976ce299a572333af38f938e9,2025-12-16T23:57:35Z,ethanwee1,User,,human_account,,no,,,d88ae5fb5b21dd3976ce299a572333af38f938e9,jithunnair-amd,ethanwee1,2026-08-29T09:13:13.830829+00:00
3,pytorch/pytorch,pull_request,168377,pull_commit,committed,a3732af2b59c793258b9b3c71dedce485b88bf7d,2025-12-16T23:57:35Z,ethanwee1,User,,human_account,,no,,,a3732af2b59c793258b9b3c71dedce485b88bf7d,jithunnair-amd,ethanwee1,2026-08-29T09:13:13.830829+00:00
3,pytorch/pytorch,pull_request,168377,pull_commit,committed,ff4a94fe2d2a95fbed8b334708dbb94a991efee7,2025-12-16T23:57:35Z,ethanwee1,User,,human_account,,no,,,ff4a94fe2d2a95fbed8b334708dbb94a991efee7,ethanwee1,ethanwee1,2026-08-29T09:13:13.830829+00:00
3,pytorch/pytorch,pull_request,168377,pull_commit,committed,fcc89ac7ad974ced47d863d850e7859380d26681,2025-12-16T23:57:35Z,ethanwee1,User,,human_account,,no,,,fcc89ac7ad974ced47d863d850e7859380d26681,jeffdaily,ethanwee1,2026-08-29T09:13:13.830829+00:00
3,pytorch/pytorch,pull_request,168377,pull_commit,committed,049805647b968713a619c09b222053a22b425fd7,2025-12-16T23:57:35Z,ethanwee1,User,,human_account,,no,,,049805647b968713a619c09b222053a22b425fd7,ethanwee1,ethanwee1,2026-08-29T09:13:13.830829+00:00
3,pytorch/pytorch,pull_request,168377,pull_commit,committed,4846fe595a4a206e0e00d4655c22ef14a5d973f3,2025-12-16T23:57:35Z,ethanwee1,User,,human_account,,no,,,4846fe595a4a206e0e00d4655c22ef14a5d973f3,ethanwee1,ethanwee1,2026-08-29T09:13:13.830829+00:00
3,pytorch/pytorch,pull_request,168377,pull_commit,committed,52a16a6db674c8edecffc20ee2a9771857f99a70,2025-12-16T23:57:36Z,ethanwee1,User,,human_account,,no,,,52a16a6db674c8edecffc20ee2a9771857f99a70,ethanwee1,ethanwee1,2026-08-29T09:13:13.830829+00:00
3,pytorch/pytorch,pull_request,168377,pull_commit,committed,a39892dc32914a97fc6680bda82bcf137773e17c,2025-12-16T23:57:36Z,ethanwee1,User,,human_account,,no,,,a39892dc32914a97fc6680bda82bcf137773e17c,ethanwee1,ethanwee1,2026-08-29T09:13:13.830829+00:00
3,pytorch/pytorch,pull_request,168377,pull_commit,committed,65f9d415594145299f8622a80acf31f11b31ca76,2025-12-16T23:57:36Z,ethanwee1,User,,human_account,,no,,,65f9d415594145299f8622a80acf31f11b31ca76,ethanwee1,ethanwee1,2026-08-29T09:13:13.830829+00:00
3,pytorch/pytorch,pull_request,168377,pull_commit,committed,0c3bddffe48086ab5d0c0b7a740c6b4d7fa82e19,2025-12-16T23:57:36Z,ethanwee1,User,,human_account,,no,,,0c3bddffe48086ab5d0c0b7a740c6b4d7fa82e19,ethanwee1,ethanwee1,2026-08-29T09:13:13.830829+00:00
3,pytorch/pytorch,pull_request,168377,pull_commit,committed,5cba4e905a252a8c1ad113a269d3bca3c9fcab89,2025-12-17T12:10:08Z,web-flow,User,,human_account,,no,,,5cba4e905a252a8c1ad113a269d3bca3c9fcab89,jithunnair-amd,web-flow,2026-08-29T09:13:13.830829+00:00
3,pytorch/pytorch,pull_request,169450,pull_commit,committed,054b5218408f2be8a4cd991d88f62141073b33c4,2025-12-03T04:43:31Z,ojh31,User,,human_account,,no,,,054b5218408f2be8a4cd991d88f62141073b33c4,ojh31,ojh31,2026-08-29T09:13:14.442809+00:00
3,pytorch/pytorch,pull_request,162966,pull_commit,committed,24e195b464a6a31b94faa7b12d67f561d2d9d537,2025-09-15T15:31:43Z,,,,unknown,,no,,,24e195b464a6a31b94faa7b12d67f561d2d9d537,,,2026-08-29T09:13:15.073274+00:00
3,pytorch/pytorch,pull_request,164363,pull_commit,committed,f0c8009aaaf39a5aa6fefb45055f9ea31c7f9740,2025-10-01T15:47:07Z,facebook-github-bot,User,,human_account,,no,,,f0c8009aaaf39a5aa6fefb45055f9ea31c7f9740,yushangdi,facebook-github-bot,2026-08-29T09:13:15.582086+00:00
3,pytorch/pytorch,pull_request,170644,pull_commit,committed,545c00ce07c7272b5c57177c6a74b036596c0920,2025-12-17T05:43:08Z,jansel,User,,human_account,,no,,,545c00ce07c7272b5c57177c6a74b036596c0920,jansel,jansel,2026-08-29T09:13:16.173253+00:00
3,pytorch/pytorch,pull_request,170644,pull_commit,committed,fc43bf888bf55d8482e428aada17cd185194dadd,2025-12-17T06:14:51Z,jansel,User,,human_account,,no,,,fc43bf888bf55d8482e428aada17cd185194dadd,jansel,jansel,2026-08-29T09:13:16.173253+00:00
