deep_rank,repo_name,study_stage,stage_start,stage_end,population_items,target_items,selected_items,frame_min_number,frame_max_number,attempted_numbers,scan_status,error
1,openai/codex,launch_120d,2025-04-13,2025-08-10,2047,30,30,2,2144,30,ok,
1,openai/codex,previous_2025q4,2025-09-01,2025-12-31,3642,30,30,3003,8646,34,ok,
1,openai/codex,current_2026m5_m8,2026-05-01,2026-08-28,14774,30,30,20536,41437,30,ok,
2,anthropics/claude-code,launch_120d,2025-02-22,2025-06-21,2400,30,30,1,2425,32,ok,
2,anthropics/claude-code,previous_2025q4,2025-09-01,2025-12-31,8858,30,30,6933,15938,30,ok,
2,anthropics/claude-code,current_2026m5_m8,2026-05-01,2026-08-28,35170,30,30,55155,90481,31,ok,
3,langchain-ai/langchain,launch_120d,2022-10-17,2023-02-13,1014,30,30,1,1027,30,ok,
3,langchain-ai/langchain,previous_2025q4,2025-09-01,2025-12-31,1691,30,30,32774,34556,31,ok,
3,langchain-ai/langchain,current_2026m5_m8,2026-05-01,2026-08-28,2639,30,30,37114,39999,31,ok,
4,langgenius/dify,launch_120d,2023-04-12,2023-08-09,789,30,30,1,791,30,ok,
4,langgenius/dify,previous_2025q4,2025-09-01,2025-12-31,4804,30,30,24867,30445,40,ok,
4,langgenius/dify,current_2026m5_m8,2026-05-01,2026-08-28,5383,30,30,35757,41458,33,ok,
5,n8n-io/n8n,launch_120d,2019-06-22,2019-10-19,86,30,30,1,86,30,ok,
5,n8n-io/n8n,previous_2025q4,2025-09-01,2025-12-31,4744,30,30,19018,23776,30,ok,
5,n8n-io/n8n,current_2026m5_m8,2026-05-01,2026-08-28,7658,30,30,29609,37346,30,ok,
6,langfuse/langfuse,launch_120d,2023-05-18,2023-09-14,169,30,30,1,170,31,ok,
6,langfuse/langfuse,previous_2025q4,2025-09-01,2025-12-31,1783,30,30,8833,11346,38,ok,
6,langfuse/langfuse,current_2026m5_m8,2026-05-01,2026-08-28,3131,30,30,13427,16801,31,ok,
7,coder/coder,launch_120d,2021-12-22,2022-04-20,1086,30,30,1,1096,30,ok,
7,coder/coder,previous_2025q4,2025-09-01,2025-12-31,1719,30,30,19656,21410,30,ok,
7,coder/coder,current_2026m5_m8,2026-05-01,2026-08-28,3807,30,30,24857,28750,31,ok,
8,milvus-io/milvus,launch_120d,2019-09-16,2020-01-13,1023,30,30,1,1023,30,ok,
8,milvus-io/milvus,previous_2025q4,2025-09-01,2025-12-31,2421,30,30,44142,46723,31,ok,
8,milvus-io/milvus,current_2026m5_m8,2026-05-01,2026-08-28,3461,30,30,49487,53007,30,ok,
9,vllm-project/vllm,launch_120d,2023-02-09,2023-06-08,142,30,30,1,142,30,ok,
9,vllm-project/vllm,previous_2025q4,2025-09-01,2025-12-31,7559,30,30,24010,31591,30,ok,
9,vllm-project/vllm,current_2026m5_m8,2026-05-01,2026-08-28,12778,30,30,41429,54292,30,ok,
10,pytorch/pytorch,launch_120d,2016-08-13,2016-12-10,296,30,30,1,296,30,ok,
10,pytorch/pytorch,previous_2025q4,2025-09-01,2025-12-31,9674,30,30,161867,171587,30,ok,
10,pytorch/pytorch,current_2026m5_m8,2026-05-01,2026-08-28,13052,30,30,182083,195231,30,ok,
