study_stage,stage_start,stage_end,sample_rank,repo_name,llm_native_manual,collaboration_niche,agent_proximity,item_type,number,node_id,html_url,state,outcome,created_at,updated_at,closed_at,merged_at,author_login,author_github_type,author_association,author_initial_class,performed_via_github_app,ai_disclosure_candidate,ai_disclosure_evidence,comments_count,labels,population_items,selected_items,inclusion_probability,sampling_weight,frame_min_number,frame_max_number,sampling_seed,sampling_method,collected_at
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,2053,PR_kwDOOYsS4c6i1v5Q,https://github.com/openai/codex/pull/2053,closed,merged,2025-08-09T00:37:42Z,2025-08-09T01:21:31Z,2025-08-09T01:21:19Z,2025-08-09T01:21:19Z,dylan-hurd-oai,User,CONTRIBUTOR,human_account,,no,,1,,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,922,PR_kwDOOYsS4c6WFILQ,https://github.com/openai/codex/pull/922,closed,merged,2025-05-14T01:07:56Z,2025-05-15T22:01:37Z,2025-05-14T02:22:17Z,2025-05-14T02:22:17Z,bolinfest,User,COLLABORATOR,human_account,,no,,0,,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,2011,I_kwDOOYsS4c7E7Zv2,https://github.com/openai/codex/issues/2011,closed,closed,2025-08-08T12:36:58Z,2025-09-06T02:50:47Z,2025-09-06T02:50:47Z,,aehlke,User,NONE,human_account,,no,,2,enhancement,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,833,PR_kwDOOYsS4c6VJ7jz,https://github.com/openai/codex/pull/833,closed,merged,2025-05-06T18:50:05Z,2025-05-06T19:03:00Z,2025-05-06T19:02:49Z,2025-05-06T19:02:49Z,bolinfest,User,COLLABORATOR,human_account,,no,,0,,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,1053,PR_kwDOOYsS4c6W8ENd,https://github.com/openai/codex/pull/1053,closed,closed_unmerged,2025-05-20T18:30:36Z,2025-08-07T01:50:00Z,2025-08-07T01:49:53Z,,oscarsalvador,User,NONE,human_account,,no,,6,,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,2095,PR_kwDOOYsS4c6i5FqD,https://github.com/openai/codex/pull/2095,closed,merged,2025-08-09T18:20:22Z,2025-08-11T18:26:23Z,2025-08-11T18:26:15Z,2025-08-11T18:26:15Z,gpeal,User,CONTRIBUTOR,human_account,,no,,0,,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,1688,I_kwDOOYsS4c7Conl4,https://github.com/openai/codex/issues/1688,closed,closed,2025-07-26T10:45:47Z,2025-07-29T19:49:49Z,2025-07-29T19:48:06Z,,jackmhny,User,NONE,human_account,,no,,4,bug,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,710,PR_kwDOOYsS4c6UOBta,https://github.com/openai/codex/pull/710,closed,merged,2025-04-28T19:13:57Z,2025-04-28T20:42:17Z,2025-04-28T20:42:04Z,2025-04-28T20:42:04Z,bolinfest,User,COLLABORATOR,human_account,,no,,0,,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,pull_request,643,PR_kwDOOYsS4c6T3h8B,https://github.com/openai/codex/pull/643,closed,merged,2025-04-25T07:00:49Z,2025-04-25T16:38:17Z,2025-04-25T16:38:05Z,2025-04-25T16:38:05Z,skpulipaka26,User,CONTRIBUTOR,human_account,,no,,3,,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,1124,I_kwDOOYsS4c64R4eo,https://github.com/openai/codex/issues/1124,closed,closed,2025-05-26T16:56:52Z,2025-09-05T08:23:06Z,2025-09-05T08:23:06Z,,doggy8088,User,NONE,human_account,,no,,1,enhancement,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,51,I_kwDOOYsS4c6y1vtT,https://github.com/openai/codex/issues/51,closed,closed,2025-04-16T18:35:50Z,2025-04-16T18:45:09Z,2025-04-16T18:45:08Z,,heymaaz,User,NONE,human_account,,no,,1,,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,1918,I_kwDOOYsS4c7En4Ns,https://github.com/openai/codex/issues/1918,closed,closed,2025-08-07T03:33:41Z,2025-08-07T18:46:35Z,2025-08-07T18:46:35Z,,caibirdme,User,NONE,human_account,,no,,2,bug,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
launch_120d,2025-04-13,2025-08-10,10,openai/codex,llm_native,agent_application,deep_representative_case,issue,1039,I_kwDOOYsS4c63Tmcw,https://github.com/openai/codex/issues/1039,closed,closed,2025-05-20T01:35:06Z,2025-08-07T18:53:56Z,2025-08-07T18:53:56Z,,gamergenic,User,NONE,human_account,,no,,5,bug,2047,30,0.01465559,68.233333,2,2144,260829,uniform_issue_number_rejection_sample,2026-08-29T09:04:45.273844+00:00
