study_stage,panel_year,repo_name,llm_native_manual,item_type,number,html_url,created_at,stage_end,sampling_weight,agent_opener,agent_visible_24h,agent_visible_30d,early_agent_exposure,coding_or_review_agent_visible_24h,coding_or_review_agent_visible_30d,support_agent_visible_30d,security_review_agent_visible_30d,explicit_ai_disclosure,human_response_hours,maintainer_response_hours,any_response_hours,eligible_1d,eligible_7d,human_response_24h,human_response_7d,maintainer_response_7d,any_response_7d,eligible_30d,resolved_30d,issue_closed_30d,pr_merged_30d,pr_closed_unmerged_30d,eligible_90d,resolved_90d,issue_closed_90d,pr_merged_90d,reply_events_30d,human_reply_events_30d,maintainer_actions_30d,agent_actions_30d,automation_actions_30d,conversation_runs_30d,maintainer_entries_30d,opener_return_rounds_30d,review_events_30d,human_review_events_30d,maintainer_review_events_30d,agent_review_events_30d,changes_requested_30d,commits_after_first_review_30d,commits_after_first_human_review_30d,commits_after_first_agent_review_30d
year_2025_m5_m8,2025,openai/codex,llm_native,pull_request,2663,https://github.com/openai/codex/pull/2663,2025-08-25T05:34:48Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,0.087778,,0.087778,yes,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0
year_2025_m5_m8,2025,openai/codex,llm_native,issue,2766,https://github.com/openai/codex/issues/2766,2025-08-27T11:50:35Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,,,,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,openai/codex,llm_native,pull_request,1830,https://github.com/openai/codex/pull/1830,2025-08-04T22:39:02Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,20.221944,20.221944,20.221944,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,10,10,7,0,1,2,1,1,10,10,7,0,0,3,3,0
year_2025_m5_m8,2025,openai/codex,llm_native,issue,1198,https://github.com/openai/codex/issues/1198,2025-06-02T21:32:21Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,,,,yes,yes,no,no,no,no,yes,yes,yes,no,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,openai/codex,llm_native,issue,1563,https://github.com/openai/codex/issues/1563,2025-07-14T05:57:07Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,11.849722,11.849722,11.849722,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,4,4,1,0,0,2,1,1,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,openai/codex,llm_native,issue,2814,https://github.com/openai/codex/issues/2814,2025-08-28T07:34:18Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,,,,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,openai/codex,llm_native,pull_request,1808,https://github.com/openai/codex/pull/1808,2025-08-03T06:02:41Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,7.945556,17.845,0.002222,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,5,4,1,0,3,4,1,1,2,2,1,0,0,0,0,0
year_2025_m5_m8,2025,openai/codex,llm_native,pull_request,2046,https://github.com/openai/codex/pull/2046,2025-08-08T22:32:23Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,,,0.0025,yes,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,3,2,0,0,2,2,0,1,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,openai/codex,llm_native,pull_request,787,https://github.com/openai/codex/pull/787,2025-05-02T19:25:38Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,0.315833,,0.315833,yes,yes,yes,yes,no,yes,yes,yes,no,yes,no,yes,yes,no,yes,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
year_2025_m5_m8,2025,openai/codex,llm_native,issue,1501,https://github.com/openai/codex/issues/1501,2025-07-10T09:36:11Z,2025-08-28,66.166667,no,no,no,no,no,no,no,no,no,9.881667,9.881667,9.881667,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,2,2,1,0,0,2,1,1,0,0,0,0,0,0,0,0
