sample_rank,repo_name,item_type,number,event_source,event_type,event_id,created_at,actor_login,actor_github_type,author_association,actor_initial_class,performed_via_github_app,ai_disclosure_candidate,ai_disclosure_evidence,review_state,commit_sha,commit_author_login,commit_committer_login,collected_at
3,pytorch/pytorch,pull_request,126582,timeline,committed,,,,,,unknown,,no,,,760bb8c748ea873604e68113d73c0b65ac90d816,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,cross-referenced,,2024-05-17T22:53:57Z,wconstab,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,commented,2118466695,2024-05-17T22:53:58Z,pytorch-bot[bot],Bot,NONE,automation_bot,pytorch-bot,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,cross-referenced,,2024-05-17T22:53:58Z,wconstab,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,labeled,12853865891,2024-05-17T22:53:59Z,pytorch-bot[bot],Bot,,automation_bot,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,labeled,12853865896,2024-05-17T22:53:59Z,pytorch-bot[bot],Bot,,automation_bot,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,cross-referenced,,2024-05-17T22:53:59Z,wconstab,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,mentioned,12853866083,2024-05-17T22:54:02Z,mrshenli,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,mentioned,12853866085,2024-05-17T22:54:02Z,mrshenli,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,subscribed,12853866090,2024-05-17T22:54:02Z,mrshenli,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,subscribed,12853866097,2024-05-17T22:54:02Z,mrshenli,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,mentioned,12853866099,2024-05-17T22:54:02Z,pritamdamania87,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,mentioned,12853866103,2024-05-17T22:54:02Z,pritamdamania87,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,subscribed,12853866105,2024-05-17T22:54:02Z,pritamdamania87,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,subscribed,12853866109,2024-05-17T22:54:02Z,pritamdamania87,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,mentioned,12853866111,2024-05-17T22:54:02Z,zhaojuanmao,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,mentioned,12853866115,2024-05-17T22:54:02Z,zhaojuanmao,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,subscribed,12853866117,2024-05-17T22:54:02Z,zhaojuanmao,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,subscribed,12853866118,2024-05-17T22:54:02Z,zhaojuanmao,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,mentioned,12853866120,2024-05-17T22:54:02Z,satgera,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,mentioned,12853866125,2024-05-17T22:54:02Z,satgera,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,subscribed,12853866130,2024-05-17T22:54:02Z,satgera,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,subscribed,12853866133,2024-05-17T22:54:02Z,satgera,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,mentioned,12853866141,2024-05-17T22:54:02Z,gqchen,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,mentioned,12853866142,2024-05-17T22:54:02Z,gqchen,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,subscribed,12853866147,2024-05-17T22:54:02Z,gqchen,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,subscribed,12853866148,2024-05-17T22:54:02Z,gqchen,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,mentioned,12853866151,2024-05-17T22:54:02Z,aazzolini,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,mentioned,12853866152,2024-05-17T22:54:02Z,aazzolini,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,subscribed,12853866155,2024-05-17T22:54:03Z,aazzolini,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,subscribed,12853866158,2024-05-17T22:54:03Z,aazzolini,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,mentioned,12853866162,2024-05-17T22:54:03Z,osalpekar,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
3,pytorch/pytorch,pull_request,126582,timeline,mentioned,12853866163,2024-05-17T22:54:03Z,osalpekar,User,,human_account,,no,,,,,,2026-08-30T17:03:04.079590+00:00
