sample_rank,repo_name,item_type,number,event_source,event_type,event_id,created_at,actor_login,actor_github_type,author_association,actor_initial_class,performed_via_github_app,ai_disclosure_candidate,ai_disclosure_evidence,review_state,commit_sha,commit_author_login,commit_committer_login,collected_at
3,pytorch/pytorch,pull_request,131248,pull_review_comment,review_commented,1692112844,2024-07-25T20:56:41Z,d4l3k,User,MEMBER,human_account,,no,,,016588f53c6904b840aa56aa86f95460b4d9c996,,,2026-08-30T17:14:29.530070+00:00
3,pytorch/pytorch,pull_request,131248,pull_review_comment,review_commented,1692116021,2024-07-25T20:59:00Z,d4l3k,User,MEMBER,human_account,,no,,,016588f53c6904b840aa56aa86f95460b4d9c996,,,2026-08-30T17:14:29.530070+00:00
3,pytorch/pytorch,pull_request,131248,pull_review_comment,review_commented,1692116441,2024-07-25T20:59:20Z,d4l3k,User,MEMBER,human_account,,no,,,016588f53c6904b840aa56aa86f95460b4d9c996,,,2026-08-30T17:14:29.530070+00:00
3,pytorch/pytorch,pull_request,131248,pull_review_comment,review_commented,1692118496,2024-07-25T21:00:57Z,d4l3k,User,MEMBER,human_account,,no,,,016588f53c6904b840aa56aa86f95460b4d9c996,,,2026-08-30T17:14:29.530070+00:00
3,pytorch/pytorch,pull_request,131248,pull_review_comment,review_commented,1699152842,2024-07-31T22:02:11Z,zdevito,User,CONTRIBUTOR,human_account,,no,,,016588f53c6904b840aa56aa86f95460b4d9c996,,,2026-08-30T17:14:29.530070+00:00
3,pytorch/pytorch,pull_request,131248,pull_review_comment,review_commented,1699153245,2024-07-31T22:02:45Z,zdevito,User,CONTRIBUTOR,human_account,,no,,,016588f53c6904b840aa56aa86f95460b4d9c996,,,2026-08-30T17:14:29.530070+00:00
3,pytorch/pytorch,pull_request,131248,pull_review_comment,review_commented,1699154475,2024-07-31T22:04:32Z,zdevito,User,CONTRIBUTOR,human_account,,no,,,016588f53c6904b840aa56aa86f95460b4d9c996,,,2026-08-30T17:14:29.530070+00:00
3,pytorch/pytorch,pull_request,131248,pull_review_comment,review_commented,1699169483,2024-07-31T22:26:53Z,zdevito,User,CONTRIBUTOR,human_account,,no,,,016588f53c6904b840aa56aa86f95460b4d9c996,,,2026-08-30T17:14:29.530070+00:00
3,pytorch/pytorch,pull_request,134068,pull_review_comment,review_commented,1725104573,2024-08-21T13:57:20Z,malfet,User,COLLABORATOR,human_account,,no,,,d7e02bf04fe4fdf1427bf643d6b05be14519f1bb,,,2026-08-30T17:14:30.735526+00:00
3,pytorch/pytorch,pull_request,131803,pull_review_comment,review_commented,1697808264,2024-07-31T02:20:55Z,ezyang,User,CONTRIBUTOR,human_account,,no,,,c832e41512a0abcaee15861d0562932b774dbc25,,,2026-08-30T17:14:34.045977+00:00
3,pytorch/pytorch,pull_request,131803,pull_review_comment,review_commented,1698751479,2024-07-31T15:54:55Z,jbschlosser,User,CONTRIBUTOR,human_account,,no,,,c832e41512a0abcaee15861d0562932b774dbc25,,,2026-08-30T17:14:34.045977+00:00
3,pytorch/pytorch,pull_request,131803,pull_review_comment,review_commented,1699335502,2024-08-01T03:05:01Z,ezyang,User,CONTRIBUTOR,human_account,,no,,,c832e41512a0abcaee15861d0562932b774dbc25,,,2026-08-30T17:14:34.045977+00:00
3,pytorch/pytorch,pull_request,131803,pull_review_comment,review_commented,1702019977,2024-08-02T15:38:52Z,soulitzer,User,CONTRIBUTOR,human_account,,no,,,c832e41512a0abcaee15861d0562932b774dbc25,,,2026-08-30T17:14:34.045977+00:00
3,pytorch/pytorch,pull_request,131803,pull_review_comment,review_commented,1702199182,2024-08-02T18:44:29Z,bdhirsh,User,COLLABORATOR,human_account,,no,,,c832e41512a0abcaee15861d0562932b774dbc25,,,2026-08-30T17:14:34.045977+00:00
3,pytorch/pytorch,pull_request,131803,pull_review_comment,review_commented,1702428160,2024-08-03T01:29:18Z,ezyang,User,CONTRIBUTOR,human_account,,no,,,c832e41512a0abcaee15861d0562932b774dbc25,,,2026-08-30T17:14:34.045977+00:00
3,pytorch/pytorch,pull_request,131803,pull_review_comment,review_commented,1704792331,2024-08-06T01:28:37Z,soulitzer,User,CONTRIBUTOR,human_account,,no,,,c832e41512a0abcaee15861d0562932b774dbc25,,,2026-08-30T17:14:34.045977+00:00
3,pytorch/pytorch,pull_request,133393,pull_review_comment,review_commented,1717206625,2024-08-14T16:06:10Z,janeyx99,User,CONTRIBUTOR,human_account,,no,,,c43530852f6b8a1dafe6cf66ba6b47eb9e66faf2,,,2026-08-30T17:14:35.158713+00:00
3,pytorch/pytorch,pull_request,133393,pull_review_comment,review_commented,1720410864,2024-08-16T22:23:00Z,janeyx99,User,CONTRIBUTOR,human_account,,no,,,c43530852f6b8a1dafe6cf66ba6b47eb9e66faf2,,,2026-08-30T17:14:35.158713+00:00
3,pytorch/pytorch,pull_request,133393,pull_review_comment,review_commented,1720411601,2024-08-16T22:23:40Z,janeyx99,User,CONTRIBUTOR,human_account,,no,,,c43530852f6b8a1dafe6cf66ba6b47eb9e66faf2,,,2026-08-30T17:14:35.158713+00:00
3,pytorch/pytorch,pull_request,133393,pull_review_comment,review_commented,1720514251,2024-08-17T01:29:33Z,spzala,User,CONTRIBUTOR,human_account,,no,,,c43530852f6b8a1dafe6cf66ba6b47eb9e66faf2,,,2026-08-30T17:14:35.158713+00:00
3,pytorch/pytorch,pull_request,132357,pull_review_comment,review_commented,1700596179,2024-08-01T18:01:01Z,albanD,User,COLLABORATOR,human_account,,no,,,2d5e503d9e02ae8c7fbcedf34d7f05b9cd15fab4,,,2026-08-30T17:14:36.625097+00:00
3,pytorch/pytorch,pull_request,132357,pull_review_comment,review_commented,1700605502,2024-08-01T18:08:47Z,andriigrynenko,User,NONE,human_account,,no,,,2d5e503d9e02ae8c7fbcedf34d7f05b9cd15fab4,,,2026-08-30T17:14:36.625097+00:00
3,pytorch/pytorch,pull_request,132357,pull_review_comment,review_commented,1700616232,2024-08-01T18:15:20Z,andriigrynenko,User,NONE,human_account,,no,,,2d5e503d9e02ae8c7fbcedf34d7f05b9cd15fab4,,,2026-08-30T17:14:36.625097+00:00
3,pytorch/pytorch,pull_request,134017,pull_review_comment,review_commented,1723706931,2024-08-20T17:41:21Z,wconstab,User,CONTRIBUTOR,human_account,,no,,,9ec9d4defec651c5981c9d19d82b8261fad740ec,,,2026-08-30T17:14:38.132577+00:00
3,pytorch/pytorch,pull_request,134017,pull_review_comment,review_commented,1723925098,2024-08-20T20:13:03Z,fduwjj,User,COLLABORATOR,human_account,,no,,,9ec9d4defec651c5981c9d19d82b8261fad740ec,,,2026-08-30T17:14:38.132577+00:00
3,pytorch/pytorch,pull_request,134017,pull_review_comment,review_commented,1723962371,2024-08-20T20:50:08Z,wconstab,User,CONTRIBUTOR,human_account,,no,,,9ec9d4defec651c5981c9d19d82b8261fad740ec,,,2026-08-30T17:14:38.132577+00:00
3,pytorch/pytorch,pull_request,134017,pull_review_comment,review_commented,1723962661,2024-08-20T20:50:26Z,wconstab,User,CONTRIBUTOR,human_account,,no,,,9ec9d4defec651c5981c9d19d82b8261fad740ec,,,2026-08-30T17:14:38.132577+00:00
3,pytorch/pytorch,pull_request,134017,pull_review_comment,review_commented,1724017674,2024-08-20T21:54:44Z,fduwjj,User,COLLABORATOR,human_account,,no,,,9ec9d4defec651c5981c9d19d82b8261fad740ec,,,2026-08-30T17:14:38.132577+00:00
3,pytorch/pytorch,pull_request,156969,pull_review_comment,review_commented,2170036528,2025-06-26T21:21:34Z,angelayi,User,CONTRIBUTOR,human_account,,no,,,e5d71fd0433ec99a4de93ff02997089ddfd17937,,,2026-08-30T17:14:42.332089+00:00
3,pytorch/pytorch,pull_request,156969,pull_review_comment,review_commented,2170118977,2025-06-26T22:08:42Z,svekars,User,CONTRIBUTOR,human_account,,no,,,e5d71fd0433ec99a4de93ff02997089ddfd17937,,,2026-08-30T17:14:42.332089+00:00
3,pytorch/pytorch,pull_request,156969,pull_review_comment,review_commented,2172347813,2025-06-27T16:04:30Z,angelayi,User,CONTRIBUTOR,human_account,,no,,,e5d71fd0433ec99a4de93ff02997089ddfd17937,,,2026-08-30T17:14:42.332089+00:00
3,pytorch/pytorch,pull_request,156969,pull_review_comment,review_commented,2172348319,2025-06-27T16:04:55Z,angelayi,User,CONTRIBUTOR,human_account,,no,,,e5d71fd0433ec99a4de93ff02997089ddfd17937,,,2026-08-30T17:14:42.332089+00:00
3,pytorch/pytorch,pull_request,156969,pull_review_comment,review_commented,2172493505,2025-06-27T17:09:59Z,angelayi,User,CONTRIBUTOR,human_account,,no,,,e5d71fd0433ec99a4de93ff02997089ddfd17937,,,2026-08-30T17:14:42.332089+00:00
3,pytorch/pytorch,pull_request,156969,pull_review_comment,review_commented,2172565268,2025-06-27T17:55:28Z,svekars,User,CONTRIBUTOR,human_account,,no,,,e5d71fd0433ec99a4de93ff02997089ddfd17937,,,2026-08-30T17:14:42.332089+00:00
3,pytorch/pytorch,pull_request,156923,pull_review_comment,review_commented,2168080662,2025-06-26T04:30:00Z,Copilot,Bot,CONTRIBUTOR,automation_bot,,no,,,c2af5459ed824a29fd1b671788cc88b424589097,,,2026-08-30T17:14:43.032672+00:00
3,pytorch/pytorch,pull_request,157847,pull_review_comment,review_commented,2195197395,2025-07-09T14:34:53Z,Skylion007,User,COLLABORATOR,human_account,,no,,,8b998fd7e025f4d3c79dc6e60bf37e8d838f40da,,,2026-08-30T17:14:45.764930+00:00
3,pytorch/pytorch,pull_request,157847,pull_review_comment,review_commented,2195198157,2025-07-09T14:35:12Z,Skylion007,User,COLLABORATOR,human_account,,no,,,8b998fd7e025f4d3c79dc6e60bf37e8d838f40da,,,2026-08-30T17:14:45.764930+00:00
3,pytorch/pytorch,pull_request,157847,pull_review_comment,review_commented,2195199153,2025-07-09T14:35:40Z,Skylion007,User,COLLABORATOR,human_account,,no,,,8b998fd7e025f4d3c79dc6e60bf37e8d838f40da,,,2026-08-30T17:14:45.764930+00:00
3,pytorch/pytorch,pull_request,157847,pull_review_comment,review_commented,2195200439,2025-07-09T14:36:12Z,Skylion007,User,COLLABORATOR,human_account,,no,,,8b998fd7e025f4d3c79dc6e60bf37e8d838f40da,,,2026-08-30T17:14:45.764930+00:00
3,pytorch/pytorch,pull_request,157847,pull_review_comment,review_commented,2195202102,2025-07-09T14:36:56Z,Skylion007,User,COLLABORATOR,human_account,,no,,,8b998fd7e025f4d3c79dc6e60bf37e8d838f40da,,,2026-08-30T17:14:45.764930+00:00
3,pytorch/pytorch,pull_request,152894,pull_review_comment,review_commented,2074650944,2025-05-06T02:38:14Z,drisspg,User,CONTRIBUTOR,human_account,,no,,,8f1360c1037937f892db70b6e647e4e336f48282,,,2026-08-30T17:14:47.510856+00:00
3,pytorch/pytorch,pull_request,152894,pull_review_comment,review_commented,2075540300,2025-05-06T13:56:28Z,eellison,User,CONTRIBUTOR,human_account,,no,,,8f1360c1037937f892db70b6e647e4e336f48282,,,2026-08-30T17:14:47.510856+00:00
3,pytorch/pytorch,pull_request,152894,pull_review_comment,review_commented,2077561445,2025-05-07T12:53:27Z,Skylion007,User,COLLABORATOR,human_account,,no,,,8f1360c1037937f892db70b6e647e4e336f48282,,,2026-08-30T17:14:47.510856+00:00
3,pytorch/pytorch,pull_request,152894,pull_review_comment,review_commented,2077565300,2025-05-07T12:54:33Z,Skylion007,User,COLLABORATOR,human_account,,no,,,8f1360c1037937f892db70b6e647e4e336f48282,,,2026-08-30T17:14:47.510856+00:00
3,pytorch/pytorch,pull_request,187038,pull_review_comment,review_commented,3413734830,2026-06-15T13:15:07Z,malfet,User,COLLABORATOR,human_account,,no,,,258f54028ee9845257c81441d618ea2d86f3cbc4,,,2026-08-30T17:14:50.263331+00:00
3,pytorch/pytorch,pull_request,187038,pull_review_comment,review_commented,3413738978,2026-06-15T13:15:47Z,malfet,User,COLLABORATOR,human_account,,no,,,f469625d8f85bb51623c29ab35087063645ee614,,,2026-08-30T17:14:50.263331+00:00
3,pytorch/pytorch,pull_request,187038,pull_review_comment,review_commented,3413744173,2026-06-15T13:16:39Z,malfet,User,COLLABORATOR,human_account,,no,,,258f54028ee9845257c81441d618ea2d86f3cbc4,,,2026-08-30T17:14:50.263331+00:00
3,pytorch/pytorch,pull_request,187038,pull_review_comment,review_commented,3413765492,2026-06-15T13:20:03Z,malfet,User,COLLABORATOR,human_account,,no,,,258f54028ee9845257c81441d618ea2d86f3cbc4,,,2026-08-30T17:14:50.263331+00:00
3,pytorch/pytorch,pull_request,187038,pull_review_comment,review_commented,3413773150,2026-06-15T13:21:10Z,malfet,User,COLLABORATOR,human_account,,no,,,258f54028ee9845257c81441d618ea2d86f3cbc4,,,2026-08-30T17:14:50.263331+00:00
3,pytorch/pytorch,pull_request,187038,pull_review_comment,review_commented,3488171075,2026-06-28T16:19:03Z,Isalia20,User,COLLABORATOR,human_account,,no,,,258f54028ee9845257c81441d618ea2d86f3cbc4,,,2026-08-30T17:14:50.263331+00:00
3,pytorch/pytorch,pull_request,187038,pull_review_comment,review_commented,3488171513,2026-06-28T16:19:22Z,Isalia20,User,COLLABORATOR,human_account,,no,,,258f54028ee9845257c81441d618ea2d86f3cbc4,,,2026-08-30T17:14:50.263331+00:00
3,pytorch/pytorch,pull_request,187038,pull_review_comment,review_commented,3488171955,2026-06-28T16:19:43Z,Isalia20,User,COLLABORATOR,human_account,,no,,,258f54028ee9845257c81441d618ea2d86f3cbc4,,,2026-08-30T17:14:50.263331+00:00
3,pytorch/pytorch,pull_request,187038,pull_review_comment,review_commented,3488172068,2026-06-28T16:19:48Z,Isalia20,User,COLLABORATOR,human_account,,no,,,258f54028ee9845257c81441d618ea2d86f3cbc4,,,2026-08-30T17:14:50.263331+00:00
3,pytorch/pytorch,pull_request,187038,pull_review_comment,review_commented,3488172941,2026-06-28T16:20:30Z,Isalia20,User,COLLABORATOR,human_account,,no,,,f469625d8f85bb51623c29ab35087063645ee614,,,2026-08-30T17:14:50.263331+00:00
3,pytorch/pytorch,pull_request,187038,pull_review_comment,review_commented,3488176116,2026-06-28T16:22:58Z,Isalia20,User,COLLABORATOR,human_account,,no,,,f469625d8f85bb51623c29ab35087063645ee614,,,2026-08-30T17:14:50.263331+00:00
3,pytorch/pytorch,pull_request,187038,pull_review_comment,review_commented,3539277972,2026-07-07T19:56:23Z,jhavukainen,User,COLLABORATOR,human_account,,no,,,376697c71a5a26417f4b1dc9435419c065fe8950,,,2026-08-30T17:14:50.263331+00:00
3,pytorch/pytorch,pull_request,187038,pull_review_comment,review_commented,3539284662,2026-07-07T19:57:45Z,Isalia20,User,COLLABORATOR,human_account,,no,,,376697c71a5a26417f4b1dc9435419c065fe8950,,,2026-08-30T17:14:50.263331+00:00
3,pytorch/pytorch,pull_request,187038,pull_review_comment,review_commented,3539722354,2026-07-07T21:14:51Z,Isalia20,User,COLLABORATOR,human_account,,no,,,376697c71a5a26417f4b1dc9435419c065fe8950,,,2026-08-30T17:14:50.263331+00:00
3,pytorch/pytorch,pull_request,187038,pull_review_comment,review_commented,3540511599,2026-07-08T00:42:08Z,malfet,User,COLLABORATOR,human_account,,no,,,e017c393ba777a5234448e029c273aa154414ff3,,,2026-08-30T17:14:50.263331+00:00
3,pytorch/pytorch,pull_request,187038,pull_review_comment,review_commented,3540522926,2026-07-08T00:45:50Z,malfet,User,COLLABORATOR,human_account,,no,,,e017c393ba777a5234448e029c273aa154414ff3,,,2026-08-30T17:14:50.263331+00:00
3,pytorch/pytorch,pull_request,187038,pull_review_comment,review_commented,3540625075,2026-07-08T01:21:44Z,malfet,User,COLLABORATOR,human_account,,no,,,f469625d8f85bb51623c29ab35087063645ee614,,,2026-08-30T17:14:50.263331+00:00
3,pytorch/pytorch,pull_request,191514,pull_review_comment,review_commented,3679770106,2026-07-30T03:38:46Z,drisspg,User,CONTRIBUTOR,human_account,,no,,,005037546d7c97ef09ab0274d1cd109828447e49,,,2026-08-30T17:14:51.216081+00:00
3,pytorch/pytorch,pull_request,191514,pull_review_comment,review_commented,3679771246,2026-07-30T03:39:08Z,drisspg,User,CONTRIBUTOR,human_account,,no,,,0b2f8a409f9f386b5f82a5e501a61112fc5796d4,,,2026-08-30T17:14:51.216081+00:00
3,pytorch/pytorch,pull_request,191514,pull_review_comment,review_commented,3679773909,2026-07-30T03:39:57Z,drisspg,User,CONTRIBUTOR,human_account,,no,,,222874a032572ac7e66690e3faca6ae7671187ab,,,2026-08-30T17:14:51.216081+00:00
3,pytorch/pytorch,pull_request,192824,pull_review_comment,review_commented,3778344796,2026-08-13T19:09:56Z,jithunnair-amd,User,COLLABORATOR,human_account,,no,,,b28317c1979e1450e6a59543763e53ffad5fe446,,,2026-08-30T17:14:51.726837+00:00
3,pytorch/pytorch,pull_request,193391,pull_review_comment,review_commented,3781087224,2026-08-14T04:21:47Z,eqy,User,COLLABORATOR,human_account,,no,,,e75a304dbf5a7cdb4deac933cd65ea02224dc834,,,2026-08-30T17:14:52.645544+00:00
3,pytorch/pytorch,pull_request,193391,pull_review_comment,review_commented,3789245255,2026-08-15T11:11:59Z,kodlan,User,CONTRIBUTOR,human_account,,no,,,e75a304dbf5a7cdb4deac933cd65ea02224dc834,,,2026-08-30T17:14:52.645544+00:00
3,pytorch/pytorch,pull_request,192097,pull_review_comment,review_commented,3724570574,2026-08-05T22:40:22Z,janeyx99,User,CONTRIBUTOR,human_account,,no,,,cb760bb831420502c80f49fa7881c6050a029807,,,2026-08-30T17:14:54.959077+00:00
3,pytorch/pytorch,pull_request,192097,pull_review_comment,review_commented,3724617178,2026-08-05T22:50:34Z,janeyx99,User,CONTRIBUTOR,human_account,,no,,,6cfc10aa06c1c0538d9f056da0d44ce02277284e,,,2026-08-30T17:14:54.959077+00:00
