deep_rank,repo_name,study_stage,panel_year,stage_start,stage_end,population_items,target_items,selected_items,frame_min_number,frame_max_number,attempted_numbers,sample_source,scan_status,error
1,openai/codex,year_2024_m5_m8,2024,2024-05-01,2024-08-28,0,0,0,0,0,0,github_probability_sample,no_items,
1,openai/codex,year_2025_m5_m8,2025,2025-05-01,2025-08-28,1985,30,30,767,2859,30,github_probability_sample,ok,
1,openai/codex,year_2026_m5_m8,2026,2026-05-01,2026-08-28,14774,30,30,20536,41437,,validated_deep_sample_2026,reused,
2,anthropics/claude-code,year_2024_m5_m8,2024,2024-05-01,2024-08-28,0,0,0,0,0,0,github_probability_sample,no_items,
2,anthropics/claude-code,year_2025_m5_m8,2025,2025-05-01,2025-08-28,5744,30,30,917,6781,33,github_probability_sample,ok,
2,anthropics/claude-code,year_2026_m5_m8,2026,2026-05-01,2026-08-28,35170,30,30,55155,90481,,validated_deep_sample_2026,reused,
3,langchain-ai/langchain,year_2024_m5_m8,2024,2024-05-01,2024-08-28,3415,30,30,21133,25831,44,github_probability_sample,ok,
3,langchain-ai/langchain,year_2025_m5_m8,2025,2025-05-01,2025-08-28,1425,30,30,31085,32741,32,github_probability_sample,ok,
3,langchain-ai/langchain,year_2026_m5_m8,2026,2026-05-01,2026-08-28,2639,30,30,37114,39999,,validated_deep_sample_2026,reused,
4,langgenius/dify,year_2024_m5_m8,2024,2024-05-01,2024-08-28,3127,30,30,4035,7773,39,github_probability_sample,ok,
4,langgenius/dify,year_2025_m5_m8,2025,2025-05-01,2025-08-28,4609,30,30,19189,24734,41,github_probability_sample,ok,
4,langgenius/dify,year_2026_m5_m8,2026,2026-05-01,2026-08-28,5383,30,30,35757,41458,,validated_deep_sample_2026,reused,
5,n8n-io/n8n,year_2024_m5_m8,2024,2024-05-01,2024-08-28,1323,30,30,9270,10596,30,github_probability_sample,ok,
5,n8n-io/n8n,year_2025_m5_m8,2025,2025-05-01,2025-08-28,3897,30,30,15030,18938,30,github_probability_sample,ok,
5,n8n-io/n8n,year_2026_m5_m8,2026,2026-05-01,2026-08-28,7658,30,30,29609,37346,,validated_deep_sample_2026,reused,
6,langfuse/langfuse,year_2024_m5_m8,2024,2024-05-01,2024-08-28,925,30,30,1933,3123,42,github_probability_sample,ok,
6,langfuse/langfuse,year_2025_m5_m8,2025,2025-05-01,2025-08-28,1420,30,30,6658,8804,43,github_probability_sample,ok,
6,langfuse/langfuse,year_2026_m5_m8,2026,2026-05-01,2026-08-28,3131,30,30,13427,16801,,validated_deep_sample_2026,reused,
7,coder/coder,year_2024_m5_m8,2024,2024-05-01,2024-08-28,1315,30,30,13116,14474,32,github_probability_sample,ok,
7,coder/coder,year_2025_m5_m8,2025,2025-05-01,2025-08-28,1932,30,30,17628,19629,32,github_probability_sample,ok,
7,coder/coder,year_2026_m5_m8,2026,2026-05-01,2026-08-28,3807,30,30,24857,28750,,validated_deep_sample_2026,reused,
8,milvus-io/milvus,year_2024_m5_m8,2024,2024-05-01,2024-08-28,2710,30,30,32753,35789,35,github_probability_sample,ok,
8,milvus-io/milvus,year_2025_m5_m8,2025,2025-05-01,2025-08-28,1951,30,30,41650,44122,36,github_probability_sample,ok,
8,milvus-io/milvus,year_2026_m5_m8,2026,2026-05-01,2026-08-28,3461,30,30,49487,53007,,validated_deep_sample_2026,reused,
9,vllm-project/vllm,year_2024_m5_m8,2024,2024-05-01,2024-08-28,3331,30,30,4508,7975,31,github_probability_sample,ok,
9,vllm-project/vllm,year_2025_m5_m8,2025,2025-05-01,2025-08-28,6343,30,30,17507,23871,30,github_probability_sample,ok,
9,vllm-project/vllm,year_2026_m5_m8,2026,2026-05-01,2026-08-28,12778,30,30,41429,54292,,validated_deep_sample_2026,reused,
10,pytorch/pytorch,year_2024_m5_m8,2024,2024-05-01,2024-08-28,9415,30,30,125281,134735,30,github_probability_sample,ok,
10,pytorch/pytorch,year_2025_m5_m8,2025,2025-05-01,2025-08-28,9123,30,30,152572,161750,30,github_probability_sample,ok,
10,pytorch/pytorch,year_2026_m5_m8,2026,2026-05-01,2026-08-28,13052,30,30,182083,195231,,validated_deep_sample_2026,reused,
