study_stage,panel_year,stage_start,stage_end,sample_rank,repo_name,llm_native_manual,collaboration_niche,agent_proximity,item_type,number,node_id,html_url,state,outcome,created_at,updated_at,closed_at,merged_at,author_login,author_github_type,author_association,author_initial_class,performed_via_github_app,ai_disclosure_candidate,ai_disclosure_evidence,comments_count,labels,population_items,selected_items,inclusion_probability,sampling_weight,frame_min_number,frame_max_number,sampling_seed,sampling_method,collected_at
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,pull_request,2663,PR_kwDOOYsS4c6lJFgN,https://github.com/openai/codex/pull/2663,closed,merged,2025-08-25T05:34:48Z,2025-08-25T05:43:52Z,2025-08-25T05:43:42Z,2025-08-25T05:43:42Z,bolinfest,User,COLLABORATOR,human_account,,no,,0,,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,2766,I_kwDOOYsS4c7IN0Qm,https://github.com/openai/codex/issues/2766,closed,closed,2025-08-27T11:50:35Z,2026-01-10T03:31:24Z,2026-01-10T03:31:24Z,,vinaybantupalli,User,CONTRIBUTOR,human_account,,no,,2,enhancement,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,pull_request,1830,PR_kwDOOYsS4c6iFhLK,https://github.com/openai/codex/pull/1830,closed,merged,2025-08-04T22:39:02Z,2025-08-07T04:23:19Z,2025-08-07T04:23:09Z,2025-08-07T04:23:09Z,easong-openai,User,CONTRIBUTOR,human_account,,no,,0,,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,1198,I_kwDOOYsS4c65eMDA,https://github.com/openai/codex/issues/1198,closed,closed,2025-06-02T21:32:21Z,2025-06-02T21:33:50Z,2025-06-02T21:33:50Z,,user080975,User,NONE,human_account,,no,,0,,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,1563,I_kwDOOYsS4c7AXyLD,https://github.com/openai/codex/issues/1563,closed,closed,2025-07-14T05:57:07Z,2025-07-14T17:48:06Z,2025-07-14T17:48:06Z,,otrub,User,NONE,human_account,,no,,4,bug,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,2814,I_kwDOOYsS4c7IZuAg,https://github.com/openai/codex/issues/2814,closed,closed,2025-08-28T07:34:18Z,2025-10-18T07:35:53Z,2025-10-18T07:35:53Z,,mattsu2020,User,CONTRIBUTOR,human_account,,no,,1,bug,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,pull_request,1808,PR_kwDOOYsS4c6h3csJ,https://github.com/openai/codex/pull/1808,closed,merged,2025-08-03T06:02:41Z,2025-08-03T23:53:23Z,2025-08-03T13:59:26Z,2025-08-03T13:59:26Z,davidhao3300,User,CONTRIBUTOR,human_account,,no,,3,,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,pull_request,2046,PR_kwDOOYsS4c6i1WRJ,https://github.com/openai/codex/pull/2046,closed,merged,2025-08-08T22:32:23Z,2025-09-09T14:31:57Z,2025-09-08T21:48:48Z,2025-09-08T21:48:48Z,jlebar,User,CONTRIBUTOR,human_account,,no,,6,,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,pull_request,787,PR_kwDOOYsS4c6UyfiV,https://github.com/openai/codex/pull/787,closed,merged,2025-05-02T19:25:38Z,2025-05-02T20:33:24Z,2025-05-02T20:33:14Z,2025-05-02T20:33:14Z,bolinfest,User,COLLABORATOR,human_account,,no,,1,,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
year_2025_m5_m8,2025,2025-05-01,2025-08-28,10,openai/codex,llm_native,agent_application,efficiency_panel_case,issue,1501,I_kwDOOYsS4c6_1_um,https://github.com/openai/codex/issues/1501,closed,closed,2025-07-10T09:36:11Z,2025-07-11T11:44:13Z,2025-07-11T11:44:13Z,,MauScheff,User,NONE,human_account,,no,,2,bug,1985,30,0.01511335,66.166667,767,2859,260829,uniform_issue_number_rejection_sample,2026-08-30T16:57:42.485662+00:00
