panel,scope_type,scope_value,year,repositories,issues_opened_median_repo,prs_opened_median_repo,issue_unresolved_share_median_repo,issue_unresolved_share_event_weighted,pr_unresolved_share_median_repo,pr_unresolved_share_event_weighted,github_merge_flag_share_resolved_median_repo,github_merge_flag_share_resolved_event_weighted,pr_to_issue_ratio_median_repo,pr_to_issue_ratio_event_weighted
agentic_top100,overall,all,2026,100,673.5,1780.0,0.3105,0.1693,0.0907,0.0974,0.7419,0.5402,2.63,1.51
agentic_top100,project_identity,llm_native,2026,68,981.5,1764.0,0.2357,0.1542,0.095,0.1019,0.7246,0.5095,2.26,1.26
agentic_top100,project_identity,mixed,2026,14,515.0,1780.5,0.3542,0.2955,0.0523,0.0694,0.7689,0.7597,2.81,3.11
agentic_top100,project_identity,traditional,2026,18,353.5,1670.5,0.4207,0.3244,0.0997,0.092,0.7731,0.5542,5.47,4.46
agentic_top100,technical_niche,agent_application,2026,28,1826.5,1764.0,0.1535,0.1238,0.0696,0.0762,0.6167,0.3663,1.39,0.88
agentic_top100,technical_niche,agent_framework,2026,21,598.0,1919.0,0.2851,0.2857,0.0869,0.1094,0.7657,0.7061,2.8,2.79
agentic_top100,technical_niche,agent_runtime_infra,2026,15,525.0,1616.0,0.3298,0.2444,0.0693,0.0551,0.7746,0.7706,2.34,2.84
agentic_top100,technical_niche,model_infra,2026,36,436.5,1810.0,0.398,0.3264,0.1138,0.1301,0.7576,0.6372,3.92,3.8
agentic_top100,agent_proximity,agent_building,2026,21,598.0,1919.0,0.2851,0.2857,0.0869,0.1094,0.7657,0.7061,2.8,2.79
agentic_top100,agent_proximity,direct_agent_experience,2026,28,1826.5,1764.0,0.1535,0.1238,0.0696,0.0762,0.6167,0.3663,1.39,0.88
agentic_top100,agent_proximity,supporting_infrastructure,2026,51,458.0,1734.0,0.3731,0.3056,0.095,0.1149,0.7654,0.6661,3.54,3.56
agentic_top100,strict_instruction,no,2026,14,583.0,1611.0,0.3107,0.0684,0.115,0.1388,0.7627,0.7025,2.23,0.5
agentic_top100,strict_instruction,yes,2026,86,703.5,1793.5,0.3065,0.2088,0.0867,0.0932,0.7419,0.5245,2.73,1.9
long_lived_benchmark,overall,all,2022,12,753.0,1201.0,0.3147,0.2841,0.0635,0.0706,0.8066,0.775,1.65,0.93
long_lived_benchmark,overall,all,2023,12,915.5,1507.5,0.3896,0.2805,0.0834,0.0662,0.8439,0.8505,2.03,1.18
long_lived_benchmark,overall,all,2024,12,751.5,1283.5,0.3604,0.3273,0.0962,0.058,0.8185,0.8501,2.21,1.34
long_lived_benchmark,overall,all,2025,12,468.5,980.0,0.466,0.3463,0.084,0.0594,0.7942,0.8411,2.09,1.53
long_lived_benchmark,overall,all,2026,12,381.5,1550.0,0.3271,0.2861,0.0824,0.0857,0.7555,0.7636,4.37,1.22
