repo_name,llm_native_manual,collaboration_niche,strict_2025,strict_2026,strict_transition,any_active_2025,any_active_2026,any_active_transition
Arize-ai/phoenix,mixed,agent_runtime_infra,true,true,retained,true,true,retained
AstrBotDevs/AstrBot,llm_native,agent_application,true,true,retained,true,true,retained
BerriAI/litellm,llm_native,model_infra,true,true,retained,true,true,retained
CherryHQ/cherry-studio,llm_native,agent_application,true,true,retained,true,true,retained
Comfy-Org/ComfyUI,traditional,agent_framework,false,true,added,false,true,added
CopilotKit/CopilotKit,llm_native,agent_framework,true,true,retained,true,true,retained
IBM/mcp-context-forge,llm_native,agent_runtime_infra,true,true,retained,true,true,retained
Kilo-Org/kilocode,llm_native,agent_application,true,true,retained,true,true,retained
NVIDIA-NeMo/RL,llm_native,model_infra,false,true,added,false,true,added
NVIDIA/Megatron-LM,llm_native,model_infra,false,true,added,false,true,added
NVIDIA/Model-Optimizer,mixed,model_infra,false,true,added,false,true,added
NVIDIA/TensorRT-LLM,llm_native,model_infra,false,true,added,false,true,added
NVIDIA/cudf,traditional,model_infra,false,false,none,false,true,added
NousResearch/hermes-agent,llm_native,agent_application,true,true,retained,true,true,retained
OpenHands/software-agent-sdk,llm_native,agent_framework,false,true,added,false,true,added
PaddlePaddle/Paddle,traditional,model_infra,false,false,none,false,true,added
QwenLM/qwen-code,llm_native,agent_application,false,true,added,false,true,added
Significant-Gravitas/AutoGPT,llm_native,agent_application,true,true,retained,true,true,retained
a2ui-project/a2ui,llm_native,agent_runtime_infra,false,true,added,true,true,retained
aaif-goose/goose,llm_native,agent_application,true,true,retained,true,true,retained
activepieces/activepieces,mixed,agent_framework,true,true,retained,true,true,retained
agno-agi/agno,mixed,agent_framework,true,true,retained,true,true,retained
ai-dynamo/dynamo,llm_native,model_infra,false,true,added,false,true,added
anomalyco/opencode,llm_native,agent_application,true,true,retained,true,true,retained
anthropics/claude-code,llm_native,agent_application,false,false,none,true,true,retained
apache/airflow,traditional,model_infra,true,true,retained,true,true,retained
apache/gravitino,traditional,model_infra,true,true,retained,true,true,retained
apache/hudi,traditional,model_infra,false,false,none,false,false,none
apache/iceberg,traditional,model_infra,false,true,added,false,true,added
apache/spark,traditional,model_infra,false,true,added,false,true,added
bytedance/deer-flow,llm_native,agent_framework,true,true,retained,true,true,retained
charmbracelet/crush,llm_native,agent_application,false,true,added,false,true,added
cline/cline,llm_native,agent_application,true,true,retained,true,true,retained
code-yeongyu/oh-my-openagent,llm_native,agent_application,true,true,retained,true,true,retained
coder/coder,mixed,agent_runtime_infra,true,true,retained,true,true,retained
comet-ml/opik,llm_native,agent_runtime_infra,true,true,retained,true,true,retained
coze-dev/coze-loop,llm_native,agent_runtime_infra,false,true,added,false,true,added
danny-avila/LibreChat,llm_native,agent_application,false,true,added,false,true,added
datahub-project/datahub,mixed,model_infra,true,true,retained,true,true,retained
docling-project/docling,mixed,model_infra,false,true,added,false,true,added
earendil-works/pi,llm_native,agent_application,true,true,retained,true,true,retained
eosphoros-ai/DB-GPT,llm_native,agent_framework,false,false,none,false,false,none
farion1231/cc-switch,llm_native,agent_application,false,false,none,false,false,none
flashinfer-ai/flashinfer,llm_native,model_infra,true,true,retained,true,true,retained
ggml-org/llama.cpp,llm_native,model_infra,true,true,retained,true,true,retained
google-gemini/gemini-cli,llm_native,agent_application,true,true,retained,true,true,retained
huggingface/trl,llm_native,model_infra,false,true,added,false,true,added
infiniflow/ragflow,llm_native,agent_runtime_infra,true,true,retained,true,true,retained
jax-ml/jax,traditional,model_infra,false,false,none,false,false,none
kvcache-ai/Mooncake,llm_native,model_infra,false,true,added,false,true,added
langchain-ai/deepagents,llm_native,agent_framework,false,true,added,false,true,added
langchain-ai/langchain,llm_native,agent_framework,true,true,retained,true,true,retained
langflow-ai/langflow,llm_native,agent_framework,true,true,retained,true,true,retained
langfuse/langfuse,llm_native,agent_runtime_infra,true,true,retained,true,true,retained
langgenius/dify,llm_native,agent_framework,true,true,retained,true,true,retained
livekit/agents,llm_native,agent_framework,false,true,added,false,true,added
lobehub/lobehub,llm_native,agent_application,true,true,retained,true,true,retained
marimo-team/marimo,mixed,agent_application,true,true,retained,true,true,retained
mastra-ai/mastra,llm_native,agent_framework,true,true,retained,true,true,retained
microsoft/agent-framework,llm_native,agent_framework,true,true,retained,true,true,retained
microsoft/onnxruntime,traditional,model_infra,false,true,added,false,true,added
milvus-io/milvus,traditional,agent_runtime_infra,false,true,added,false,true,added
mlflow/mlflow,mixed,model_infra,true,true,retained,true,true,retained
n8n-io/n8n,mixed,agent_framework,true,true,retained,true,true,retained
ollama/ollama,llm_native,model_infra,false,true,added,false,true,added
open-metadata/OpenMetadata,mixed,model_infra,true,true,retained,true,true,retained
open-webui/open-webui,llm_native,agent_application,false,false,none,false,false,none
openai/codex,llm_native,agent_application,true,true,retained,true,true,retained
openclaw/openclaw,llm_native,agent_application,true,true,retained,true,true,retained
openvinotoolkit/openvino,traditional,model_infra,false,true,added,false,true,added
pydantic/pydantic-ai,llm_native,agent_framework,true,true,retained,true,true,retained
pytorch/pytorch,traditional,model_infra,true,true,retained,true,true,retained
ray-project/ray,traditional,model_infra,false,true,added,true,true,retained
router-for-me/CLIProxyAPI,llm_native,agent_runtime_infra,false,true,added,false,true,added
sgl-project/sglang,llm_native,model_infra,false,false,none,false,true,added
siyuan-note/siyuan,mixed,agent_application,false,true,added,false,true,added
