repo_name,number,html_url,first_agent_commit_sha,file_path_at_agent_commit,final_file_path,file_type,text_lines_in_first_agent_patch,retained_exact_lines,human_rewritten_or_removed_lines,agent_revised_or_removed_lines,automation_rewritten_or_removed_lines,unknown_rewritten_or_removed_lines
vercel/ai,18818,https://github.com/vercel/ai/pull/18818,564b0ffe8b41c20735d90f2185be969a07fff262,.ai-sdk-factory/reproduction-replay.json,.ai-sdk-factory/reproduction-replay.json,configuration,12,0,0,12,0,0
vercel/ai,18818,https://github.com/vercel/ai/pull/18818,564b0ffe8b41c20735d90f2185be969a07fff262,examples/ai-functions/src/reproduction/issue-18813-mcp-oauth-scope-selection.ts,examples/ai-functions/src/reproduction/issue-18813-mcp-oauth-scope-selection.ts,source,160,0,0,160,0,0
warpdotdev/warp,13382,https://github.com/warpdotdev/warp/pull/13382,22fe39dcf2d6f613253aeb1290a8801b0b9e4fde,app/src/terminal/local_tty/unix.rs,app/src/terminal/local_tty/unix.rs,source,44,31,12,1,0,0
open-metadata/OpenMetadata,25243,https://github.com/open-metadata/OpenMetadata/pull/25243,c602f9c8f73dcc7db05eeae2fc3e6d86c0c04174,openmetadata-ui/src/main/resources/ui/src/components/Settings/Users/CreateUser/CreateUser.component.tsx,openmetadata-ui/src/main/resources/ui/src/components/Settings/Users/CreateUser/CreateUser.component.tsx,source,51,10,29,12,0,0
open-metadata/OpenMetadata,25243,https://github.com/open-metadata/OpenMetadata/pull/25243,c602f9c8f73dcc7db05eeae2fc3e6d86c0c04174,openmetadata-ui/src/main/resources/ui/src/components/Settings/Users/CreateUser/CreateUser.test.tsx,openmetadata-ui/src/main/resources/ui/src/components/Settings/Users/CreateUser/CreateUser.test.tsx,test,11,11,0,0,0,0
microsoft/onnxruntime,28045,https://github.com/microsoft/onnxruntime/pull/28045,7686a239d520374fbe394f400e6fc1ef4e942994,docs/OperatorKernels.md,docs/OperatorKernels.md,documentation,5,5,0,0,0,0
microsoft/onnxruntime,28045,https://github.com/microsoft/onnxruntime/pull/28045,7686a239d520374fbe394f400e6fc1ef4e942994,onnxruntime/core/providers/cuda/cuda_execution_provider.cc,onnxruntime/core/providers/cuda/cuda_execution_provider.cc,source,26,0,26,0,0,0
microsoft/onnxruntime,28045,https://github.com/microsoft/onnxruntime/pull/28045,7686a239d520374fbe394f400e6fc1ef4e942994,onnxruntime/core/providers/cuda/ml/label_encoder.cc,onnxruntime/core/providers/cuda/ml/label_encoder.cc,source,389,349,40,0,0,0
microsoft/onnxruntime,28045,https://github.com/microsoft/onnxruntime/pull/28045,7686a239d520374fbe394f400e6fc1ef4e942994,onnxruntime/core/providers/cuda/ml/label_encoder.h,onnxruntime/core/providers/cuda/ml/label_encoder.h,source,57,57,0,0,0,0
microsoft/onnxruntime,28045,https://github.com/microsoft/onnxruntime/pull/28045,7686a239d520374fbe394f400e6fc1ef4e942994,onnxruntime/core/providers/cuda/ml/label_encoder_impl.cu,onnxruntime/core/providers/cuda/ml/label_encoder_impl.cu,other,101,89,12,0,0,0
