cohort,rank,repo_id,repo_name,openrank_2607,selection
Agentic AI Top 100,1,1103012935,openclaw/openclaw,462.71,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,2,1024554267,NousResearch/hermes-agent,350.21,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,3,65600975,pytorch/pytorch,333.26,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,4,214587193,supabase/supabase,296.4,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,5,979115477,bytedance/deer-flow,218.2,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,6,740303686,sgl-project/sglang,215.0,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,7,599547518,vllm-project/vllm,189.08,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,8,1191372811,larksuite/cli,179.37,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,9,1128123594,volcengine/OpenViking,177.61,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,10,965415649,openai/codex,175.4,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,11,658928958,ollama/ollama,167.01,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,12,1027384981,langchain-ai/deepagents,159.3,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,13,975734319,anomalyco/opencode,157.72,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,14,669331976,flashinfer-ai/flashinfer,147.83,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,15,679366051,NVIDIA/TensorRT-LLM,145.76,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,16,937253475,anthropics/claude-code,143.36,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,17,154739597,jax-ml/jax,121.48,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,18,942206898,ai-dynamo/dynamo,115.92,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,19,33884891,apache/airflow,98.32,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,20,671269505,BerriAI/litellm,92.22,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,21,612354784,ggml-org/llama.cpp,90.46,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,22,193215554,n8n-io/n8n,82.05,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,23,71932349,ray-project/ray,71.45,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,24,17165658,apache/spark,68.18,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,25,440752086,coder/coder,62.06,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,26,644461337,vercel/ai,56.02,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,27,839037098,mastra-ai/mastra,54.41,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,28,1054512829,vllm-project/vllm-omni,54.29,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,29,1008713177,QwenLM/qwen-code,53.69,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,30,626805178,langgenius/dify,53.65,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,31,384219990,warpdotdev/warp,53.23,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,32,1170821064,paperclipai/paperclip,49.68,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,33,924058625,vllm-project/vllm-ascend,48.15,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,34,391740664,open-metadata/OpenMetadata,47.49,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,35,156939672,microsoft/onnxruntime,46.91,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,36,805155266,CherryHQ/cherry-studio,45.74,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,37,1153130349,pingdotgg/t3code,44.99,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,38,208728772,milvus-io/milvus,44.93,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,39,1035029907,earendil-works/pi,43.89,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,40,90506918,NVIDIA/cudf,42.42,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,41,23496542,triton-lang/triton,41.95,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,42,1156956890,zeroclaw-labs/zeroclaw,41.22,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,43,826168160,docling-project/docling,40.22,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,44,46398090,datahub-project/datahub,38.95,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,45,643445235,lobehub/lobehub,38.07,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,46,575865240,AstrBotDevs/AstrBot,36.97,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,47,1147094660,HKUDS/nanobot,36.96,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,48,790916393,NVIDIA/Model-Optimizer,36.92,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,49,824874689,cline/cline,36.82,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,50,1043426082,OpenHands/software-agent-sdk,36.33,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,51,1165324947,agentscope-ai/QwenPaw,35.86,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,52,949546994,NVIDIA-NeMo/RL,35.74,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,53,818331198,pydantic/pydantic-ai,35.72,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,54,968197216,google-gemini/gemini-cli,35.41,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,55,158256479,apache/iceberg,34.89,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,56,730534580,infiniflow/ragflow,33.94,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,57,86031674,wandb/wandb,33.87,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,58,488641606,agno-agi/agno,33.49,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,59,946087422,Kilo-Org/kilocode,33.37,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,60,1063641074,a2ui-project/a2ui,33.04,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,61,1266212515,omnigent-ai/omnigent,32.65,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,62,573661753,activepieces/activepieces,32.54,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,63,176982014,NVIDIA/Megatron-LM,32.39,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,64,1157102282,diegosouzapw/OmniRoute,31.92,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,65,136202695,mlflow/mlflow,31.5,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,66,655515393,CopilotKit/CopilotKit,31.48,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,67,642497346,langfuse/langfuse,31.4,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,68,1133707766,multica-ai/multica,30.63,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,69,1007406267,coze-dev/coze-loop,30.54,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,70,979886407,IBM/mcp-context-forge,30.35,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,71,1166129534,NVIDIA/OpenShell,30.27,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,72,1031912724,farion1231/cc-switch,29.32,Frozen July 2026 Agentic AI tracking Top 100
Agentic AI Top 100,73,589831718,Comfy-Org/ComfyUI,29.18,Frozen July 2026 Agentic AI tracking Top 100
