cohort,rank,repo_id,repo_name,year,push_events,push_actors,actors_for_50pct_pushes,top_actor_share,top_5_actor_share,quality_flag
Agentic AI Top 100,1,1103012935,openclaw/openclaw,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,1,1103012935,openclaw/openclaw,2025,0,0,0,,,no_push_events_observed
Agentic AI Top 100,1,1103012935,openclaw/openclaw,2026,35826,85,1,0.527299,0.782756,observed
Agentic AI Top 100,2,1024554267,NousResearch/hermes-agent,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,2,1024554267,NousResearch/hermes-agent,2025,0,0,0,,,no_push_events_observed
Agentic AI Top 100,2,1024554267,NousResearch/hermes-agent,2026,6758,21,1,0.64161,0.93652,observed
Agentic AI Top 100,3,65600975,pytorch/pytorch,2024,90854,216,19,0.074471,0.228278,observed
Agentic AI Top 100,3,65600975,pytorch/pytorch,2025,60185,211,13,0.108931,0.32008,observed
Agentic AI Top 100,3,65600975,pytorch/pytorch,2026,36609,163,15,0.068317,0.274413,observed
Agentic AI Top 100,4,214587193,supabase/supabase,2024,8237,67,5,0.14532,0.519121,observed
Agentic AI Top 100,4,214587193,supabase/supabase,2025,7207,91,6,0.158041,0.477314,observed
Agentic AI Top 100,4,214587193,supabase/supabase,2026,5674,149,8,0.090412,0.374868,observed
Agentic AI Top 100,5,979115477,bytedance/deer-flow,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,5,979115477,bytedance/deer-flow,2025,174,10,3,0.241379,0.816092,observed
Agentic AI Top 100,5,979115477,bytedance/deer-flow,2026,692,10,1,0.729769,0.953757,observed
Agentic AI Top 100,6,740303686,sgl-project/sglang,2024,2103,13,2,0.374227,0.983833,observed
Agentic AI Top 100,6,740303686,sgl-project/sglang,2025,6560,43,2,0.350762,0.697104,observed
Agentic AI Top 100,6,740303686,sgl-project/sglang,2026,9562,78,6,0.158021,0.491424,observed
Agentic AI Top 100,7,599547518,vllm-project/vllm,2024,2510,19,3,0.257371,0.721116,observed
Agentic AI Top 100,7,599547518,vllm-project/vllm,2025,3795,34,4,0.187352,0.655863,observed
Agentic AI Top 100,7,599547518,vllm-project/vllm,2026,3340,59,8,0.102695,0.411078,observed
Agentic AI Top 100,8,1191372811,larksuite/cli,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,8,1191372811,larksuite/cli,2025,0,0,0,,,no_push_events_observed
Agentic AI Top 100,8,1191372811,larksuite/cli,2026,1880,96,11,0.095213,0.323404,observed
Agentic AI Top 100,9,1128123594,volcengine/OpenViking,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,9,1128123594,volcengine/OpenViking,2025,0,0,0,,,no_push_events_observed
Agentic AI Top 100,9,1128123594,volcengine/OpenViking,2026,1490,24,3,0.312081,0.769128,observed
Agentic AI Top 100,10,965415649,openai/codex,2024,0,0,0,,,no_push_events_observed
Agentic AI Top 100,10,965415649,openai/codex,2025,3753,37,2,0.486544,0.776712,observed
Agentic AI Top 100,10,965415649,openai/codex,2026,21028,261,8,0.13639,0.400704,observed
Agentic AI Top 100,11,658928958,ollama/ollama,2024,3499,12,2,0.269506,0.842812,observed
Agentic AI Top 100,11,658928958,ollama/ollama,2025,2032,10,3,0.25935,0.813976,observed
Agentic AI Top 100,11,658928958,ollama/ollama,2026,775,10,2,0.292903,0.807742,observed
Agentic AI Top 100,12,1027384981,langchain-ai/deepagents,2024,0,0,0,,,no_push_events_observed
