sample_rank,repo_name,created_at,llm_native_manual,collaboration_niche,year,window_start,window_end,observable_in_window,issues_opened,issues_closed_from_cohort,issues_unresolved_from_cohort,prs_opened,prs_closed_from_cohort,prs_merged_from_cohort,prs_closed_unmerged_from_cohort,prs_unresolved_from_cohort,graphql_cost,graphql_remaining,collected_at,quality_flag
1,openclaw/openclaw,2025-11-24,llm_native,agent_application,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4930,2026-08-30T13:50:53.813635+00:00,search_count_invariants_ok
1,openclaw/openclaw,2025-11-24,llm_native,agent_application,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4930,2026-08-30T13:50:53.813635+00:00,search_count_invariants_ok
1,openclaw/openclaw,2025-11-24,llm_native,agent_application,2024,2024-01-01,2024-08-29,no,0,0,0,0,0,0,0,0,1,4930,2026-08-30T13:50:53.813635+00:00,search_count_invariants_ok
1,openclaw/openclaw,2025-11-24,llm_native,agent_application,2025,2025-01-01,2025-08-29,no,0,0,0,0,0,0,0,0,1,4930,2026-08-30T13:50:53.813635+00:00,search_count_invariants_ok
1,openclaw/openclaw,2025-11-24,llm_native,agent_application,2026,2026-01-01,2026-08-29,yes,49495,45955,3540,80816,75139,30222,44917,5677,1,4930,2026-08-30T13:50:53.813635+00:00,search_count_invariants_ok
2,NousResearch/hermes-agent,2025-07-22,llm_native,agent_application,2022,2022-01-01,2022-08-29,no,0,0,0,0,0,0,0,0,1,4929,2026-08-30T13:50:56.152564+00:00,search_count_invariants_ok
2,NousResearch/hermes-agent,2025-07-22,llm_native,agent_application,2023,2023-01-01,2023-08-29,no,0,0,0,0,0,0,0,0,1,4929,2026-08-30T13:50:56.152564+00:00,search_count_invariants_ok
2,NousResearch/hermes-agent,2025-07-22,llm_native,agent_application,2024,2024-01-01,2024-08-29,no,0,0,0,0,0,0,0,0,1,4929,2026-08-30T13:50:56.152564+00:00,search_count_invariants_ok
2,NousResearch/hermes-agent,2025-07-22,llm_native,agent_application,2025,2025-01-01,2025-08-29,yes,0,0,0,1,1,1,0,0,1,4929,2026-08-30T13:50:56.152564+00:00,search_count_invariants_ok
2,NousResearch/hermes-agent,2025-07-22,llm_native,agent_application,2026,2026-01-01,2026-08-29,yes,24788,12087,12701,72856,40692,12138,28554,32164,1,4929,2026-08-30T13:50:56.152564+00:00,search_count_invariants_ok
