section,segment,period,repositories,issues_opened,issues_closed,issues_window_cohort_backlog,prs_opened,prs_closed,prs_merged,prs_window_cohort_backlog,issue_unresolved_share_event_weighted,issue_unresolved_share_repo_median,pr_unresolved_share_event_weighted,pr_unresolved_share_repo_median,pr_merge_share_resolved_event_weighted,pr_merge_share_resolved_repo_median
monthly_flow,all_repositories,2026-01,100,26320,11833,14487,35540,26233,19127,9307,,,,,,
monthly_flow,all_repositories,2026-02,100,35543,23436,26594,50332,39604,23262,20035,,,,,,
monthly_flow,all_repositories,2026-03,100,49894,31262,45226,74832,64363,32608,30504,,,,,,
monthly_flow,all_repositories,2026-04,100,50146,44707,50665,71176,64004,34176,37676,,,,,,
monthly_flow,all_repositories,2026-05,100,44040,36310,58395,78775,66778,37834,49673,,,,,,
monthly_flow,all_repositories,2026-06,100,41609,32414,67590,83092,72208,40771,60557,,,,,,
monthly_flow,all_repositories,2026-07,100,49267,37496,79361,101486,78506,52487,83537,,,,,,
monthly_flow,all_repositories,2026-08,100,49766,35248,93879,104637,63948,54102,124226,,,,,,
window_outcome,all_repositories,2026-01-01..2026-08-29,100,346585,252706,93879,599870,475644,294367,124226,0.270869,0.342552,0.207088,0.164653,0.618881,0.783914
window_outcome,agent_application,2026-01-01..2026-08-29,28,249400,187991,61409,261105,205723,98851,55382,0.246227,0.218304,0.212106,0.144602,0.480505,0.709664
window_outcome,agent_framework,2026-01-01..2026-08-29,21,33826,22606,11220,100424,81584,61727,18840,0.331698,0.284763,0.187605,0.164669,0.756607,0.795194
window_outcome,agent_runtime_infra,2026-01-01..2026-08-29,15,15365,10889,4476,47494,41021,33166,6473,0.291311,0.375671,0.136291,0.131678,0.808513,0.801615
window_outcome,model_infra,2026-01-01..2026-08-29,36,47994,31220,16774,190847,147316,100623,43531,0.349502,0.399016,0.228094,0.191839,0.683042,0.790295
