sample_rank,repo_id,repo_name,observation_start,observation_end_exclusive,push_actors,collaboration_actors,github_releases,github_stable_releases,github_prereleases,github_release_days,github_stable_release_days,github_release_median_gap_days,github_release_day_median_gap_days,github_first_release_at,github_latest_release_at,event_source,release_source,quality_flag
1,1103012935,openclaw/openclaw,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,92,18863,224,99,125,127,87,0.6,1.0,2026-01-03T04:56:30Z,2026-08-28T20:43:46Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
2,1024554267,NousResearch/hermes-agent,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,26,4347,30,30,0,28,28,5.29,6,2026-03-12T10:07:34Z,2026-08-27T12:06:53Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
3,65600975,pytorch/pytorch,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,171,1678,5,5,0,5,5,43.13,43.5,2026-01-21T17:05:16Z,2026-07-08T17:39:58Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
4,214587193,supabase/supabase,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,157,1541,7,7,0,7,7,28.54,28.5,2026-01-08T15:46:04Z,2026-08-07T13:57:57Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
5,979115477,bytedance/deer-flow,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,10,1406,1,1,0,1,1,,,2026-06-25T16:23:22Z,2026-06-25T16:23:22Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
6,740303686,sgl-project/sglang,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,82,1806,17,16,1,17,16,13.97,13.5,2026-01-01T10:01:57Z,2026-08-22T00:09:15Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
7,599547518,vllm-project/vllm,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,62,3135,25,25,0,25,25,9.33,9.0,2026-01-20T09:20:31Z,2026-08-26T09:46:30Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
8,1191372811,larksuite/cli,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,97,840,103,93,10,91,89,1.01,1.0,2026-03-28T02:45:12Z,2026-08-28T13:35:13Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
9,1128123594,volcengine/OpenViking,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,25,857,75,75,0,57,57,2.05,3.0,2026-02-05T08:24:27Z,2026-08-28T12:07:05Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
10,965415649,openai/codex,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,264,5286,677,82,595,206,70,0.18,1,2026-01-02T23:52:17Z,2026-08-29T21:46:50Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
11,658928958,ollama/ollama,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,10,2579,83,79,4,71,67,2.07,3.0,2026-01-10T08:33:45Z,2026-08-27T20:31:47Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
12,1027384981,langchain-ai/deepagents,2026-01-01T00:00:00Z,2026-08-30T00:00:00Z,39,622,260,241,19,122,118,0.33,1,2026-01-08T14:53:23Z,2026-08-28T23:11:01Z,OpenDigger ClickHouse opensource.events,GitHub GraphQL repository.releases,complete_top100_snapshot
