sample_rank,repo_name,snapshot_at,llm_native_manual,collaboration_niche,agent_proximity,archived,is_fork,default_branch,default_branch_commit,has_issues,has_discussions,has_pull_requests,pull_request_creation_policy,pull_request_creation_access,pull_endpoint_status,pull_endpoint_checks,pull_surface_observed,contributing_paths,governance_paths,issue_template_paths,pull_request_template_paths,contribution_policy_signal,contribution_policy_evidence,scan_status,error
1,openclaw/openclaw,2026-08-29T10:10:19.854379+00:00,llm_native,agent_application,direct_agent_experience,false,false,main,92046b6e4d6a5660952a571c86a2d8968926401d,true,false,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
2,NousResearch/hermes-agent,2026-08-29T10:10:21.743536+00:00,llm_native,agent_application,direct_agent_experience,false,false,main,fae063fc74d20362809fcc621a62ea7a66879744,true,false,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,no_explicit_signal,,ok,
3,pytorch/pytorch,2026-08-29T10:10:23.862816+00:00,traditional,model_infra,supporting_infrastructure,false,false,main,3c844ed711e65bdb162f11e7dabf177aeca433fc,true,false,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,,no_explicit_signal,,ok,
4,supabase/supabase,2026-08-29T10:10:26.471590+00:00,traditional,agent_runtime_infra,supporting_infrastructure,false,false,master,86c813ec03e340ffbe4aeb97cd0c5bee7a0ead94,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,,.github/pull_request_template.md,no_explicit_signal,,ok,
5,bytedance/deer-flow,2026-08-29T10:10:28.113776+00:00,llm_native,agent_framework,agent_building,false,false,main,c6f6a01f56b04b6c99d73df82ed6053beb8c1a10,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
6,sgl-project/sglang,2026-08-29T10:10:30.089901+00:00,llm_native,model_infra,supporting_infrastructure,false,false,main,a328c19c81894b2093211bc089215048faa4320a,true,true,true,ALL,anyone_can_create,200,200,yes,docs/CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,explicit_invitation,docs/CONTRIBUTING.md: submit a pull request,ok,
7,vllm-project/vllm,2026-08-29T10:10:31.779157+00:00,llm_native,model_infra,supporting_infrastructure,false,false,main,cacc429f62c3738c9c95093e9bd410e96103221a,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,no_explicit_signal,,ok,
8,larksuite/cli,2026-08-29T10:10:33.458594+00:00,mixed,agent_runtime_infra,supporting_infrastructure,false,false,main,6646386e0996b1ff5df640bccff834a20bcb203b,true,false,true,ALL,anyone_can_create,200,200,yes,,,,.github/pull_request_template.md,no_explicit_signal,,ok,
9,volcengine/OpenViking,2026-08-29T10:10:35.171008+00:00,llm_native,agent_runtime_infra,supporting_infrastructure,false,false,main,cd8580c6f8a50ec44593618b3102799ab0b553fd,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,explicit_invitation,CONTRIBUTING.md: contributions are welcome,ok,
10,openai/codex,2026-08-29T10:10:36.705865+00:00,llm_native,agent_application,direct_agent_experience,false,false,main,6478a751fde8884b2fdc76486fe23175a8e795d4,true,true,true,COLLABORATORS_ONLY,collaborators_only,200,200,yes,docs/contributing.md,,.github/ISSUE_TEMPLATE,,no_explicit_signal,,ok,
11,ollama/ollama,2026-08-29T10:10:38.372122+00:00,llm_native,model_infra,supporting_infrastructure,false,false,main,f96e7aa0513b9973a0ccc71be414c2ecb9d65b1a,true,false,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,,no_explicit_signal,,ok,
12,langchain-ai/deepagents,2026-08-29T10:10:40.397407+00:00,llm_native,agent_framework,agent_building,false,false,main,a1af029e6e73cb17c36bff823d227747b28e91e1,true,true,true,ALL,anyone_can_create,200,200,yes,,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,no_explicit_signal,,ok,
13,anomalyco/opencode,2026-08-29T10:10:41.899433+00:00,llm_native,agent_application,direct_agent_experience,false,false,dev,dc4449df0d52199704ea4989a5a993ebbc605612,true,false,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
14,flashinfer-ai/flashinfer,2026-08-29T10:10:43.571652+00:00,llm_native,model_infra,supporting_infrastructure,false,false,main,44428003ba219c14b5473fefec8f7bfd4b72178e,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
15,NVIDIA/TensorRT-LLM,2026-08-29T10:10:45.592127+00:00,llm_native,model_infra,supporting_infrastructure,false,false,main,cb511b53d6746b05d129c5d71ee1a8dd6882050a,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md,,.github/ISSUE_TEMPLATE,.github/pull_request_template.md,no_explicit_signal,,ok,
16,anthropics/claude-code,2026-08-29T10:10:47.301978+00:00,llm_native,agent_application,direct_agent_experience,false,false,main,f1af9b1f4b1fd4c776135381606edada82ef638e,true,false,true,COLLABORATORS_ONLY,collaborators_only,200,200,yes,,,.github/ISSUE_TEMPLATE,,no_explicit_signal,,ok,
17,jax-ml/jax,2026-08-29T10:10:48.893413+00:00,traditional,model_infra,supporting_infrastructure,false,false,main,eabf536146d88d0fca952dc021a6516263682bd4,true,true,true,ALL,anyone_can_create,200,200,yes,CONTRIBUTING.md|docs/contributing.md,,.github/ISSUE_TEMPLATE,.github/PULL_REQUEST_TEMPLATE.md,no_explicit_signal,,ok,
