repo_name,year,matched_historical_panel,collaboration_niche,issues_opened,issues_closed_during_window,issues_open_at_cutoff,issue_flow_balance,prs_opened,prs_closed_during_window,prs_open_at_cutoff,pr_flow_balance,issue_unresolved_90d_share,pr_unresolved_90d_share,pr_merged_90d_share,push_actors,actors_for_50pct_pushes,top_5_actor_share
Arize-ai/phoenix,2024,yes,agent_runtime_infra,1141,1106,0,35,1176,1178,0,-2,0.191104,0.0,0.892333,15,2,0.956049
Arize-ai/phoenix,2025,yes,agent_runtime_infra,1451,1224,37,227,1954,1917,0,37,0.335247,0.008364,0.893123,27,2,0.879115
Arize-ai/phoenix,2026,yes,agent_runtime_infra,1665,1137,708,528,3227,3004,90,223,0.335227,0.015633,0.853369,22,2,0.879015
AstrBotDevs/AstrBot,2024,yes,agent_application,33,33,0,0,11,11,0,0,0.071429,0.0,1.0,1,1,1.0
AstrBotDevs/AstrBot,2025,yes,agent_application,1911,1606,39,305,416,388,0,28,0.121212,0.026201,0.764192,7,1,0.994609
AstrBotDevs/AstrBot,2026,yes,agent_application,3377,2622,980,755,2038,1612,389,426,0.286286,0.157571,0.574942,8,1,0.993341
BerriAI/litellm,2024,yes,model_infra,1891,1605,0,286,2163,2062,0,101,0.252705,0.047141,0.838485,2,1,1.0
BerriAI/litellm,2025,yes,model_infra,2823,2691,15,132,3555,3531,0,24,0.314126,0.107564,0.719057,11,1,0.996933
BerriAI/litellm,2026,yes,model_infra,4180,3518,1572,662,15906,11586,3128,4320,0.322349,0.198858,0.511662,33,5,0.527242
CherryHQ/cherry-studio,2024,no,agent_application,36,28,0,8,0,0,0,0,,,,1,1,1.0
CherryHQ/cherry-studio,2025,no,agent_application,5967,5605,16,362,2513,2427,0,86,0.043574,0.02391,0.781997,25,2,0.820301
CherryHQ/cherry-studio,2026,no,agent_application,3492,2963,916,529,3914,3342,439,572,0.147992,0.102025,0.61215,22,3,0.732204
Comfy-Org/ComfyUI,2024,yes,agent_framework,1529,798,607,731,429,375,18,54,0.685504,0.309524,0.319048,4,1,1.0
Comfy-Org/ComfyUI,2025,yes,agent_framework,2157,1364,847,793,901,784,58,117,0.395018,0.183857,0.641256,9,1,0.963671
Comfy-Org/ComfyUI,2026,yes,agent_framework,1885,852,1181,1033,2282,1853,442,429,0.573555,0.112644,0.695785,29,3,0.730258
CopilotKit/CopilotKit,2024,yes,agent_framework,88,52,1,36,326,309,0,17,0.507937,0.02924,0.929825,4,1,1.0
CopilotKit/CopilotKit,2025,yes,agent_framework,333,163,13,170,857,811,0,46,0.397163,0.025729,0.823328,13,2,0.876864
CopilotKit/CopilotKit,2026,yes,agent_framework,452,723,86,-271,3348,2928,176,420,0.359756,0.084205,0.733627,22,3,0.665765
HKUDS/nanobot,2024,no,agent_application,0,0,0,0,0,0,0,0,,,,0,0,
HKUDS/nanobot,2025,no,agent_application,0,0,0,0,0,0,0,0,,,,0,0,
HKUDS/nanobot,2026,no,agent_application,1477,1270,205,207,3803,3057,546,746,0.187291,0.192976,0.337893,3,1,1.0
IBM/mcp-context-forge,2024,no,agent_runtime_infra,0,0,0,0,0,0,0,0,,,,0,0,
IBM/mcp-context-forge,2025,no,agent_runtime_infra,349,209,6,140,482,457,0,25,,0.071429,0.857143,8,1,0.990196
IBM/mcp-context-forge,2026,no,agent_runtime_infra,2408,2038,624,370,2218,1891,156,327,0.3298,0.102464,0.695201,36,5,0.537222
Kilo-Org/kilocode,2024,no,agent_application,0,0,0,0,0,0,0,0,,,,0,0,
Kilo-Org/kilocode,2025,no,agent_application,692,452,0,240,955,908,0,47,0.110465,0.0,0.908163,18,2,0.837345
