scope_type,scope_value,threads,estimated_population_weight,explicit_ai_assistance_disclosure_share_weighted,known_automation_bot_present_share_weighted,known_automation_bot_present_share_macro_repository,agent_participation_present_share_weighted,agent_participation_present_share_macro_repository,agent_participation_opened_thread_share_weighted,agent_participation_response_present_share_weighted,agent_review_event_present_share_pr_weighted,human_account_review_event_present_share_pr_weighted,maintainer_account_review_event_present_share_pr_weighted,agent_change_request_present_share_change_requested_pr_weighted,agent_change_requested_pr_followup_commit_share_weighted,human_change_requested_pr_followup_commit_share_weighted,human_account_gate_share_resolved_with_visible_gate_weighted,maintainer_account_gate_share_resolved_with_visible_gate_weighted,agent_gate_share_resolved_with_visible_gate_weighted,agent_gate_event_present_share_weighted,conventional_automation_present_share_weighted,human_account_present_any_share_weighted,human_account_response_share_weighted,human_account_response_share_macro_repository,maintainer_account_response_share_weighted,maintainer_account_response_share_macro_repository,automation_only_visible_thread_share_weighted,automation_only_visible_thread_share_macro_repository,response_only_automation_share_weighted,response_only_automation_share_macro_repository,external_pr_author_share_weighted,external_pr_author_share_macro_repository,open_share_fixed_maturity_weighted,open_share_fixed_maturity_macro_repository,github_merge_flag_share_resolved_pr_fixed_maturity_weighted,github_merge_flag_share_resolved_pr_fixed_maturity_macro_repository,external_pr_github_merge_flag_share_resolved_fixed_maturity_weighted,internal_pr_github_merge_flag_share_resolved_fixed_maturity_weighted,pr_review_observed_share_weighted,reviewed_pr_post_review_commit_share_weighted,change_requested_pr_followup_commit_share_weighted,median_first_human_account_response_hours,median_first_maintainer_account_response_hours,median_resolution_days_closed_items,median_reviews_pr,median_changes_requested_pr
overall,all,3972,264018.0,0.0,0.6572,0.5529,0.2279,0.1837,0.0027,0.1453,0.1452,0.6625,0.4069,0.0809,0.4657,0.7006,0.8626,0.4668,0.0084,0.0068,0.5418,0.9925,0.6842,0.6772,0.4244,0.4055,0.0058,0.0066,0.154,0.1283,0.6555,0.6693,0.1736,0.2154,0.7381,0.7743,0.6982,0.8119,0.7078,0.4441,0.6816,5.62,5.21,0.85,1.0,0.0
item_type,issue,1645,107880.5,0.0,0.4646,0.3805,0.1896,0.116,0.0001,0.106,,,,,,,0.8283,0.4514,0.0231,0.0145,0.3103,0.9994,0.6168,0.6453,0.337,0.3304,0.0006,0.0004,0.146,0.0852,,,0.3258,0.4267,,,,,,,,14.31,10.1,3.09,,
item_type,pull_request,2327,156137.5,0.0,0.7903,0.6367,0.2543,0.2293,0.0045,0.1725,0.1452,0.6625,0.4069,0.0809,0.4657,0.7006,0.8787,0.4741,0.0015,0.0014,0.7018,0.9878,0.7307,0.686,0.4848,0.4621,0.0094,0.0097,0.1587,0.1557,0.6555,0.6693,0.0685,0.082,0.7381,0.7743,0.6982,0.8119,0.7078,0.4441,0.6816,2.43,3.39,0.55,1.0,0.0
project_identity,llm_native,2422,150936.0,0.0,0.5921,0.4788,0.3039,0.2243,0.0039,0.195,0.2131,0.6007,0.439,0.1381,0.4657,0.8162,0.9112,0.5067,0.0132,0.0105,0.423,0.9953,0.6557,0.648,0.4235,0.4127,0.0041,0.0043,0.1912,0.1476,0.6033,0.6413,0.1705,0.2323,0.7953,0.787,0.7192,0.9089,0.6558,0.4671,0.7678,5.26,3.9,0.73,1.0,0.0
project_identity,mixed,650,35919.0,0.0,0.68,0.5862,0.2914,0.2169,0.0036,0.1796,0.1928,0.7369,0.4118,0.0,,0.8985,0.9755,0.5294,0.0069,0.0057,0.6167,0.9919,0.7413,0.7092,0.5009,0.4508,0.0081,0.0108,0.1355,0.1388,0.6171,0.6442,0.1774,0.2246,0.8447,0.812,0.8187,0.8846,0.8102,0.4117,0.8985,4.13,5.11,0.71,1.0,0.0
project_identity,traditional,900,77163.0,0.0,0.7741,0.7389,0.0496,0.0444,0.0,0.0322,0.0356,0.7171,0.3618,0.0,,0.4296,0.7184,0.3626,0.0,0.0,0.7394,0.9875,0.7134,0.7367,0.3905,0.3522,0.0079,0.01,0.0882,0.0659,0.7403,0.7654,0.1781,0.1611,0.6208,0.7129,0.6371,0.5756,0.7386,0.4303,0.4296,7.47,10.91,1.38,1.0,0.0
collaboration_niche,agent_application,904,59844.0,0.0,0.5049,0.423,0.2114,0.156,0.0,0.1009,0.1592,0.5916,0.3694,0.0,,0.6646,0.9223,0.4726,0.0,0.0,0.4176,0.9936,0.66,0.636,0.402,0.376,0.0049,0.007,0.1428,0.1062,0.6871,0.6933,0.1715,0.255,0.7631,0.7952,0.6807,0.9385,0.6523,0.3922,0.6646,4.52,3.54,0.68,1.0,0.0
collaboration_niche,agent_framework,850,48421.0,0.0,0.7078,0.5847,0.4665,0.3329,0.0079,0.2964,0.2014,0.6472,0.3852,0.0,,0.8597,0.9545,0.5609,0.0374,0.0326,0.4454,0.9955,0.6935,0.6494,0.4635,0.3776,0.0045,0.0024,0.2043,0.2008,0.6703,0.7161,0.1285,0.22,0.8207,0.8354,0.7745,0.9103,0.6917,0.3812,0.8597,6.86,6.76,0.56,1.0,0.0
collaboration_niche,agent_runtime_infra,518,28184.0,0.0,0.7988,0.6055,0.3354,0.2436,0.0,0.1516,0.0828,0.6251,0.3565,0.0,,0.7731,0.8901,0.368,0.0088,0.0072,0.6401,0.9881,0.6816,0.699,0.3332,0.4354,0.0119,0.0091,0.1593,0.1204,0.6425,0.5893,0.1738,0.1661,0.8523,0.8357,0.837,0.8782,0.6948,0.4114,0.7731,2.89,4.62,0.7,1.0,0.0
collaboration_niche,model_infra,1700,127569.0,0.0,0.6782,0.5965,0.1212,0.1059,0.0026,0.1075,0.1368,0.6938,0.4337,0.1322,0.4657,0.6428,0.7905,0.4475,0.0,0.0,0.615,0.9919,0.6926,0.7082,0.4403,0.4271,0.0053,0.0076,0.1372,0.1075,0.645,0.6584,0.1917,0.2059,0.681,0.7121,0.6501,0.7362,0.7304,0.481,0.6194,6.76,5.56,1.15,1.0,0.0
