scope,scope_value,year,threads,issues,pull_requests,repositories,agent_participation_count,agent_participation_share,human_response_within_7d_count,human_response_within_7d_share,maintainer_response_within_7d_count,maintainer_response_within_7d_share,issue_resolved_within_30d_count,issue_resolved_within_30d_share,pr_resolved_within_30d_count,pr_resolved_within_30d_share,pr_reviewed_count,pr_reviewed_share,pr_requested_revision_count,pr_requested_revision_share,requested_revision_followed_by_commit_count,requested_revision_followed_by_commit_share,pr_zero_requested_revision_share,pr_one_requested_revision_share,pr_two_plus_requested_revision_share,median_requested_revision_cycles_among_requested_prs,median_commits_after_first_review
repository,Arize-ai/phoenix,2025,50,18,32,1,47,0.94,25,0.5,10,0.2,11,0.6111111111111112,30,0.9375,25,0.78125,0,0.0,0,,1.0,0.0,0.0,,0.0
repository,AstrBotDevs/AstrBot,2025,50,43,7,1,11,0.22,25,0.5,20,0.4,30,0.6976744186046512,7,1.0,6,0.8571428571428571,0,0.0,0,,1.0,0.0,0.0,,1.0
repository,BerriAI/litellm,2025,50,18,32,1,2,0.04,16,0.32,0,0.0,9,0.5,27,0.84375,5,0.15625,2,0.0625,1,0.5,0.9375,0.03125,0.03125,1.5,0.0
repository,Comfy-Org/ComfyUI,2025,50,38,12,1,0,0.0,23,0.46,11,0.22,10,0.2631578947368421,12,1.0,0,0.0,0,0.0,0,,1.0,0.0,0.0,,
repository,CopilotKit/CopilotKit,2025,50,17,33,1,19,0.38,11,0.22,0,0.0,5,0.29411764705882354,32,0.9696969696969697,9,0.2727272727272727,0,0.0,0,,1.0,0.0,0.0,,1.0
repository,NVIDIA/Megatron-LM,2025,50,25,25,1,0,0.0,12,0.24,1,0.02,6,0.24,3,0.12,1,0.04,0,0.0,0,,1.0,0.0,0.0,,0.0
repository,NVIDIA/Model-Optimizer,2025,50,31,19,1,0,0.0,19,0.38,12,0.24,10,0.3225806451612903,14,0.7368421052631579,4,0.21052631578947367,0,0.0,0,,1.0,0.0,0.0,,0.0
repository,NVIDIA/TensorRT-LLM,2025,50,7,43,1,17,0.34,45,0.9,44,0.88,1,0.14285714285714285,39,0.9069767441860465,40,0.9302325581395349,2,0.046511627906976744,2,1.0,0.9534883720930233,0.046511627906976744,0.0,1.0,1.0
repository,NVIDIA/cudf,2025,50,13,37,1,0,0.0,32,0.64,10,0.2,6,0.46153846153846156,33,0.8918918918918919,32,0.8648648648648649,3,0.08108108108108109,2,0.6666666666666666,0.918918918918919,0.08108108108108109,0.0,1.0,2.0
repository,PaddlePaddle/Paddle,2025,50,3,47,1,3,0.06,37,0.74,10,0.2,1,0.3333333333333333,41,0.8723404255319149,38,0.8085106382978723,0,0.0,0,,1.0,0.0,0.0,,0.0
repository,Significant-Gravitas/AutoGPT,2025,50,12,38,1,24,0.48,29,0.58,12,0.24,3,0.25,34,0.8947368421052632,29,0.7631578947368421,2,0.05263157894736842,2,1.0,0.9473684210526315,0.05263157894736842,0.0,1.0,0.0
repository,activepieces/activepieces,2025,50,18,32,1,23,0.46,19,0.38,15,0.3,9,0.5,30,0.9375,12,0.375,0,0.0,0,,1.0,0.0,0.0,,0.0
repository,agno-agi/agno,2025,50,22,28,1,0,0.0,32,0.64,8,0.16,15,0.6818181818181818,27,0.9642857142857143,21,0.75,1,0.03571428571428571,1,1.0,0.9642857142857143,0.03571428571428571,0.0,1.0,0.0
repository,apache/airflow,2025,50,6,44,1,6,0.12,40,0.8,31,0.62,3,0.5,39,0.8863636363636364,39,0.8863636363636364,1,0.022727272727272728,0,0.0,0.9772727272727273,0.022727272727272728,0.0,1.0,0.0
repository,apache/gravitino,2025,50,20,30,1,0,0.0,33,0.66,7,0.14,8,0.4,28,0.9333333333333333,24,0.8,0,0.0,0,,1.0,0.0,0.0,,0.0
repository,apache/hudi,2025,50,6,44,1,0,0.0,33,0.66,43,0.86,1,0.16666666666666666,40,0.9090909090909091,28,0.6363636363636364,1,0.022727272727272728,1,1.0,0.9772727272727273,0.022727272727272728,0.0,1.0,1.0
repository,apache/iceberg,2025,50,14,36,1,0,0.0,36,0.72,11,0.22,4,0.2857142857142857,30,0.8333333333333334,27,0.75,0,0.0,0,,1.0,0.0,0.0,,0.0
repository,apache/spark,2025,50,0,50,1,0,0.0,44,0.88,29,0.58,0,,43,0.86,45,0.9,2,0.04,0,0.0,0.96,0.04,0.0,1.0,0.0
repository,coder/coder,2025,50,11,39,1,4,0.08,34,0.68,23,0.46,4,0.36363636363636365,38,0.9743589743589743,37,0.9487179487179487,3,0.07692307692307693,2,0.6666666666666666,0.9230769230769231,0.07692307692307693,0.0,1.0,0.0
repository,comet-ml/opik,2025,50,10,40,1,6,0.12,39,0.78,21,0.42,6,0.6,39,0.975,32,0.8,7,0.175,7,1.0,0.825,0.175,0.0,1.0,0.0
repository,danny-avila/LibreChat,2025,50,31,19,1,0,0.0,21,0.42,17,0.34,25,0.8064516129032258,17,0.8947368421052632,8,0.42105263157894735,0,0.0,0,,1.0,0.0,0.0,,0.0
repository,datahub-project/datahub,2025,50,10,40,1,7,0.14,27,0.54,13,0.26,0,0.0,33,0.825,29,0.725,1,0.025,0,0.0,0.975,0.025,0.0,1.0,0.0
repository,eosphoros-ai/DB-GPT,2025,50,33,17,1,0,0.0,28,0.56,27,0.54,15,0.45454545454545453,15,0.8823529411764706,14,0.8235294117647058,3,0.17647058823529413,3,1.0,0.8235294117647058,0.17647058823529413,0.0,1.0,0.0
