sample_rank,repo_name,item_type,number,event_source,event_type,event_id,created_at,actor_login,actor_github_type,author_association,actor_initial_class,performed_via_github_app,ai_disclosure_candidate,ai_disclosure_evidence,review_state,commit_sha,commit_author_login,commit_committer_login,collected_at
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1931605349,2025-01-28T06:33:30Z,fduwjj,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1932840925,2025-01-28T20:50:08Z,kwen2501,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1932887537,2025-01-28T21:35:22Z,fduwjj,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1932910523,2025-01-28T21:52:49Z,kwen2501,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1932844053,2025-01-28T20:53:09Z,kwen2501,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1932889646,2025-01-28T21:37:32Z,fduwjj,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1932928903,2025-01-28T22:07:53Z,kwen2501,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1933013265,2025-01-28T23:47:08Z,fduwjj,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1932849697,2025-01-28T20:58:18Z,kwen2501,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1932852631,2025-01-28T21:01:10Z,kwen2501,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1932909373,2025-01-28T21:52:00Z,fduwjj,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1932854813,2025-01-28T21:03:14Z,kwen2501,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1932858066,2025-01-28T21:06:25Z,kwen2501,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1932859999,2025-01-28T21:08:22Z,kwen2501,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1932911032,2025-01-28T21:53:23Z,fduwjj,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1932968079,2025-01-28T22:50:09Z,kwen2501,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1933014070,2025-01-28T23:48:24Z,fduwjj,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1932862708,2025-01-28T21:10:53Z,kwen2501,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1932916004,2025-01-28T21:55:19Z,fduwjj,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1932864730,2025-01-28T21:12:48Z,kwen2501,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1932917264,2025-01-28T21:56:18Z,fduwjj,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1932866164,2025-01-28T21:14:10Z,kwen2501,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1932917836,2025-01-28T21:56:55Z,fduwjj,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1932872573,2025-01-28T21:20:23Z,kwen2501,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1932918946,2025-01-28T21:58:08Z,fduwjj,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1932969094,2025-01-28T22:51:12Z,kwen2501,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1933025826,2025-01-29T00:02:59Z,fduwjj,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1932875996,2025-01-28T21:23:42Z,kwen2501,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1932891169,2025-01-28T21:38:57Z,fduwjj,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1933033925,2025-01-29T00:17:17Z,kwen2501,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1933080647,2025-01-29T01:24:41Z,fduwjj,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1933034315,2025-01-29T00:17:58Z,kwen2501,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
3,pytorch/pytorch,pull_request,144794,pull_review_comment,review_commented,1933080416,2025-01-29T01:24:19Z,fduwjj,User,COLLABORATOR,human_account,,no,,,d25cd12d85d5cc653d784af8774280d154f81a68,,,2026-09-02T07:56:06.483523+00:00
