sample_rank,repo_name,year,population_items,target_items,selected_items,frame_min_number,frame_max_number,attempted_numbers,scan_status,error
1,openclaw/openclaw,2025,0,0,0,0,0,0,no_items,
2,NousResearch/hermes-agent,2025,2,2,2,1,2,2,ok,
3,pytorch/pytorch,2025,17735,50,50,144044,161866,50,ok,
4,supabase/supabase,2025,3645,50,50,32505,38334,74,ok,
5,bytedance/deer-flow,2025,539,50,50,1,550,51,ok,
6,sgl-project/sglang,2025,6983,50,50,2692,9850,50,ok,
7,vllm-project/vllm,2025,12174,50,50,11663,24009,50,ok,
8,larksuite/cli,2025,0,0,0,0,0,0,no_items,
9,volcengine/OpenViking,2025,0,0,0,0,0,0,no_items,
10,openai/codex,2025,2855,50,50,1,3002,50,ok,
11,ollama/ollama,2025,3807,50,50,8278,12135,51,ok,
12,langchain-ai/deepagents,2025,85,50,50,1,85,50,ok,
13,anomalyco/opencode,2025,2328,50,50,1,2346,51,ok,
14,flashinfer-ai/flashinfer,2025,898,50,50,710,1613,50,ok,
15,NVIDIA/TensorRT-LLM,2025,4700,50,50,2642,7410,51,ok,
16,anthropics/claude-code,2025,6798,50,50,1,6932,52,ok,
17,jax-ml/jax,2025,5453,50,50,25705,31452,51,ok,
18,ai-dynamo/dynamo,2025,2784,50,50,1,2800,50,ok,
19,apache/airflow,2025,9258,50,50,45319,55120,51,ok,
20,BerriAI/litellm,2025,6378,50,50,7490,14118,51,ok,
21,ggml-org/llama.cpp,2025,3978,50,50,11028,15706,58,ok,
22,n8n-io/n8n,2025,6577,50,50,12420,19017,50,ok,
23,ray-project/ray,2025,6564,50,50,49521,56127,50,ok,
24,apache/spark,2025,2839,50,50,49342,52185,50,ok,
25,coder/coder,2025,3518,50,50,15991,19655,51,ok,
26,vercel/ai,2025,3677,50,50,4239,8380,57,ok,
27,mastra-ai/mastra,2025,5414,50,50,1234,7236,57,ok,
28,vllm-project/vllm-omni,2025,0,0,0,0,0,0,no_items,
29,QwenLM/qwen-code,2025,479,50,50,1,494,52,ok,
30,langgenius/dify,2025,10451,50,50,12272,24865,56,ok,
31,warpdotdev/warp,2025,1595,50,50,5641,7245,50,ok,
32,paperclipai/paperclip,2025,0,0,0,0,0,0,no_items,
33,vllm-project/vllm-ascend,2025,2657,50,50,1,2662,50,ok,
34,open-metadata/OpenMetadata,2025,3915,50,50,19193,23170,52,ok,
35,microsoft/onnxruntime,2025,2563,50,50,23235,25904,50,ok,
36,CherryHQ/cherry-studio,2025,8480,50,50,602,9740,54,ok,
37,pingdotgg/t3code,2025,0,0,0,0,0,0,no_items,
38,milvus-io/milvus,2025,4341,50,50,38899,44141,59,ok,
39,earendil-works/pi,2025,0,0,0,0,0,0,no_items,
40,NVIDIA/cudf,2025,2194,50,50,17666,19860,50,ok,
41,triton-lang/triton,2025,2471,50,50,5513,8020,50,ok,
42,zeroclaw-labs/zeroclaw,2025,0,0,0,0,0,0,no_items,
43,docling-project/docling,2025,1252,50,50,669,2168,65,ok,
44,datahub-project/datahub,2025,2351,50,50,12254,14615,50,ok,
45,lobehub/lobehub,2025,3237,50,50,5252,9019,55,ok,
46,AstrBotDevs/AstrBot,2025,2327,50,50,229,2592,51,ok,
47,HKUDS/nanobot,2025,0,0,0,0,0,0,no_items,
48,NVIDIA/Model-Optimizer,2025,160,50,50,120,279,50,ok,
49,cline/cline,2025,4029,50,50,1096,5915,58,ok,
50,OpenHands/software-agent-sdk,2025,66,50,50,1174,49,0,ok,
51,agentscope-ai/QwenPaw,2025,0,0,0,0,0,0,no_items,
52,NVIDIA-NeMo/RL,2025,1023,50,50,1,1029,50,ok,
53,pydantic/pydantic-ai,2025,2159,50,50,581,2749,52,ok,
54,google-gemini/gemini-cli,2025,7130,50,50,1,7529,50,ok,
55,apache/iceberg,2025,2064,50,50,11896,13961,50,ok,
56,infiniflow/ragflow,2025,5166,50,50,4317,9844,52,ok,
57,wandb/wandb,2025,1263,50,50,9165,10427,50,ok,
58,agno-agi/agno,2025,2583,50,50,1672,4388,51,ok,
59,Kilo-Org/kilocode,2025,1647,50,50,1,2219,67,ok,
60,a2ui-project/a2ui,2025,0,0,0,0,0,0,no_items,
61,omnigent-ai/omnigent,2025,0,0,0,0,0,0,no_items,
62,activepieces/activepieces,2025,2542,50,50,6434,8999,50,ok,
63,NVIDIA/Megatron-LM,2025,426,50,50,1342,1782,52,ok,
64,diegosouzapw/OmniRoute,2025,0,0,0,0,0,0,no_items,
65,mlflow/mlflow,2025,3241,50,50,14183,17496,52,ok,
66,CopilotKit/CopilotKit,2025,1190,50,50,1176,2396,52,ok,
67,langfuse/langfuse,2025,2727,50,50,4863,8831,76,ok,
68,multica-ai/multica,2025,0,0,0,0,0,0,no_items,
69,coze-dev/coze-loop,2025,131,50,50,1,142,55,ok,
70,IBM/mcp-context-forge,2025,831,50,50,1,855,50,ok,
71,NVIDIA/OpenShell,2025,0,0,0,0,0,0,no_items,
72,farion1231/cc-switch,2025,2,2,2,1,2,2,ok,
73,Comfy-Org/ComfyUI,2025,3058,50,50,6301,9658,56,ok,
74,stablyai/orca,2025,0,0,0,0,0,0,no_items,
75,unslothai/unsloth,2025,1659,50,50,1492,3244,51,ok,
76,langchain-ai/langchain,2025,3073,50,50,28981,32773,62,ok,
77,openvinotoolkit/openvino,2025,3572,50,50,28240,31916,52,ok,
78,microsoft/agent-framework,2025,568,50,50,1,568,50,ok,
79,comet-ml/opik,2025,2159,50,50,975,3140,50,ok,
80,marimo-team/marimo,2025,2749,50,50,3321,6206,54,ok,
81,weaviate/weaviate,2025,2243,50,50,6791,9039,0,ok,
82,langflow-ai/langflow,2025,3851,50,50,5502,9627,0,ok,
83,esengine/DeepSeek-Reasonix,2025,0,0,0,0,0,0,no_items,
84,Arize-ai/phoenix,2025,3405,50,50,5852,9339,0,ok,
85,apache/hudi,2025,1254,50,50,12562,13817,0,ok,
86,Significant-Gravitas/AutoGPT,2025,1611,50,50,9163,10788,0,ok,
87,PaddlePaddle/Paddle,2025,4374,50,50,70580,74995,0,ok,
88,code-yeongyu/oh-my-openagent,2025,0,0,0,0,0,0,no_items,
89,siyuan-note/siyuan,2025,2031,50,50,13694,15730,0,ok,
90,verl-project/verl,2025,3159,50,50,73,3284,0,ok,
91,huggingface/trl,2025,1412,50,50,2536,3984,0,ok,
92,eosphoros-ai/DB-GPT,2025,608,50,50,2264,2888,0,ok,
93,danny-avila/LibreChat,2025,2617,50,50,5156,9391,0,ok,
94,apache/gravitino,2025,2272,50,50,6057,8366,0,ok,
95,charmbracelet/crush,2025,881,50,50,1,944,0,ok,
96,aaif-goose/goose,2025,3816,50,50,532,4462,0,ok,
97,open-webui/open-webui,2025,5230,50,50,8241,17085,0,ok,
98,livekit/agents,2025,1980,50,50,1323,3304,0,ok,
99,router-for-me/CLIProxyAPI,2025,18,18,18,1,19,0,ok,
100,kvcache-ai/Mooncake,2025,736,50,50,56,794,0,ok,
