sample_rank,repo_name,llm_native_manual,collaboration_niche,agent_proximity,item_type,number,node_id,html_url,state,outcome,created_at,updated_at,closed_at,merged_at,author_login,author_github_type,author_association,author_initial_class,performed_via_github_app,ai_disclosure_candidate,ai_disclosure_evidence,comments_count,labels,population_items,selected_items,inclusion_probability,sampling_weight,frame_min_number,frame_max_number,sampling_seed,sampling_method,collected_at
2,NousResearch/hermes-agent,llm_native,agent_application,direct_agent_experience,pull_request,1,PR_kwDOPRF1G86gurys,https://github.com/NousResearch/hermes-agent/pull/1,closed,merged,2025-07-26T04:32:51Z,2026-08-17T09:00:01Z,2025-07-26T14:13:34Z,2025-07-26T14:13:34Z,hjc-puro,User,CONTRIBUTOR,human_account,,no,,19,,2,2,1.0,1.0,1,2,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:13:52.813296+00:00
2,NousResearch/hermes-agent,llm_native,agent_application,direct_agent_experience,pull_request,2,PR_kwDOPRF1G86mLPeJ,https://github.com/NousResearch/hermes-agent/pull/2,closed,closed_unmerged,2025-08-31T18:18:39Z,2026-08-17T09:00:49Z,2026-02-02T17:42:37Z,,hjc-puro,User,CONTRIBUTOR,human_account,,no,,1,,2,2,1.0,1.0,1,2,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:13:52.813296+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,issue,144196,I_kwDOA-j9z86lCtmc,https://github.com/pytorch/pytorch/issues/144196,closed,closed,2025-01-04T18:17:11Z,2025-04-07T18:05:10Z,2025-04-06T17:50:38Z,,randolf-scholz,User,CONTRIBUTOR,human_account,,no,,7,module: distributions|module: typing|triaged,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,144237,PR_kwDOA-j9z86GynIa,https://github.com/pytorch/pytorch/pull/144237,closed,closed_unmerged,2025-01-06T07:41:32Z,2025-01-10T10:42:17Z,2025-01-10T10:41:15Z,,fmo-mt,User,CONTRIBUTOR,human_account,,no,,8,Merged|ciflow/trunk|oncall: profiler|open source|release notes: profiler,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,144708,PR_kwDOA-j9z86HniG1,https://github.com/pytorch/pytorch/pull/144708,closed,closed_unmerged,2025-01-13T21:56:46Z,2025-03-10T19:03:06Z,2025-03-10T19:03:06Z,,tianfengfrank,User,CONTRIBUTOR,human_account,,no,,9,ciflow/trunk|fb-exported|oncall: distributed|release notes: distributed (c10d),17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,144794,PR_kwDOA-j9z86Hwrum,https://github.com/pytorch/pytorch/pull/144794,closed,closed_unmerged,2025-01-14T19:55:35Z,2025-03-03T02:09:34Z,2025-01-31T22:39:58Z,,fduwjj,User,COLLABORATOR,human_account,,no,,8,Merged|ciflow/binaries_wheel|ciflow/trunk|oncall: distributed|release notes: distributed (c10d),17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,145289,PR_kwDOA-j9z86IiHir,https://github.com/pytorch/pytorch/pull/145289,closed,closed_unmerged,2025-01-21T18:56:31Z,2025-02-21T02:05:47Z,2025-01-22T01:00:56Z,,malfet,User,COLLABORATOR,human_account,,no,,1,Merged|ciflow/mps|release notes: mps|topic: not user facing,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,145488,PR_kwDOA-j9z86Ix2ij,https://github.com/pytorch/pytorch/pull/145488,closed,closed_unmerged,2025-01-23T15:29:25Z,2025-02-24T02:07:30Z,2025-01-24T19:08:16Z,,IvanKobzarev,User,CONTRIBUTOR,human_account,,no,,3,Merged|ciflow/trunk|topic: not user facing,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,145854,PR_kwDOA-j9z86JQoSu,https://github.com/pytorch/pytorch/pull/145854,closed,closed_unmerged,2025-01-28T17:16:51Z,2025-05-06T02:11:53Z,2025-05-06T02:11:53Z,,samnordmann,User,CONTRIBUTOR,human_account,,no,,3,Stale|oncall: distributed|open source|release notes: distributed (c10d)|triaged,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,146053,PR_kwDOA-j9z86JiTYS,https://github.com/pytorch/pytorch/pull/146053,closed,closed_unmerged,2025-01-30T18:11:08Z,2025-02-06T00:52:15Z,2025-02-06T00:50:01Z,,mori360,User,CONTRIBUTOR,human_account,,no,,1,oncall: distributed|topic: not user facing,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,146057,PR_kwDOA-j9z86JieI0,https://github.com/pytorch/pytorch/pull/146057,closed,closed_unmerged,2025-01-30T18:38:12Z,2025-03-02T02:10:54Z,2025-01-30T19:19:56Z,,oulgen,User,CONTRIBUTOR,human_account,,no,,1,ciflow/inductor|ciflow/trunk|module: dynamo|module: inductor|topic: not user facing,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,issue,148242,I_kwDOA-j9z86sLGsl,https://github.com/pytorch/pytorch/issues/148242,closed,closed,2025-03-01T05:17:59Z,2025-03-15T00:23:12Z,2025-03-15T00:23:12Z,,leonardo0lyj,User,NONE,human_account,,no,,2,module: docs|module: fsdp|oncall: distributed,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,148486,PR_kwDOA-j9z86NX2bq,https://github.com/pytorch/pytorch/pull/148486,closed,closed_unmerged,2025-03-04T21:01:29Z,2025-04-04T02:15:00Z,2025-03-04T21:26:29Z,,seemethere,User,MEMBER,human_account,,no,,4,Merged|topic: not user facing,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,pull_request,149084,PR_kwDOA-j9z86Oa4QK,https://github.com/pytorch/pytorch/pull/149084,closed,closed_unmerged,2025-03-12T23:39:00Z,2025-05-02T02:15:44Z,2025-04-01T17:27:00Z,,pianpwk,User,CONTRIBUTOR,human_account,,no,,2,ciflow/inductor|fb-exported|release notes: fx,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,issue,149224,I_kwDOA-j9z86uHw-c,https://github.com/pytorch/pytorch/issues/149224,open,open,2025-03-14T20:59:25Z,2025-03-17T15:20:20Z,,,sjh0849,User,NONE,human_account,,no,,0,module: serialization|triaged,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,issue,149626,I_kwDOA-j9z86u_a8D,https://github.com/pytorch/pytorch/issues/149626,closed,closed,2025-03-20T15:24:09Z,2025-12-19T10:20:51Z,2025-12-19T10:20:51Z,,vwrewsge,User,NONE,human_account,,no,,3,module: crash|module: empty tensor|module: rnn|topic: fuzzer|triaged,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,issue,149639,I_kwDOA-j9z86vA-L_,https://github.com/pytorch/pytorch/issues/149639,open,open,2025-03-20T18:02:19Z,2026-05-06T10:53:55Z,,,adosar,User,NONE,human_account,,no,,6,actionable|module: lint|module: typing|triaged,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
3,pytorch/pytorch,traditional,model_infra,supporting_infrastructure,issue,150170,I_kwDOA-j9z86wJ3s4,https://github.com/pytorch/pytorch/issues/150170,closed,closed,2025-03-28T08:24:39Z,2025-04-08T03:55:40Z,2025-04-08T03:55:40Z,,zeshengzong,User,COLLABORATOR,human_account,,no,,0,module: docs|module: nn|triaged,17735,50,0.00281928,354.7,144044,161866,262925,annual_uniform_issue_number_rejection_sample,2026-09-02T07:14:27.261116+00:00
