sample_rank,repo_name,population_items,frame_min_number,frame_max_number,frame_slots,target_items,selected_items,attempted_numbers,missing_or_ineligible_numbers,scan_status,error
1,openclaw/openclaw,129355,67,131967,131901,20,20,21,1,ok,
2,NousResearch/hermes-agent,96760,14,97324,97311,20,20,20,0,ok,
3,pytorch/pytorch,23452,171588,195174,23587,20,20,20,0,ok,
4,supabase/supabase,6861,41669,49698,8030,20,20,21,1,ok,
5,bytedance/deer-flow,4127,793,5083,4291,20,20,20,0,ok,
6,sgl-project/sglang,20513,16249,36890,20642,20,20,20,0,ok,
7,vllm-project/vllm,22509,31592,54239,22648,20,20,20,0,ok,
8,larksuite/cli,2550,1,2557,2557,20,20,20,0,ok,
9,volcengine/OpenViking,4346,1,4457,4457,20,20,20,0,ok,
10,openai/codex,20900,8648,41374,32727,20,20,20,0,ok,
11,ollama/ollama,4384,13594,18098,4505,20,20,21,1,ok,
12,langchain-ai/deepagents,5217,641,5947,5307,20,20,20,0,ok,
13,anomalyco/opencode,38782,6556,45987,39432,20,20,20,0,ok,
14,flashinfer-ai/flashinfer,2513,2279,4805,2527,20,20,20,0,ok,
15,NVIDIA/TensorRT-LLM,7978,10373,18381,8009,20,20,20,0,ok,
16,anthropics/claude-code,73261,15939,90411,74473,20,20,20,0,ok,
17,jax-ml/jax,6001,34130,40300,6171,20,20,20,0,ok,
18,ai-dynamo/dynamo,8764,5124,13970,8847,20,20,20,0,ok,
19,apache/airflow,11940,60008,72224,12217,20,20,21,1,ok,
20,BerriAI/litellm,19740,18554,38681,20128,20,20,20,0,ok,
21,ggml-org/llama.cpp,8499,18516,27897,9382,20,20,23,3,ok,
22,n8n-io/n8n,13343,23777,37341,13565,20,20,20,0,ok,
23,ray-project/ray,5907,59794,65769,5976,20,20,20,0,ok,
24,apache/spark,4667,53658,58389,4732,20,20,20,0,ok,
25,coder/coder,7193,21411,28748,7338,20,20,21,1,ok,
26,vercel/ai,8275,11485,19930,8446,20,20,21,1,ok,
27,mastra-ai/mastra,10957,11525,22561,11037,20,20,20,0,ok,
28,vllm-project/vllm-omni,6135,571,6726,6156,20,20,20,0,ok,
29,QwenLM/qwen-code,8818,1386,10422,9037,20,20,22,2,ok,
30,langgenius/dify,10201,30447,41458,11012,20,20,21,1,ok,
31,warpdotdev/warp,7248,8351,15644,7294,20,20,20,0,ok,
32,paperclipai/paperclip,12231,1,12451,12451,20,20,20,0,ok,
33,vllm-project/vllm-ascend,9674,5562,15248,9687,20,20,20,0,ok,
34,open-metadata/OpenMetadata,7140,25019,32251,7233,20,20,20,0,ok,
35,microsoft/onnxruntime,3055,26888,32311,5424,20,20,35,15,ok,
36,CherryHQ/cherry-studio,7280,12222,19679,7458,20,20,20,0,ok,
37,pingdotgg/t3code,8051,1,8570,8570,20,20,24,4,ok,
38,milvus-io/milvus,6115,46724,53005,6282,20,20,20,0,ok,
39,earendil-works/pi,8096,390,8794,8405,20,20,22,2,ok,
41,triton-lang/triton,2355,9127,11506,2380,20,20,20,0,ok,
42,zeroclaw-labs/zeroclaw,9715,1,10432,10432,20,20,20,0,ok,
43,docling-project/docling,1209,2828,4100,1273,20,20,20,0,ok,
44,datahub-project/datahub,3705,15788,19505,3718,20,20,21,1,ok,
45,lobehub/lobehub,7411,11085,18804,7720,20,20,20,0,ok,
46,AstrBotDevs/AstrBot,5391,4275,9864,5590,20,20,20,0,ok,
47,HKUDS/nanobot,5252,1,5590,5590,20,20,21,1,ok,
48,NVIDIA/Model-Optimizer,1534,736,2279,1544,20,20,20,0,ok,
49,cline/cline,4854,8359,13670,5312,20,20,24,4,ok,
50,OpenHands/software-agent-sdk,3114,1562,4701,3140,20,20,20,0,ok,
51,agentscope-ai/QwenPaw,7188,1,7396,7396,20,20,20,0,ok,
52,NVIDIA-NeMo/RL,2179,1705,3897,2193,20,20,20,0,ok,
53,pydantic/pydantic-ai,3907,3893,7863,3971,20,20,22,2,ok,
54,google-gemini/gemini-cli,12740,15773,29116,13344,20,20,20,0,ok,
55,apache/iceberg,2909,14950,17863,2914,20,20,20,0,ok,
56,infiniflow/ragflow,6470,12389,18995,6607,20,20,21,1,ok,
57,wandb/wandb,1417,11127,12617,1491,20,20,20,0,ok,
58,agno-agi/agno,3781,5884,9825,3942,20,20,21,1,ok,
59,Kilo-Org/kilocode,8615,4746,13562,8817,20,20,20,0,ok,
60,a2ui-project/a2ui,1947,414,2436,2023,20,20,20,0,ok,
61,omnigent-ai/omnigent,5723,1,5758,5758,20,20,20,0,ok,
62,activepieces/activepieces,4152,10686,15133,4448,20,20,22,2,ok,
63,NVIDIA/Megatron-LM,4147,2792,6954,4163,20,20,20,0,ok,
64,diegosouzapw/OmniRoute,11448,1,11922,11922,20,20,21,1,ok,
65,mlflow/mlflow,5595,19706,25438,5733,20,20,20,0,ok,
66,CopilotKit/CopilotKit,3754,2943,6768,3826,20,20,21,1,ok,
67,langfuse/langfuse,4708,11347,16798,5452,20,20,23,3,ok,
68,multica-ai/multica,7604,1,7717,7717,20,20,20,0,ok,
69,coze-dev/coze-loop,267,370,644,275,20,20,21,1,ok,
70,IBM/mcp-context-forge,4575,1807,6456,4650,20,20,20,0,ok,
71,NVIDIA/OpenShell,2741,1,3014,3014,20,20,23,3,ok,
72,farion1231/cc-switch,6172,510,6946,6437,20,20,22,2,ok,
73,Comfy-Org/ComfyUI,4116,11587,15949,4363,20,20,22,2,ok,
74,stablyai/orca,16872,1,17040,17040,20,20,20,0,ok,
75,unslothai/unsloth,5979,3811,9934,6124,20,20,22,2,ok,
76,langchain-ai/langchain,5069,34557,39994,5438,20,20,22,2,ok,
77,openvinotoolkit/openvino,4088,33433,37725,4293,20,20,22,2,ok,
78,microsoft/agent-framework,4629,3060,7938,4879,20,20,23,3,ok,
79,comet-ml/opik,3436,4602,8058,3457,20,20,20,0,ok,
80,marimo-team/marimo,2927,7653,10693,3041,20,20,20,0,ok,
81,weaviate/weaviate,2677,10114,12848,2735,20,20,21,1,ok,
82,langflow-ai/langflow,3552,11177,14834,3658,20,20,21,1,ok,
83,esengine/DeepSeek-Reasonix,9148,1,9549,9549,20,20,21,1,ok,
84,Arize-ai/phoenix,4819,10775,15713,4939,20,20,20,0,ok,
85,apache/hudi,1996,17766,19787,2022,20,20,20,0,ok,
86,Significant-Gravitas/AutoGPT,2254,11683,14222,2540,20,20,22,2,ok,
87,PaddlePaddle/Paddle,2525,77169,79717,2549,20,20,21,1,ok,
88,code-yeongyu/oh-my-openagent,6915,390,7462,7073,20,20,20,0,ok,
89,siyuan-note/siyuan,2252,16749,19025,2277,20,20,20,0,ok,
90,verl-project/verl,2799,4760,7596,2837,20,20,20,0,ok,
91,huggingface/trl,2144,4766,6965,2200,20,20,20,0,ok,
92,eosphoros-ai/DB-GPT,236,2957,3212,256,20,20,22,2,ok,
93,danny-avila/LibreChat,3529,11170,15321,4152,20,20,20,0,ok,
94,apache/gravitino,3099,9591,12719,3129,20,20,20,0,ok,
95,charmbracelet/crush,1807,1742,3666,1925,20,20,22,2,ok,
96,aaif-goose/goose,5181,6312,11665,5354,20,20,21,1,ok,
97,open-webui/open-webui,7329,20303,29158,8856,20,20,22,2,ok,
98,livekit/agents,2587,4427,7030,2604,20,20,20,0,ok,
99,router-for-me/CLIProxyAPI,3951,818,5323,4506,20,20,23,3,ok,
100,kvcache-ai/Mooncake,2437,1315,3763,2449,20,20,20,0,ok,
40,NVIDIA/cudf,2920,20961,23885,2925,20,20,20,0,ok,
