sample_rank,repo_id,repo_name,llm_native_manual,collaboration_niche,year,window_start,window_end,issues_opened,issues_closed_during_window,issue_flow_balance,prs_opened,prs_closed_during_window,prs_merged_during_window,prs_closed_unmerged_during_window,pr_flow_balance,currently_open_issues_from_vintage,currently_open_prs_from_vintage,graphql_cost,graphql_remaining,collected_at,quality_flag
1,1103012935,openclaw/openclaw,llm_native,agent_application,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4933,2026-09-02T07:12:12.953333+00:00,search_count_invariants_ok
1,1103012935,openclaw/openclaw,llm_native,agent_application,2025,2025-01-01,2025-08-31,0,0,0,0,0,0,0,0,0,0,1,4933,2026-09-02T07:12:12.953333+00:00,search_count_invariants_ok
1,1103012935,openclaw/openclaw,llm_native,agent_application,2026,2026-01-01,2026-08-31,49942,46314,3628,81997,76189,31224,44965,5808,3508,2067,1,4933,2026-09-02T07:12:12.953333+00:00,search_count_invariants_ok
2,1024554267,NousResearch/hermes-agent,llm_native,agent_application,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4932,2026-09-02T07:12:15.468502+00:00,search_count_invariants_ok
2,1024554267,NousResearch/hermes-agent,llm_native,agent_application,2025,2025-01-01,2025-08-31,0,0,0,2,1,1,0,1,0,0,1,4932,2026-09-02T07:12:15.468502+00:00,search_count_invariants_ok
2,1024554267,NousResearch/hermes-agent,llm_native,agent_application,2026,2026-01-01,2026-08-31,25182,12318,12864,74099,40996,12346,28650,33103,12770,25015,1,4932,2026-09-02T07:12:15.468502+00:00,search_count_invariants_ok
3,65600975,pytorch/pytorch,traditional,model_infra,2024,2024-01-01,2024-08-31,5787,4266,1521,12480,12221,255,11966,259,1368,30,1,4930,2026-09-02T07:12:17.495167+00:00,search_count_invariants_ok
3,65600975,pytorch/pytorch,traditional,model_infra,2025,2025-01-01,2025-08-31,5522,4351,1171,12213,11849,237,11612,364,1415,32,1,4930,2026-09-02T07:12:17.495167+00:00,search_count_invariants_ok
3,65600975,pytorch/pytorch,traditional,model_infra,2026,2026-01-01,2026-08-31,4565,6840,-2275,19233,14714,250,14464,4519,1565,3314,1,4930,2026-09-02T07:12:17.495167+00:00,search_count_invariants_ok
4,214587193,supabase/supabase,traditional,agent_runtime_infra,2024,2024-01-01,2024-08-31,773,835,-62,2801,2746,2336,410,55,7,2,1,4929,2026-09-02T07:12:19.408603+00:00,search_count_invariants_ok
4,214587193,supabase/supabase,traditional,agent_runtime_infra,2025,2025-01-01,2025-08-31,701,807,-106,2944,2728,2381,347,216,55,46,1,4929,2026-09-02T07:12:19.408603+00:00,search_count_invariants_ok
4,214587193,supabase/supabase,traditional,agent_runtime_infra,2026,2026-01-01,2026-08-31,833,793,40,6114,5383,4228,1155,731,156,633,1,4929,2026-09-02T07:12:19.408603+00:00,search_count_invariants_ok
5,979115477,bytedance/deer-flow,llm_native,agent_framework,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4928,2026-09-02T07:12:21.239577+00:00,search_count_invariants_ok
5,979115477,bytedance/deer-flow,llm_native,agent_framework,2025,2025-01-01,2025-08-31,312,112,200,227,200,166,34,27,13,0,1,4928,2026-09-02T07:12:21.239577+00:00,search_count_invariants_ok
5,979115477,bytedance/deer-flow,llm_native,agent_framework,2026,2026-01-01,2026-08-31,1506,1182,324,2656,2108,1579,529,548,485,364,1,4928,2026-09-02T07:12:21.239577+00:00,search_count_invariants_ok
6,740303686,sgl-project/sglang,llm_native,model_infra,2024,2024-01-01,2024-08-31,456,373,83,775,767,699,68,8,1,0,1,4926,2026-09-02T07:12:23.151011+00:00,search_count_invariants_ok
6,740303686,sgl-project/sglang,llm_native,model_infra,2025,2025-01-01,2025-08-31,2180,1746,434,4803,4207,3373,834,596,21,37,1,4926,2026-09-02T07:12:23.151011+00:00,search_count_invariants_ok
6,740303686,sgl-project/sglang,llm_native,model_infra,2026,2026-01-01,2026-08-31,2895,2734,161,18027,13170,9556,3614,4857,761,3921,1,4926,2026-09-02T07:12:23.151011+00:00,search_count_invariants_ok
7,599547518,vllm-project/vllm,llm_native,model_infra,2024,2024-01-01,2024-08-31,2759,2141,618,2747,2448,1904,544,299,8,0,1,4925,2026-09-02T07:12:24.904119+00:00,search_count_invariants_ok
7,599547518,vllm-project/vllm,llm_native,model_infra,2025,2025-01-01,2025-08-31,4715,4141,574,7459,6819,5093,1726,640,49,24,1,4925,2026-09-02T07:12:24.904119+00:00,search_count_invariants_ok
7,599547518,vllm-project/vllm,llm_native,model_infra,2026,2026-01-01,2026-08-31,5043,4591,452,17870,12890,8064,4826,4980,2102,4768,1,4925,2026-09-02T07:12:24.904119+00:00,search_count_invariants_ok
8,1191372811,larksuite/cli,mixed,agent_runtime_infra,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4924,2026-09-02T07:12:26.917736+00:00,search_count_invariants_ok
8,1191372811,larksuite/cli,mixed,agent_runtime_infra,2025,2025-01-01,2025-08-31,0,0,0,0,0,0,0,0,0,0,1,4924,2026-09-02T07:12:26.917736+00:00,search_count_invariants_ok
8,1191372811,larksuite/cli,mixed,agent_runtime_infra,2026,2026-01-01,2026-08-31,563,351,212,2016,1500,1153,347,516,212,406,1,4924,2026-09-02T07:12:26.917736+00:00,search_count_invariants_ok
9,1128123594,volcengine/OpenViking,llm_native,agent_runtime_infra,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4922,2026-09-02T07:12:29.722089+00:00,search_count_invariants_ok
9,1128123594,volcengine/OpenViking,llm_native,agent_runtime_infra,2025,2025-01-01,2025-08-31,0,0,0,0,0,0,0,0,0,0,1,4922,2026-09-02T07:12:29.722089+00:00,search_count_invariants_ok
9,1128123594,volcengine/OpenViking,llm_native,agent_runtime_infra,2026,2026-01-01,2026-08-31,999,794,205,3438,2761,2265,496,677,195,373,1,4922,2026-09-02T07:12:29.722089+00:00,search_count_invariants_ok
10,965415649,openai/codex,llm_native,agent_application,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4921,2026-09-02T07:12:31.511234+00:00,search_count_invariants_ok
10,965415649,openai/codex,llm_native,agent_application,2025,2025-01-01,2025-08-31,1168,700,468,1687,1507,1011,496,180,29,0,1,4921,2026-09-02T07:12:31.511234+00:00,search_count_invariants_ok
10,965415649,openai/codex,llm_native,agent_application,2026,2026-01-01,2026-08-31,21308,7683,13625,141,138,136,2,3,14294,3,1,4921,2026-09-02T07:12:31.511234+00:00,search_count_invariants_ok
11,658928958,ollama/ollama,llm_native,model_infra,2024,2024-01-01,2024-08-31,3137,2429,708,1494,1279,965,314,215,492,22,1,4919,2026-09-02T07:12:34.154529+00:00,search_count_invariants_ok
11,658928958,ollama/ollama,llm_native,model_infra,2025,2025-01-01,2025-08-31,2769,2081,688,1038,864,604,260,174,580,155,1,4919,2026-09-02T07:12:34.154529+00:00,search_count_invariants_ok
11,658928958,ollama/ollama,llm_native,model_infra,2026,2026-01-01,2026-08-31,2176,1664,512,2271,1153,726,427,1118,889,1087,1,4919,2026-09-02T07:12:34.154529+00:00,search_count_invariants_ok
12,1027384981,langchain-ai/deepagents,llm_native,agent_framework,2024,2024-01-01,2024-08-31,0,0,0,0,0,0,0,0,0,0,1,4918,2026-09-02T07:12:36.019917+00:00,search_count_invariants_ok
12,1027384981,langchain-ai/deepagents,llm_native,agent_framework,2025,2025-01-01,2025-08-31,28,14,14,57,43,29,14,14,0,0,1,4918,2026-09-02T07:12:36.019917+00:00,search_count_invariants_ok
